model,group,classifier,seed,AUROC,HALL_AUPR
internvl_2_5_8b,visual,three_hidden,43,0.8704193175245807,0.5329646130267612
internvl_2_5_8b,visual,three_hidden,44,0.8678744939271257,0.5449874639856017
internvl_2_5_8b,visual,three_hidden,45,0.8764401388085599,0.5700708053881772
internvl_2_5_8b,visual,one_hidden,43,0.8597194910352806,0.5816917883048515
internvl_2_5_8b,visual,one_hidden,44,0.857353961827646,0.5510069120229254
internvl_2_5_8b,visual,one_hidden,45,0.8561393869288606,0.5591613150970668
internvl_2_5_8b,visual,xgb,43,0.855615962984384,0.5036510234130875
internvl_2_5_8b,visual,xgb,44,0.855615962984384,0.5036510234130875
internvl_2_5_8b,visual,xgb,45,0.855615962984384,0.5036510234130875
internvl_2_5_8b,visual_prompt_sum,three_hidden,43,0.8596211683053788,0.5010625250902646
internvl_2_5_8b,visual_prompt_sum,three_hidden,44,0.8710266049739734,0.5203459791655755
internvl_2_5_8b,visual_prompt_sum,three_hidden,45,0.8716281087333719,0.5362772048114873
internvl_2_5_8b,visual_prompt_sum,one_hidden,43,0.8402573742047427,0.5118017969555216
internvl_2_5_8b,visual_prompt_sum,one_hidden,44,0.8218189705031811,0.4691665471413476
internvl_2_5_8b,visual_prompt_sum,one_hidden,45,0.8204424522845577,0.477089116082931
internvl_2_5_8b,visual_prompt_sum,xgb,43,0.863207056101793,0.5157560402103539
internvl_2_5_8b,visual_prompt_sum,xgb,44,0.863207056101793,0.5157560402103539
internvl_2_5_8b,visual_prompt_sum,xgb,45,0.863207056101793,0.5157560402103539
internvl_2_5_8b,generation,three_hidden,43,0.8517264314632735,0.4942961049599217
internvl_2_5_8b,generation,three_hidden,44,0.8411307113938692,0.4918337852078192
internvl_2_5_8b,generation,three_hidden,45,0.8519404279930596,0.5050197823920556
internvl_2_5_8b,generation,one_hidden,43,0.81965008675535,0.4361087822693713
internvl_2_5_8b,generation,one_hidden,44,0.8255899363794099,0.4725476178815208
internvl_2_5_8b,generation,one_hidden,45,0.8192452284557548,0.4355868231301575
internvl_2_5_8b,generation,xgb,43,0.8252486986697513,0.4565819549099317
internvl_2_5_8b,generation,xgb,44,0.8252486986697513,0.4565819549099317
internvl_2_5_8b,generation,xgb,45,0.8252486986697513,0.4565819549099317
internvl_2_5_8b,vp_generation,three_hidden,43,0.8752544823597456,0.54458851476535
internvl_2_5_8b,vp_generation,three_hidden,44,0.8687941006362059,0.5289670301323857
internvl_2_5_8b,vp_generation,three_hidden,45,0.8723048004626953,0.5253557708847393
internvl_2_5_8b,vp_generation,one_hidden,43,0.8454511278195489,0.5064886924763347
internvl_2_5_8b,vp_generation,one_hidden,44,0.8396038172353962,0.4988791905756143
internvl_2_5_8b,vp_generation,one_hidden,45,0.8469433198380567,0.5102359631314545
internvl_2_5_8b,vp_generation,xgb,43,0.8839126662810874,0.5591501180746931
internvl_2_5_8b,vp_generation,xgb,44,0.8839126662810874,0.5591501180746931
internvl_2_5_8b,vp_generation,xgb,45,0.8839126662810874,0.5591501180746931
internvl_2_5_8b,ae_only_visual,three_hidden,43,0.840320994794679,0.4751778696745475
internvl_2_5_8b,ae_only_visual,three_hidden,44,0.8374465008675536,0.45287851812167795
internvl_2_5_8b,ae_only_visual,three_hidden,45,0.8384875650665126,0.4550227036297983
internvl_2_5_8b,ae_only_visual,one_hidden,43,0.8033285135916715,0.42382563008628243
internvl_2_5_8b,ae_only_visual,one_hidden,44,0.804248120300752,0.42237576128649246
internvl_2_5_8b,ae_only_visual,one_hidden,45,0.8086552920763447,0.4251958663179983
internvl_2_5_8b,ae_only_visual,xgb,43,0.8165962984384038,0.43207486197903877
internvl_2_5_8b,ae_only_visual,xgb,44,0.8165962984384038,0.43207486197903877
internvl_2_5_8b,ae_only_visual,xgb,45,0.8165962984384038,0.43207486197903877
internvl_2_5_8b,ae_only_visual_prompt_sum,three_hidden,43,0.8000665124349335,0.3937173471931756
internvl_2_5_8b,ae_only_visual_prompt_sum,three_hidden,44,0.7909051474840949,0.3630692485372574
internvl_2_5_8b,ae_only_visual_prompt_sum,three_hidden,45,0.8129757085020243,0.4280190899956906
internvl_2_5_8b,ae_only_visual_prompt_sum,one_hidden,43,0.7568160786581839,0.36666178876181066
internvl_2_5_8b,ae_only_visual_prompt_sum,one_hidden,44,0.7477472527472528,0.3676040603459382
internvl_2_5_8b,ae_only_visual_prompt_sum,one_hidden,45,0.7482793522267206,0.36534601231606545
internvl_2_5_8b,ae_only_visual_prompt_sum,xgb,43,0.8154337767495663,0.4549727145020686
internvl_2_5_8b,ae_only_visual_prompt_sum,xgb,44,0.8154337767495663,0.4549727145020686
internvl_2_5_8b,ae_only_visual_prompt_sum,xgb,45,0.8154337767495663,0.4549727145020686
internvl_2_5_8b,ae_only_generation,three_hidden,43,0.7788953152111047,0.4187955157056341
internvl_2_5_8b,ae_only_generation,three_hidden,44,0.7688345864661654,0.3666920778845016
internvl_2_5_8b,ae_only_generation,three_hidden,45,0.7723915558126084,0.39090605440341175
internvl_2_5_8b,ae_only_generation,one_hidden,43,0.7453470213996529,0.3350845832454632
internvl_2_5_8b,ae_only_generation,one_hidden,44,0.7426691729323309,0.32942223907674184
internvl_2_5_8b,ae_only_generation,one_hidden,45,0.7370879120879121,0.31807702477681726
internvl_2_5_8b,ae_only_generation,xgb,43,0.7248785425101214,0.31164976130491806
internvl_2_5_8b,ae_only_generation,xgb,44,0.7248785425101214,0.31164976130491806
internvl_2_5_8b,ae_only_generation,xgb,45,0.7248785425101214,0.31164976130491806
internvl_2_5_8b,ae_only_vp_generation,three_hidden,43,0.8286495083863504,0.46649205850288766
internvl_2_5_8b,ae_only_vp_generation,three_hidden,44,0.8273944476576054,0.4466835157142298
internvl_2_5_8b,ae_only_vp_generation,three_hidden,45,0.8251214574898784,0.4558691841537001
internvl_2_5_8b,ae_only_vp_generation,one_hidden,43,0.7932822440717178,0.43797374199917005
internvl_2_5_8b,ae_only_vp_generation,one_hidden,44,0.792541931752458,0.42648646460003115
internvl_2_5_8b,ae_only_vp_generation,one_hidden,45,0.7862261422787739,0.433215763762563
internvl_2_5_8b,ae_only_vp_generation,xgb,43,0.8265673799884328,0.46058391254679765
internvl_2_5_8b,ae_only_vp_generation,xgb,44,0.8265673799884328,0.46058391254679765
internvl_2_5_8b,ae_only_vp_generation,xgb,45,0.8265673799884328,0.46058391254679765
internvl_2_5_8b,legacy_visual,three_hidden,43,0.8703961827646038,0.5386572742016987
internvl_2_5_8b,legacy_visual,three_hidden,44,0.8600954308849045,0.5364274562185034
internvl_2_5_8b,legacy_visual,three_hidden,45,0.8715182186234818,0.5601161186819414
internvl_2_5_8b,legacy_visual,one_hidden,43,0.8559138230190861,0.5638891597391925
internvl_2_5_8b,legacy_visual,one_hidden,44,0.8604655870445345,0.5619378768355909
internvl_2_5_8b,legacy_visual,one_hidden,45,0.8619693464430307,0.5625740482122967
internvl_2_5_8b,legacy_visual,xgb,43,0.8561567379988433,0.5142096387253854
internvl_2_5_8b,legacy_visual,xgb,44,0.8561567379988433,0.5142096387253854
internvl_2_5_8b,legacy_visual,xgb,45,0.8561567379988433,0.5142096387253854
