model,group,classifier,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std,ensemble_AUROC,ensemble_HALL_AUPR
qwen3_vl_8b,visual,three_hidden,0.9012000000000001,0.0012104260623511623,0.6650607073949311,0.0051199348816443006,0.9049421487603306,0.6764072677671455
qwen3_vl_8b,visual,one_hidden,0.8802038567493112,0.005270870478583248,0.617989774982118,0.02100427795201798,0.8868595041322314,0.6299308541002803
qwen3_vl_8b,visual,xgb,0.9031173553719007,0.0,0.6615198399237752,0.0,0.9031173553719007,0.6615198399237752
qwen3_vl_8b,visual_prompt_sum,three_hidden,0.8988055096418733,0.0018504530665189223,0.6637512847273871,0.0033463922029155027,0.9028628099173553,0.6700591850396694
qwen3_vl_8b,visual_prompt_sum,one_hidden,0.8635878787878788,0.005731857940327415,0.6086549119432235,0.008365412454000725,0.8660495867768595,0.6131983131974806
qwen3_vl_8b,visual_prompt_sum,xgb,0.9145256198347106,1.1102230246251565e-16,0.7043792138301724,0.0,0.9145256198347107,0.7043792138301724
qwen3_vl_8b,generation,three_hidden,0.8811955922865015,0.00294344891362274,0.6057054248806452,0.0045581396309185345,0.8857851239669421,0.6141920710388677
qwen3_vl_8b,generation,one_hidden,0.8291592286501377,0.006062766857478624,0.5058313742165764,0.006272190984285637,0.8294710743801653,0.5074906032590848
qwen3_vl_8b,generation,xgb,0.8814396694214875,0.0,0.5947505292393244,0.0,0.8814396694214875,0.5947505292393244
qwen3_vl_8b,vp_generation,three_hidden,0.9228892561983472,0.002578694632254956,0.7003746762787088,0.0010262505632438281,0.9285719008264463,0.7093162406288953
qwen3_vl_8b,vp_generation,one_hidden,0.8889785123966942,0.004085295087729725,0.6401404578426432,0.0023124916830114237,0.8924396694214877,0.6464060185912548
qwen3_vl_8b,vp_generation,xgb,0.9192760330578512,0.0,0.7077355401351116,0.0,0.9192760330578512,0.7077355401351116
qwen3_vl_8b,ae_only_visual,three_hidden,0.8391867768595042,0.0062634273768674585,0.5280598972238518,0.01586976727391579,0.8453586776859503,0.538300313835837
qwen3_vl_8b,ae_only_visual,one_hidden,0.8114534435261708,0.005616782404502494,0.49630238396645954,0.009628408937840454,0.8134743801652893,0.5000115498565261
qwen3_vl_8b,ae_only_visual,xgb,0.8162743801652891,1.1102230246251565e-16,0.4927234333033737,5.551115123125783e-17,0.8162743801652892,0.49272343330337376
qwen3_vl_8b,ae_only_visual_prompt_sum,three_hidden,0.8649002754820937,0.005743848557326153,0.5900673321351086,0.004886998225872528,0.869094214876033,0.5965385967729688
qwen3_vl_8b,ae_only_visual_prompt_sum,one_hidden,0.8177608815426997,0.008500141632597146,0.5366187106744644,0.012975134895152443,0.8267801652892561,0.550858627016929
qwen3_vl_8b,ae_only_visual_prompt_sum,xgb,0.8867702479338844,0.0,0.6435713163400116,0.0,0.8867702479338844,0.6435713163400116
qwen3_vl_8b,ae_only_generation,three_hidden,0.7678545454545455,0.007702974481300861,0.46086576616156466,0.014187953264104278,0.7760132231404959,0.47436214099855445
qwen3_vl_8b,ae_only_generation,one_hidden,0.7383195592286501,0.005887392217649272,0.3937579186524411,0.013507173220750528,0.7410148760330577,0.3977782663785481
qwen3_vl_8b,ae_only_generation,xgb,0.7601884297520659,1.1102230246251565e-16,0.44352047362690944,0.0,0.760188429752066,0.44352047362690944
qwen3_vl_8b,ae_only_vp_generation,three_hidden,0.8726358126721762,0.006695475490369161,0.6313705216170541,0.013575117400412076,0.8783438016528926,0.6405581140938094
qwen3_vl_8b,ae_only_vp_generation,one_hidden,0.8429300275482094,0.007317000395662518,0.5798967440974735,0.011378981942034301,0.8521884297520662,0.5978609487358714
qwen3_vl_8b,ae_only_vp_generation,xgb,0.8987570247933885,0.0,0.664094428615344,0.0,0.8987570247933885,0.664094428615344
qwen3_vl_8b,legacy_visual,three_hidden,0.9012341597796144,0.0014089635568236476,0.6694732647330556,0.006362771822242945,0.9053223140495867,0.6807650717081516
qwen3_vl_8b,legacy_visual,one_hidden,0.8791283746556475,0.0038854450759780485,0.6200503377299748,0.01853462568758693,0.8821719008264463,0.6269854202756455
qwen3_vl_8b,legacy_visual,xgb,0.8936330578512397,0.0,0.6388642457636258,0.0,0.8936330578512397,0.6388642457636258
