model,group,classifier,seed,AUROC,HALL_AUPR
qwen3_vl_8b,visual,three_hidden,43,0.9013785123966942,0.6720594688886115
qwen3_vl_8b,visual,three_hidden,44,0.8996363636363637,0.6599539676482562
qwen3_vl_8b,visual,three_hidden,45,0.9025851239669421,0.6631686856479255
qwen3_vl_8b,visual,one_hidden,43,0.8825388429752066,0.6409461303515667
qwen3_vl_8b,visual,one_hidden,44,0.8729057851239669,0.5901860391280038
qwen3_vl_8b,visual,one_hidden,45,0.8851669421487602,0.6228371554667836
qwen3_vl_8b,visual,xgb,43,0.9031173553719007,0.6615198399237752
qwen3_vl_8b,visual,xgb,44,0.9031173553719007,0.6615198399237752
qwen3_vl_8b,visual,xgb,45,0.9031173553719007,0.6615198399237752
qwen3_vl_8b,visual_prompt_sum,three_hidden,43,0.8967239669421487,0.6593535876367408
qwen3_vl_8b,visual_prompt_sum,three_hidden,44,0.8984727272727273,0.6644359647260184
qwen3_vl_8b,visual_prompt_sum,three_hidden,45,0.9012198347107439,0.6674643018194022
qwen3_vl_8b,visual_prompt_sum,one_hidden,43,0.8648297520661157,0.6100199871324041
qwen3_vl_8b,visual_prompt_sum,one_hidden,44,0.8560297520661158,0.5977953111384414
qwen3_vl_8b,visual_prompt_sum,one_hidden,45,0.869904132231405,0.6181494375588249
qwen3_vl_8b,visual_prompt_sum,xgb,43,0.9145256198347107,0.7043792138301724
qwen3_vl_8b,visual_prompt_sum,xgb,44,0.9145256198347107,0.7043792138301724
qwen3_vl_8b,visual_prompt_sum,xgb,45,0.9145256198347107,0.7043792138301724
qwen3_vl_8b,generation,three_hidden,43,0.8811834710743801,0.5992604669673024
qwen3_vl_8b,generation,three_hidden,44,0.8775966942148761,0.6090367315169603
qwen3_vl_8b,generation,three_hidden,45,0.8848066115702479,0.6088190761576725
qwen3_vl_8b,generation,one_hidden,43,0.8363669421487603,0.5120035260168551
qwen3_vl_8b,generation,one_hidden,44,0.8295768595041322,0.5082624512262963
qwen3_vl_8b,generation,one_hidden,45,0.8215338842975206,0.4972281454065778
qwen3_vl_8b,generation,xgb,43,0.8814396694214875,0.5947505292393244
qwen3_vl_8b,generation,xgb,44,0.8814396694214875,0.5947505292393244
qwen3_vl_8b,generation,xgb,45,0.8814396694214875,0.5947505292393244
qwen3_vl_8b,vp_generation,three_hidden,43,0.9193355371900827,0.700498307531221
qwen3_vl_8b,vp_generation,three_hidden,44,0.9239570247933885,0.7015651872124559
qwen3_vl_8b,vp_generation,three_hidden,45,0.9253752066115704,0.6990605340924497
qwen3_vl_8b,vp_generation,one_hidden,43,0.8909884297520662,0.6410768964133127
qwen3_vl_8b,vp_generation,one_hidden,44,0.8832826446280991,0.6369586175855224
qwen3_vl_8b,vp_generation,one_hidden,45,0.8926644628099174,0.6423858595290947
qwen3_vl_8b,vp_generation,xgb,43,0.9192760330578512,0.7077355401351116
qwen3_vl_8b,vp_generation,xgb,44,0.9192760330578512,0.7077355401351116
qwen3_vl_8b,vp_generation,xgb,45,0.9192760330578512,0.7077355401351116
qwen3_vl_8b,ae_only_visual,three_hidden,43,0.8315272727272728,0.506616090526498
qwen3_vl_8b,ae_only_visual,three_hidden,44,0.8391636363636363,0.5330462416863111
qwen3_vl_8b,ae_only_visual,three_hidden,45,0.8468694214876032,0.5445173594587461
qwen3_vl_8b,ae_only_visual,one_hidden,43,0.8156396694214876,0.506819514885896
qwen3_vl_8b,ae_only_visual,one_hidden,44,0.803514049586777,0.483553701289434
qwen3_vl_8b,ae_only_visual,one_hidden,45,0.815206611570248,0.4985339357240486
qwen3_vl_8b,ae_only_visual,xgb,43,0.8162743801652892,0.49272343330337376
qwen3_vl_8b,ae_only_visual,xgb,44,0.8162743801652892,0.49272343330337376
qwen3_vl_8b,ae_only_visual,xgb,45,0.8162743801652892,0.49272343330337376
qwen3_vl_8b,ae_only_visual_prompt_sum,three_hidden,43,0.8621785123966943,0.5870971498717671
qwen3_vl_8b,ae_only_visual_prompt_sum,three_hidden,44,0.8728892561983472,0.5969568326222429
qwen3_vl_8b,ae_only_visual_prompt_sum,three_hidden,45,0.8596330578512397,0.5861480139113161
qwen3_vl_8b,ae_only_visual_prompt_sum,one_hidden,43,0.826406611570248,0.550966990408483
qwen3_vl_8b,ae_only_visual_prompt_sum,one_hidden,44,0.8206710743801653,0.5393504448136632
qwen3_vl_8b,ae_only_visual_prompt_sum,one_hidden,45,0.8062049586776859,0.5195386968012471
qwen3_vl_8b,ae_only_visual_prompt_sum,xgb,43,0.8867702479338844,0.6435713163400116
qwen3_vl_8b,ae_only_visual_prompt_sum,xgb,44,0.8867702479338844,0.6435713163400116
qwen3_vl_8b,ae_only_visual_prompt_sum,xgb,45,0.8867702479338844,0.6435713163400116
qwen3_vl_8b,ae_only_generation,three_hidden,43,0.7580661157024794,0.4411934065961532
qwen3_vl_8b,ae_only_generation,three_hidden,44,0.7686082644628098,0.4672820441059886
qwen3_vl_8b,ae_only_generation,three_hidden,45,0.7768892561983471,0.47412184778255223
qwen3_vl_8b,ae_only_generation,one_hidden,43,0.7433123966942148,0.4047861594880703
qwen3_vl_8b,ae_only_generation,one_hidden,44,0.7415933884297521,0.40175116735953603
qwen3_vl_8b,ae_only_generation,one_hidden,45,0.7300528925619835,0.3747364291097169
qwen3_vl_8b,ae_only_generation,xgb,43,0.760188429752066,0.44352047362690944
qwen3_vl_8b,ae_only_generation,xgb,44,0.760188429752066,0.44352047362690944
qwen3_vl_8b,ae_only_generation,xgb,45,0.760188429752066,0.44352047362690944
qwen3_vl_8b,ae_only_vp_generation,three_hidden,43,0.869381818181818,0.6327372247699806
qwen3_vl_8b,ae_only_vp_generation,three_hidden,44,0.8665619834710744,0.6141032980403223
qwen3_vl_8b,ae_only_vp_generation,three_hidden,45,0.8819636363636363,0.6472710420408594
qwen3_vl_8b,ae_only_vp_generation,one_hidden,43,0.85180826446281,0.5950465958151071
qwen3_vl_8b,ae_only_vp_generation,one_hidden,44,0.8430942148760332,0.5770211096486457
qwen3_vl_8b,ae_only_vp_generation,one_hidden,45,0.8338876033057852,0.5676225268286674
qwen3_vl_8b,ae_only_vp_generation,xgb,43,0.8987570247933885,0.664094428615344
qwen3_vl_8b,ae_only_vp_generation,xgb,44,0.8987570247933885,0.664094428615344
qwen3_vl_8b,ae_only_vp_generation,xgb,45,0.8987570247933885,0.664094428615344
qwen3_vl_8b,legacy_visual,three_hidden,43,0.9032066115702481,0.6783304344877238
qwen3_vl_8b,legacy_visual,three_hidden,44,0.900003305785124,0.6636698322839385
qwen3_vl_8b,legacy_visual,three_hidden,45,0.9004925619834712,0.6664195274275049
qwen3_vl_8b,legacy_visual,one_hidden,43,0.8842280991735538,0.6416572627855425
qwen3_vl_8b,legacy_visual,one_hidden,44,0.8748066115702479,0.596395645054818
qwen3_vl_8b,legacy_visual,one_hidden,45,0.8783504132231406,0.6220981053495639
qwen3_vl_8b,legacy_visual,xgb,43,0.8936330578512397,0.6388642457636258
qwen3_vl_8b,legacy_visual,xgb,44,0.8936330578512397,0.6388642457636258
qwen3_vl_8b,legacy_visual,xgb,45,0.8936330578512397,0.6388642457636258
