model,group,classifier,reference,AUROC_delta_pp,HALL_AUPR_delta_pp,reference_AUROC,reference_HALL_AUPR
qwen2_5_vl_7b,visual,three_hidden,AE only,9.649800505878991,11.442798299763696,0.7788678517546428,0.3275522838683771
qwen2_5_vl_7b,visual,three_hidden,legacy U + frozen-RMS S,2.563378923590165,3.709058670859544,0.8497320675775311,0.4048896801574186
qwen2_5_vl_7b,visual,three_hidden,legacy AE_V + visual-only S_E,0.08772332111557368,0.21590021549869887,0.874488623602277,0.43982126471102706
qwen2_5_vl_7b,visual,one_hidden,AE only,12.510392156171024,5.907336304925903,0.6989726023370152,0.26621704377174754
qwen2_5_vl_7b,visual,one_hidden,three_hidden same feature,-5.1289332914707275,-11.668986004500749,0.8753658568134327,0.44198026686601405
qwen2_5_vl_7b,visual,one_hidden,legacy U + frozen-RMS S,-0.3112061251103748,-2.5559573789711134,0.8271885851498292,0.3508499806107177
qwen2_5_vl_7b,visual,xgb,AE only,11.704184261307326,14.165341527702878,0.7367577178295887,0.2766542048398625
qwen2_5_vl_7b,visual,xgb,three_hidden same feature,-2.1566296370770788,-2.3672646749122728,0.8753658568134327,0.44198026686601405
qwen2_5_vl_7b,visual,xgb,legacy U + frozen-RMS S,2.617235868725476,6.448422075318039,0.8276272017554072,0.35382339936371093
qwen2_5_vl_7b,visual_prompt_sum,three_hidden,AE only,2.3313119340169997,-0.25872924777538,0.8295721665426076,0.44214067836078136
qwen2_5_vl_7b,visual_prompt_sum,three_hidden,legacy U + frozen-RMS S,-0.23994562565191613,1.1889823423774482,0.8552847421392967,0.4276635624592531
qwen2_5_vl_7b,visual_prompt_sum,one_hidden,AE only,5.117703295268939,-0.7169206845533405,0.7688878540829562,0.3400162239684148
qwen2_5_vl_7b,visual_prompt_sum,one_hidden,three_hidden same feature,-3.282039884713195,-10.670636876014616,0.8528852858827776,0.43955338588302756
qwen2_5_vl_7b,visual_prompt_sum,one_hidden,legacy U + frozen-RMS S,-0.7583481204749276,-2.48547023275254,0.8276483682403949,0.3577017194504068
qwen2_5_vl_7b,visual_prompt_sum,xgb,AE only,4.83971679243087,8.20653685568567,0.8062561074128558,0.3650378367341262
qwen2_5_vl_7b,visual_prompt_sum,xgb,three_hidden same feature,0.17679894543869423,0.7549819407955349,0.8528852858827776,0.43955338588302756
qwen2_5_vl_7b,visual_prompt_sum,xgb,legacy U + frozen-RMS S,0.6217654965128272,4.603987425996636,0.8484356203720362,0.40106333103101655
qwen2_5_vl_7b,generation,three_hidden,AE only,7.72470869625036,13.527902759751392,0.7274862094470725,0.21699344834280143
qwen2_5_vl_7b,generation,three_hidden,legacy U + frozen-RMS S,-3.3951629878139933,-5.151346022120318,0.8386849262877161,0.40378593616151853
qwen2_5_vl_7b,generation,one_hidden,AE only,10.170260853409152,9.35865570441154,0.6834904944843668,0.1785361629287705
qwen2_5_vl_7b,generation,one_hidden,three_hidden same feature,-1.9540193391117788,-8.014975596742946,0.8047332964095761,0.35227247594031535
qwen2_5_vl_7b,generation,one_hidden,legacy U + frozen-RMS S,-0.7313020563240125,-2.1667679930217068,0.7925061235816985,0.29379039990310296
qwen2_5_vl_7b,generation,xgb,AE only,10.385159471825656,8.36264043631144,0.7105483177936055,0.2330582782835892
qwen2_5_vl_7b,generation,xgb,three_hidden same feature,0.9666616102285919,-3.558779329361178,0.8047332964095761,0.35227247594031535
qwen2_5_vl_7b,generation,xgb,legacy U + frozen-RMS S,-3.403394398642523,-7.1488079684009,0.8484338564982873,0.3881727623307126
qwen2_5_vl_7b,vp_generation,three_hidden,AE only,3.438319098872178,2.5434063449167765,0.8226025134025007,0.4310425734873424
qwen2_5_vl_7b,vp_generation,three_hidden,legacy U + frozen-RMS S,-0.9361465943713565,-1.1321235627534454,0.866347170334936,0.4677978725640446
qwen2_5_vl_7b,vp_generation,one_hidden,AE only,4.644867538961006,-2.697537158921104,0.7757657857881165,0.3631592076770514
qwen2_5_vl_7b,vp_generation,one_hidden,three_hidden same feature,-3.4771243213495895,-12.029280084866977,0.8569857043912225,0.45647663693651014
qwen2_5_vl_7b,vp_generation,one_hidden,legacy U + frozen-RMS S,-0.8892275526487081,-5.388143478217483,0.8311067367042136,0.3900652708700152
qwen2_5_vl_7b,vp_generation,xgb,AE only,5.3478888195098495,9.903735406042513,0.8151636698451671,0.3813389682698893
qwen2_5_vl_7b,vp_generation,xgb,three_hidden same feature,1.165685364904312,2.389968539380427,0.8569857043912225,0.45647663693651014
qwen2_5_vl_7b,vp_generation,xgb,legacy U + frozen-RMS S,0.2806323134615152,2.2548919827068636,0.8658362349056504,0.4578274025032458
llava_1_5_7b,visual,three_hidden,AE only,3.2124535955346034,6.6724521688535265,0.868312601198534,0.6401591869019104
llava_1_5_7b,visual,three_hidden,legacy U + frozen-RMS S,0.5427318496637135,1.8600965930563151,0.8950098186572429,0.6882827426598825
llava_1_5_7b,visual,three_hidden,legacy AE_V + visual-only S_E,0.02856178808947618,-0.1269556576197317,0.9001515192729853,0.708153265166643
llava_1_5_7b,visual,one_hidden,AE only,4.757413862720917,9.48896141339346,0.8426688227392347,0.5921479804528457
llava_1_5_7b,visual,one_hidden,three_hidden same feature,-1.01941757874362,-1.9846114003665427,0.9004371371538801,0.7068837085904457
llava_1_5_7b,visual,one_hidden,legacy U + frozen-RMS S,0.19649854277971057,2.3840565152251525,0.8882779759386468,0.6631970294345287
llava_1_5_7b,visual,xgb,AE only,3.540822521621012,5.582990967016088,0.8617019121639649,0.6429536872919506
llava_1_5_7b,visual,xgb,three_hidden same feature,-0.3326999773705097,-0.8100111628334239,0.9004371371538801,0.7068837085904457
llava_1_5_7b,visual,xgb,legacy U + frozen-RMS S,0.8310120248889774,3.3009484499409103,0.8888000171312852,0.6657741124627023
llava_1_5_7b,visual_prompt_sum,three_hidden,AE only,3.7640694056273682,9.05953079481636,0.8582440162523423,0.6107334711629929
llava_1_5_7b,visual_prompt_sum,three_hidden,legacy U + frozen-RMS S,-0.11089999245681437,-0.14303066109127016,0.8969937102331841,0.7027590857220692
llava_1_5_7b,visual_prompt_sum,one_hidden,AE only,2.6538637318151315,5.774169124947804,0.8467641259311519,0.6047029747913403
llava_1_5_7b,visual_prompt_sum,one_hidden,three_hidden same feature,-2.2581947059312713,-3.8884113070338233,0.8958847103086159,0.7013287791111565
llava_1_5_7b,visual_prompt_sum,one_hidden,legacy U + frozen-RMS S,-1.0843544100230362,-2.152798871096262,0.8841463073495336,0.6839726547517809
llava_1_5_7b,visual_prompt_sum,xgb,AE only,2.4583104964426394,6.262399722159573,0.865790559620056,0.6330381367426043
llava_1_5_7b,visual_prompt_sum,xgb,three_hidden same feature,-0.5511045724133523,-0.5666645146956473,0.8958847103086159,0.7013287791111565
llava_1_5_7b,visual_prompt_sum,xgb,legacy U + frozen-RMS S,-0.23781233487262243,1.9559008664713717,0.8927517879332086,0.6761031252994864
llava_1_5_7b,generation,three_hidden,AE only,5.477332975274041,8.962368924697095,0.8207605518974731,0.556694103062179
llava_1_5_7b,generation,three_hidden,legacy U + frozen-RMS S,-0.674206747218431,-1.539638175599034,0.8822759491223978,0.6617141740651403
llava_1_5_7b,generation,one_hidden,AE only,7.207505972317163,13.907234888867547,0.7949157509242308,0.5019797781908347
llava_1_5_7b,generation,one_hidden,three_hidden same feature,-0.8543071002811042,-0.5265665229639782,0.8755338816502135,0.64631779230915
llava_1_5_7b,generation,one_hidden,legacy U + frozen-RMS S,-0.5130511262758986,-0.6717230364783,0.8721213219101615,0.6477693574442932
llava_1_5_7b,generation,xgb,AE only,7.678982864663409,11.92844435549607,0.8022048427133873,0.5328263575108249
llava_1_5_7b,generation,xgb,three_hidden same feature,0.3460789709807899,0.5793008756635576,0.8755338816502135,0.64631779230915
llava_1_5_7b,generation,xgb,legacy U + frozen-RMS S,-0.5997975498789665,0.6232852223420737,0.8849926468588111,0.6458779488423648
llava_1_5_7b,vp_generation,three_hidden,AE only,3.1397710311123928,6.856587263485602,0.8670986528597767,0.636203719049194
llava_1_5_7b,vp_generation,three_hidden,legacy U + frozen-RMS S,-0.6202277650675714,-1.4701367865649795,0.9046986408215764,0.7194709595496999
llava_1_5_7b,vp_generation,one_hidden,AE only,4.11504854153536,8.64809809184054,0.8533476132627787,0.6224300150331011
llava_1_5_7b,vp_generation,one_hidden,three_hidden same feature,-0.39982644927683,0.4141404267456461,0.8984963631709006,0.7047695916840501
llava_1_5_7b,vp_generation,one_hidden,legacy U + frozen-RMS S,-0.15157714894900032,-0.2954020192312945,0.8960138701676224,0.7118650161438195
