model,group,classifier,reference,AUROC_delta,HALL_AUPR_delta
internvl_2_5_8b,visual,three_hidden,corresponding AE only,0.02467320174173737,0.07522593676670153
internvl_2_5_8b,visual,one_hidden,corresponding AE only,0.054399248404060296,0.12187121066832057
internvl_2_5_8b,visual,xgb,corresponding AE only,0.04734814094827133,0.07379232500542415
internvl_2_5_8b,visual_prompt_sum,three_hidden,corresponding AE only,0.0510066525675672,0.08604047692363997
internvl_2_5_8b,visual_prompt_sum,one_hidden,corresponding AE only,0.05729606150910205,0.11835366762877142
internvl_2_5_8b,visual_prompt_sum,xgb,corresponding AE only,0.05273410379928001,0.08361804097494435
internvl_2_5_8b,generation,three_hidden,corresponding AE only,0.07748340863534242,0.1287828577974553
internvl_2_5_8b,generation,one_hidden,corresponding AE only,0.0908083483759331,0.09517125369363888
internvl_2_5_8b,generation,xgb,corresponding AE only,0.08593975305213464,0.1265446756506386
internvl_2_5_8b,vp_generation,three_hidden,corresponding AE only,0.04483718388287761,0.08471971529429861
internvl_2_5_8b,vp_generation,one_hidden,corresponding AE only,0.05570657495131193,0.08098442433011094
internvl_2_5_8b,vp_generation,xgb,corresponding AE only,0.04329131196394065,0.11859064927613772
