model,group,classifier,reference,AUROC_delta,HALL_AUPR_delta
llava_1_5_7b,visual,three_hidden,corresponding AE only,0.032124535955346034,0.06672452168853527
llava_1_5_7b,visual,one_hidden,corresponding AE only,0.04757413862720916,0.0948896141339346
llava_1_5_7b,visual,xgb,corresponding AE only,0.03540822521621012,0.05582990967016088
llava_1_5_7b,visual_prompt_sum,three_hidden,corresponding AE only,0.03764069405627368,0.09059530794816362
llava_1_5_7b,visual_prompt_sum,one_hidden,corresponding AE only,0.026538637318151315,0.05774169124947803
llava_1_5_7b,visual_prompt_sum,xgb,corresponding AE only,0.024583104964426394,0.06262399722159573
llava_1_5_7b,generation,three_hidden,corresponding AE only,0.05477332975274041,0.08962368924697095
llava_1_5_7b,generation,one_hidden,corresponding AE only,0.07207505972317163,0.13907234888867548
llava_1_5_7b,generation,xgb,corresponding AE only,0.07678982864663408,0.1192844435549607
llava_1_5_7b,vp_generation,three_hidden,corresponding AE only,0.03139771031112393,0.06856587263485603
llava_1_5_7b,vp_generation,one_hidden,corresponding AE only,0.0411504854153536,0.08648098091840539
llava_1_5_7b,vp_generation,xgb,corresponding AE only,0.032541918113614066,0.05940309885616013
