model,group,classifier,AUROC_delta_pp,HALL_AUPR_delta_pp
qwen2_5_vl_7b,visual,three_hidden,9.649800505878991,11.442798299763696
qwen2_5_vl_7b,visual,one_hidden,12.510392156171024,5.907336304925903
qwen2_5_vl_7b,visual,xgb,11.704184261307326,14.165341527702878
qwen2_5_vl_7b,visual_prompt_sum,three_hidden,2.3313119340169997,-0.25872924777538
qwen2_5_vl_7b,visual_prompt_sum,one_hidden,5.117703295268939,-0.7169206845533405
qwen2_5_vl_7b,visual_prompt_sum,xgb,4.83971679243087,8.20653685568567
qwen2_5_vl_7b,generation,three_hidden,7.72470869625036,13.527902759751392
qwen2_5_vl_7b,generation,one_hidden,10.170260853409152,9.35865570441154
qwen2_5_vl_7b,generation,xgb,10.385159471825656,8.36264043631144
qwen2_5_vl_7b,vp_generation,three_hidden,3.438319098872178,2.5434063449167765
qwen2_5_vl_7b,vp_generation,one_hidden,4.644867538961006,-2.697537158921104
qwen2_5_vl_7b,vp_generation,xgb,5.3478888195098495,9.903735406042513
llava_1_5_7b,visual,three_hidden,3.2124535955346034,6.6724521688535265
llava_1_5_7b,visual,one_hidden,4.757413862720917,9.48896141339346
llava_1_5_7b,visual,xgb,3.540822521621012,5.582990967016088
llava_1_5_7b,visual_prompt_sum,three_hidden,3.7640694056273682,9.05953079481636
llava_1_5_7b,visual_prompt_sum,one_hidden,2.6538637318151315,5.774169124947804
llava_1_5_7b,visual_prompt_sum,xgb,2.4583104964426394,6.262399722159573
llava_1_5_7b,generation,three_hidden,5.477332975274041,8.962368924697095
llava_1_5_7b,generation,one_hidden,7.207505972317163,13.907234888867547
llava_1_5_7b,generation,xgb,7.678982864663409,11.92844435549607
llava_1_5_7b,vp_generation,three_hidden,3.1397710311123928,6.856587263485602
llava_1_5_7b,vp_generation,one_hidden,4.11504854153536,8.64809809184054
llava_1_5_7b,vp_generation,xgb,3.2541918113614066,5.9403098856160135
internvl_2_5_8b,visual,three_hidden,2.467320174173737,7.522593676670153
internvl_2_5_8b,visual,one_hidden,5.43992484040603,12.187121066832058
internvl_2_5_8b,visual,xgb,4.734814094827133,7.3792325005424155
internvl_2_5_8b,visual_prompt_sum,three_hidden,5.10066525675672,8.604047692363997
internvl_2_5_8b,visual_prompt_sum,one_hidden,5.729606150910205,11.835366762877142
internvl_2_5_8b,visual_prompt_sum,xgb,5.273410379928,8.361804097494435
internvl_2_5_8b,generation,three_hidden,7.748340863534242,12.87828577974553
internvl_2_5_8b,generation,one_hidden,9.08083483759331,9.517125369363889
internvl_2_5_8b,generation,xgb,8.593975305213464,12.65446756506386
internvl_2_5_8b,vp_generation,three_hidden,4.483718388287761,8.471971529429862
internvl_2_5_8b,vp_generation,one_hidden,5.570657495131193,8.098442433011094
internvl_2_5_8b,vp_generation,xgb,4.329131196394065,11.859064927613773
