model,group,classifier,seed,AUROC,HALL_AUPR
qwen2_5_vl_7b,visual,three_hidden,43,0.8750789333502667,0.44450552440880775
qwen2_5_vl_7b,visual,three_hidden,44,0.8777670769437008,0.4366576152336802
qwen2_5_vl_7b,visual,three_hidden,45,0.873251560146331,0.4447776609555542
qwen2_5_vl_7b,visual,one_hidden,43,0.8220956936786293,0.3199296503679615
qwen2_5_vl_7b,visual,one_hidden,44,0.8319239982079042,0.3415261583185675
qwen2_5_vl_7b,visual,one_hidden,45,0.8182098798096427,0.3144154117764908
qwen2_5_vl_7b,visual,xgb,43,0.8537995604426618,0.4183076201168913
qwen2_5_vl_7b,visual,xgb,44,0.8537995604426618,0.4183076201168913
qwen2_5_vl_7b,visual,xgb,45,0.8537995604426618,0.4183076201168913
qwen2_5_vl_7b,visual_prompt_sum,three_hidden,43,0.8626030543237837,0.45393813304940567
qwen2_5_vl_7b,visual_prompt_sum,three_hidden,44,0.8560008748813794,0.4446249073173754
qwen2_5_vl_7b,visual_prompt_sum,three_hidden,45,0.8400519284431698,0.4200971172823016
qwen2_5_vl_7b,visual_prompt_sum,one_hidden,43,0.8181975326934,0.32286501038955184
qwen2_5_vl_7b,visual_prompt_sum,one_hidden,44,0.8207445663869164,0.3369317010425937
qwen2_5_vl_7b,visual_prompt_sum,one_hidden,45,0.8212525620266203,0.3387443399364986
qwen2_5_vl_7b,visual_prompt_sum,xgb,43,0.8546532753371645,0.4471032052909829
qwen2_5_vl_7b,visual_prompt_sum,xgb,44,0.8546532753371645,0.4471032052909829
qwen2_5_vl_7b,visual_prompt_sum,xgb,45,0.8546532753371645,0.4471032052909829
qwen2_5_vl_7b,generation,three_hidden,43,0.7861867518970462,0.32782030063759304
qwen2_5_vl_7b,generation,three_hidden,44,0.8091276938761831,0.3604061128282978
qwen2_5_vl_7b,generation,three_hidden,45,0.8188854434554992,0.3685910143550553
qwen2_5_vl_7b,generation,one_hidden,43,0.7832622492212497,0.26729644351204457
qwen2_5_vl_7b,generation,one_hidden,44,0.7878271544835906,0.2773696295778251
qwen2_5_vl_7b,generation,one_hidden,45,0.7844899053505346,0.27170208682878805
qwen2_5_vl_7b,generation,xgb,43,0.8143999125118621,0.3166846826467036
qwen2_5_vl_7b,generation,xgb,44,0.8143999125118621,0.3166846826467036
qwen2_5_vl_7b,generation,xgb,45,0.8143999125118621,0.3166846826467036
qwen2_5_vl_7b,vp_generation,three_hidden,43,0.8464512624044421,0.4420741519802631
