model,group,classifier,reference,AUROC_delta,HALL_AUPR_delta
qwen3_vl_8b,visual,three_hidden,corresponding AE only,0.04588852974560531,0.0705111883331846
qwen3_vl_8b,visual,one_hidden,corresponding AE only,0.05593000616409238,0.07546947888983063
qwen3_vl_8b,visual,xgb,corresponding AE only,0.07840115893170818,0.13015413327750558
qwen3_vl_8b,visual_prompt_sum,three_hidden,corresponding AE only,0.01854218698707588,0.04407252451152843
qwen3_vl_8b,visual_prompt_sum,one_hidden,corresponding AE only,0.024232395547446495,0.019535237188116228
qwen3_vl_8b,visual_prompt_sum,xgb,corresponding AE only,0.02430430138398787,0.04478466853546381
qwen3_vl_8b,generation,three_hidden,corresponding AE only,0.0864164086289061,0.117016360425724
qwen3_vl_8b,generation,one_hidden,corresponding AE only,0.12380654319958595,0.15819610131386125
qwen3_vl_8b,generation,xgb,corresponding AE only,0.10226862271123338,0.1514025248204091
qwen3_vl_8b,vp_generation,three_hidden,corresponding AE only,0.039239748208657055,0.05034552320651875
qwen3_vl_8b,vp_generation,one_hidden,corresponding AE only,0.08772653554335086,0.11678624929302173
qwen3_vl_8b,vp_generation,xgb,corresponding AE only,0.020666432040108873,0.04987425440528881
