model,group,classifier,index,validation_AUROC,validation_HALL_AUPR,seconds,n_iter,convergence_warning,params
qwen2_5_vl_7b,visual,one_hidden,0,0.792022760906723,0.3213649657076061,0.5379445841535926,66,False,"{""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""solver"": ""adam""}"
qwen2_5_vl_7b,visual,one_hidden,1,0.8047192839707078,0.33169355958379526,0.3958228437695652,59,False,"{""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""solver"": ""sgd""}"
qwen2_5_vl_7b,visual,one_hidden,2,0.7971450570933973,0.33118464777717566,1.4856209550052881,89,False,"{""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001, ""max_iter"": 500, ""solver"": ""adam""}"
qwen2_5_vl_7b,visual,one_hidden,3,0.7990891268614742,0.3144811535418088,1.712369211949408,254,False,"{""hidden_layer_sizes"": [64], ""learning_rate_init"": 0.001, ""max_iter"": 500, ""solver"": ""sgd""}"
qwen2_5_vl_7b,visual,one_hidden,4,0.8026714576700651,0.33503878087206906,1.0837925639934838,79,False,"{""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""solver"": ""adam""}"
qwen2_5_vl_7b,visual,one_hidden,5,0.8086947974290223,0.33687438646291645,0.747939599910751,75,False,"{""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""solver"": ""sgd""}"
qwen2_5_vl_7b,visual,one_hidden,6,0.7882602213836754,0.2986672227131168,0.5581444650888443,47,False,"{""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.001, ""max_iter"": 500, ""solver"": ""adam""}"
qwen2_5_vl_7b,visual,one_hidden,7,0.7870369864734247,0.2942645425070332,1.867995667969808,186,False,"{""hidden_layer_sizes"": [128], ""learning_rate_init"": 0.001, ""max_iter"": 500, ""solver"": ""sgd""}"
qwen2_5_vl_7b,visual,one_hidden,8,0.7866274212132962,0.2995701416548271,0.6917096290271729,39,False,"{""hidden_layer_sizes"": [256], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""solver"": ""adam""}"
qwen2_5_vl_7b,visual,one_hidden,9,0.8048721883344891,0.3354043774799933,0.9332162968348712,59,False,"{""hidden_layer_sizes"": [256], ""learning_rate_init"": 0.01, ""max_iter"": 500, ""solver"": ""sgd""}"
qwen2_5_vl_7b,visual,one_hidden,10,0.8065978232971642,0.35066178961754924,3.4741507889702916,81,False,"{""hidden_layer_sizes"": [256], ""learning_rate_init"": 0.001, ""max_iter"": 500, ""solver"": ""adam""}"
