model,group,seed,input_dim,best_epoch,epochs,AUROC,HALL_AUPR
internvl_2_5_8b,PVG/I,43,96,18,38,0.8797021399652979,0.578555005074329
internvl_2_5_8b,PVG/I,44,96,28,48,0.877672064777328,0.5742935984342833
internvl_2_5_8b,PVG/I,45,96,14,34,0.8741266628108733,0.5681343849155102
internvl_2_5_8b,PVG/S,43,96,17,37,0.8834962406015037,0.5899282278032316
internvl_2_5_8b,PVG/S,44,96,16,36,0.8834152689415847,0.5859388861191074
internvl_2_5_8b,PVG/S,45,96,20,40,0.886127819548872,0.6023481834784361
internvl_2_5_8b,PVG/I+S,43,192,22,42,0.8873655292076346,0.6064748683376417
internvl_2_5_8b,PVG/I+S,44,192,16,36,0.8891584731058416,0.6007975533535977
internvl_2_5_8b,PVG/I+S,45,192,14,34,0.8859600925390398,0.5986376977339211
internvl_2_5_8b,ALL/I,43,32,24,44,0.8360468478889531,0.44395124649228007
internvl_2_5_8b,ALL/I,44,32,28,48,0.8304945054945054,0.4315689888834814
internvl_2_5_8b,ALL/I,45,32,32,52,0.8367351069982649,0.44344170153049595
internvl_2_5_8b,ALL/S,43,32,28,48,0.8517437825332562,0.5030711366947149
internvl_2_5_8b,ALL/S,44,32,28,48,0.856307113938693,0.5256854618919662
internvl_2_5_8b,ALL/S,45,32,32,52,0.8568449971081551,0.5185399827392662
internvl_2_5_8b,ALL/I+S,43,64,22,42,0.877539039907461,0.5677210280907719
internvl_2_5_8b,ALL/I+S,44,64,18,38,0.8746067090803934,0.5455374667479456
internvl_2_5_8b,ALL/I+S,45,64,28,48,0.8790485829959513,0.5545552925671644
