model,group,seed,input_dim,best_epoch,epochs,AUROC,HALL_AUPR
llava_1_5_7b,PVG/I,43,96,28,48,0.9015269341002241,0.6940201673199593
llava_1_5_7b,PVG/I,44,96,36,56,0.9014706889299723,0.6856568895801249
llava_1_5_7b,PVG/I,45,96,32,52,0.9006710293355245,0.6809818905506427
llava_1_5_7b,PVG/S,43,96,19,39,0.9033390067592022,0.7079216781661707
llava_1_5_7b,PVG/S,44,96,12,32,0.9015978519235848,0.7092776971284162
llava_1_5_7b,PVG/S,45,96,16,36,0.9024586475726539,0.7052839022639984
llava_1_5_7b,PVG/I+S,43,192,19,39,0.9057771126175035,0.7072253503663822
llava_1_5_7b,PVG/I+S,44,192,16,36,0.9041631207754985,0.7041245860932623
llava_1_5_7b,PVG/I+S,45,192,16,36,0.9059042756111161,0.7050617426476669
llava_1_5_7b,ALL/I,43,32,48,68,0.8700174115483562,0.6156575844771658
llava_1_5_7b,ALL/I,44,32,27,47,0.866628028680146,0.6179185677821338
llava_1_5_7b,ALL/I,45,32,34,54,0.8672442801107296,0.6155811603318618
llava_1_5_7b,ALL/S,43,32,48,68,0.8743580714264753,0.6303518483084655
llava_1_5_7b,ALL/S,44,32,36,56,0.8753166847629389,0.6310513925243151
llava_1_5_7b,ALL/S,45,32,35,55,0.8725386624409426,0.6257363775515633
llava_1_5_7b,ALL/I+S,43,64,24,44,0.8870156801752893,0.6527146155350343
llava_1_5_7b,ALL/I+S,44,64,33,53,0.8843159120032085,0.6524124761382698
llava_1_5_7b,ALL/I+S,45,64,31,51,0.8854628243879057,0.6523488071354832
