model,scope,region,I_REAL,I_HALL,S_REAL,S_HALL,G_REAL,G_HALL,lambda_median_REAL,lambda_median_HALL,lambda_iqr_REAL,lambda_iqr_HALL,lambda_cv_REAL,lambda_cv_HALL,spearman_I_S,log_pearson_I_S,delta_log_I,delta_log_S,delta_log_G,paired_delta_log_I,paired_delta_log_S,paired_delta_log_G
qwen2_5_vl_7b,all,prompt,11.431032748641655,9.189277401073644,12.696775982098814,10.739026718804093,1.057217592143432,1.1059034649052366,0.7492680270430095,0.7505115768599693,0.1414695311965231,0.13629863249937427,0.22426933988306444,0.2194668594511424,0.880701358311706,0.8807099279365055,-0.2406644446262396,-0.19435268419568463,0.04631176043055423,-0.24602262432274946,-0.19757898480450176,0.04844363951824772
qwen2_5_vl_7b,all,visual,33.523582474297164,28.92162599779552,21.321032065999468,18.56619136820144,0.7758010723042538,0.77339876371867,0.7264394553101802,0.7287306055697217,0.11351256837322239,0.11376661635302106,0.13016386752592593,0.12851553954069672,0.9605066978105378,0.9696627632631994,-0.22926443224676393,-0.2300220351892159,-0.0007576029424520668,-0.25562887628156167,-0.2528537398201002,0.002775136461461534
qwen2_5_vl_7b,all,generation,42.98293656467611,51.82243085590873,37.27561279854787,44.28925483604211,0.9134426676055656,0.8921876467928925,0.8047413321878195,0.7825886996127828,0.1510072578775208,0.142938681617639,0.1639633649592349,0.15982186117691533,0.9021942466699666,0.9022251162608389,0.24450107151044523,0.22677280300595298,-0.017728268504495236,0.2549084140131847,0.23851252336435322,-0.01639589064883154
qwen2_5_vl_7b,all,all,87.93755178761494,89.9333342547779,71.29342084664616,73.59447292304765,0.8958865532562699,0.894659399635057,0.7300810531152567,0.733791756546902,0.12172658057594496,0.12506881751823454,0.15390628014353558,0.1530904948409166,0.7380974478890151,0.7426299477007907,0.035038347972822424,0.035443790245353775,0.0004054422725255794,0.030782425458535982,0.0347998681224363,0.00401744266390032
qwen2_5_vl_7b,train,prompt,11.415983188146246,9.161829610281695,12.687005106672958,10.709598349418954,1.058049310519454,1.1056017376270135,0.7499915282779206,0.750685633766711,0.14155788710811448,0.13652045852442082,0.22410946576355908,0.21904910411796624,0.8806930050588219,0.8809101054826913,-0.24171558696212525,-0.19606974326358192,0.04564584369854295,-0.25310243937783955,-0.2046510880760717,0.048451351301767864
qwen2_5_vl_7b,train,visual,33.485504033993294,28.84126524638461,21.292431012091402,18.531113462127532,0.7763322829267836,0.7737667814945144,0.7270883500953806,0.7287472623359241,0.1134984888259161,0.1141700434428267,0.12996259545932212,0.12855735635582682,0.9606265934015937,0.9699510749531122,-0.23524797176215465,-0.23622583391869797,-0.000977862156543083,-0.26504753304017953,-0.2628060102373778,0.0022415228028017883
qwen2_5_vl_7b,train,generation,43.016559496555146,51.92602735738832,37.32502698417259,44.43111228592867,0.9144224778759414,0.8923538447952534,0.8053839697238485,0.7824981783453362,0.15115251831650153,0.14228181707205276,0.1639932679191845,0.1595809545989518,0.9024848111256293,0.9026173322538166,0.24450457685822938,0.22664720349681536,-0.017857373361416535,0.26131853167002134,0.24363673317403542,-0.017681798495985925
qwen2_5_vl_7b,train,all,87.91804671869468,89.92912221405462,71.30446310293695,73.67182409747514,0.8968424890124905,0.8949525736814398,0.7307392522012749,0.7338614790096409,0.12173145080660307,0.12542632919492872,0.1537498658570939,0.15307742608583072,0.7388338465933094,0.7433846197841746,0.034079485084067725,0.034345115858236804,0.0002656307741657819,0.03128349585800748,0.034534010158625665,0.003250514300618184
qwen2_5_vl_7b,validation,prompt,11.404765943869327,9.439123868961548,12.62870127350409,10.918458099747962,1.0528169220862078,1.098086953128901,0.7446632403480586,0.7447249348413721,0.140186677945051,0.1350103687009587,0.22467364868350437,0.2222977985693025,0.8775877729421729,0.8779473530763703,-0.21419790712802783,-0.17119233199050637,0.04300557513752133,-0.1901503734496665,-0.14551073192999484,0.04463964151967172
qwen2_5_vl_7b,validation,visual,33.882729403931,29.521414291204604,21.579142193389455,18.888950334508127,0.7731916961556157,0.769759095438381,0.7230581064009947,0.7241568346123469,0.11424328796889197,0.11235021507598399,0.1313701632403189,0.1298326751517823,0.958343948725617,0.9675509165973438,-0.18557743165206614,-0.18642568601201798,-0.0008482543599516118,-0.19169451121049927,-0.1891367575683927,0.002557753642106535
