model,group,seed,input_dim,best_epoch,epochs,AUROC,HALL_AUPR
qwen2_5_vl_7b,PVG/I,43,84,21,41,0.8521316783594173,0.43776798802083716
qwen2_5_vl_7b,PVG/I,44,84,36,56,0.8544291110939788,0.448790834141185
qwen2_5_vl_7b,PVG/I,45,84,37,57,0.8535656464420631,0.4285530475125683
qwen2_5_vl_7b,PVG/S,43,84,21,41,0.8600570503430731,0.42245156852142557
qwen2_5_vl_7b,PVG/S,44,84,10,30,0.8574358183640428,0.41588186346888906
qwen2_5_vl_7b,PVG/S,45,84,23,43,0.8659471127900701,0.4308069066814979
qwen2_5_vl_7b,PVG/I+S,43,168,25,45,0.864898619998458,0.4635205261586719
qwen2_5_vl_7b,PVG/I+S,44,168,33,53,0.8782823221031532,0.4914507175445574
qwen2_5_vl_7b,PVG/I+S,45,168,34,54,0.8711124816899237,0.454652537077437
qwen2_5_vl_7b,ALL/I,43,28,25,45,0.8067072700639888,0.3602943989425977
qwen2_5_vl_7b,ALL/I,44,28,48,68,0.8183640428648524,0.3710224764492789
qwen2_5_vl_7b,ALL/I,45,28,37,57,0.8158199059440289,0.3619019053305746
qwen2_5_vl_7b,ALL/S,43,28,32,52,0.8344923290417086,0.3616658555923841
qwen2_5_vl_7b,ALL/S,44,28,18,38,0.821617454321178,0.34864382306411146
qwen2_5_vl_7b,ALL/S,45,28,23,43,0.8264898619998459,0.33850924908885976
qwen2_5_vl_7b,ALL/I+S,43,56,27,47,0.8385321100917432,0.42740882343423436
qwen2_5_vl_7b,ALL/I+S,44,56,18,38,0.8309767943874797,0.4019556950042652
qwen2_5_vl_7b,ALL/I+S,45,56,23,43,0.8361113252640505,0.4200006109327944
