model,group,seed,input_dim,best_epoch,epochs,AUROC,HALL_AUPR
qwen3_vl_8b,PVG/I,43,108,25,45,0.9037190082644628,0.6821948227342831
qwen3_vl_8b,PVG/I,44,108,28,48,0.9081190082644628,0.6856678739147486
qwen3_vl_8b,PVG/I,45,108,26,46,0.9044892561983471,0.6690095196975104
qwen3_vl_8b,PVG/S,43,108,27,47,0.913695867768595,0.691371001626071
qwen3_vl_8b,PVG/S,44,108,24,44,0.9126049586776859,0.6935960621813925
qwen3_vl_8b,PVG/S,45,108,26,46,0.9140826446280992,0.6968828323183189
qwen3_vl_8b,PVG/I+S,43,216,15,35,0.9166545454545454,0.7093171347494118
qwen3_vl_8b,PVG/I+S,44,216,19,39,0.920105785123967,0.7155776012782589
qwen3_vl_8b,PVG/I+S,45,216,26,46,0.9198710743801652,0.7055879083587897
qwen3_vl_8b,ALL/I,43,36,18,38,0.8481256198347107,0.5529255249856628
qwen3_vl_8b,ALL/I,44,36,14,34,0.8470446280991735,0.5593916996205621
qwen3_vl_8b,ALL/I,45,36,27,47,0.8528793388429752,0.5668570884861747
qwen3_vl_8b,ALL/S,43,36,32,52,0.8841057851239669,0.6332576226365317
qwen3_vl_8b,ALL/S,44,36,26,46,0.8811173553719006,0.6132543370811705
qwen3_vl_8b,ALL/S,45,36,35,55,0.8804495867768595,0.6114503798406122
qwen3_vl_8b,ALL/I+S,43,72,14,34,0.8876297520661156,0.6399945893951501
qwen3_vl_8b,ALL/I+S,44,72,17,37,0.890390082644628,0.6594973100577528
qwen3_vl_8b,ALL/I+S,45,72,27,47,0.8926446280991734,0.6553333692408307
