model,signal,label,metric,layer,n_images,mean,std,median,q25,q75
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,1,1321,0.8547644448226189,0.0449672133248225,0.8603401780128479,0.8310776948928833,0.885085940361023
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,2,1321,0.7941452488133981,0.03667664205948855,0.7951890230178833,0.7709536552429199,0.8187700510025024
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,3,1321,0.7754767618334537,0.0562284748994517,0.7815737724304199,0.7389466762542725,0.816034197807312
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,4,1321,0.8232679923405528,0.03962512959604399,0.8275660872459412,0.7995477318763733,0.8505252599716187
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,5,1321,0.8585764781531738,0.03479554510584265,0.862720787525177,0.8393531441688538,0.8824002146720886
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,6,1321,0.856939121234787,0.033047959336267925,0.8592490553855896,0.8372457027435303,0.880591869354248
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,7,1321,0.8807045104014521,0.037408672009617686,0.8876034021377563,0.8672651648521423,0.9044705033302307
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,8,1321,0.8527705863873946,0.05118440079125034,0.8611637353897095,0.8302942514419556,0.8893122673034668
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,9,1321,0.8996489732938675,0.03121045321497083,0.9041339755058289,0.8838481903076172,0.92138671875
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,10,1321,0.8313532710120499,0.06035254807437106,0.8399624228477478,0.7947201132774353,0.874252200126648
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,11,1321,0.844434607917842,0.06377738255471528,0.8535156846046448,0.8124041557312012,0.8907950520515442
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,12,1321,0.8186549972982501,0.06333450413759245,0.8226428031921387,0.7803531885147095,0.8666068315505981
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,13,1321,0.7616173856913547,0.08167956953333898,0.7677196264266968,0.712627112865448,0.8198238611221313
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,14,1321,0.8224915726044068,0.06021529215769178,0.8303649425506592,0.7890197038650513,0.8646413087844849
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,15,1321,0.7887788137913111,0.0703621715026566,0.7944657802581787,0.7433808445930481,0.8382469415664673
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,16,1321,0.7435356296435348,0.08685813300046889,0.7541383504867554,0.6915436387062073,0.8044158816337585
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,17,1321,0.7668946372524164,0.07107239557188656,0.7745569348335266,0.7230510711669922,0.8162515163421631
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,18,1321,0.7395276490663778,0.09873297844091039,0.7514910101890564,0.6792052984237671,0.8131743669509888
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,19,1321,0.7621595316272536,0.06910683192568827,0.7698118686676025,0.7215307950973511,0.811186671257019
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,20,1321,0.7160421056245693,0.09088877707388679,0.7233268618583679,0.6595231890678406,0.7826966643333435
internvl_2_5_8b,attention_distribution,HALL,normalized_entropy,21,1321,0.7754252067485783,0.07253827819210489,0.7848391532897949,0.7321112155914307,0.8271085023880005
