model,signal,label,support,layer_left,layer_right,n_images,mean,std,se
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,1,1,1321,0.0,0.0,0.0
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,1,2,1321,0.05728206288331752,0.01605831468723571,0.0004418232393878826
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,1,3,1321,0.06694877583936792,0.023808481691577055,0.0006550588097666956
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,1,4,1321,0.06338641310870692,0.02123141812887345,0.0005841543223681997
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,1,5,1321,0.08356528235409046,0.0310798609969946,0.0008551211713600478
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,1,6,1321,0.13399794621056088,0.04004020804416578,0.0011016532412271073
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,1,7,1321,0.12070035274555789,0.045065741427106086,0.001239924129682641
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,1,8,1321,0.17993687120894425,0.05286843794418317,0.0014546049799636358
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,1,9,1321,0.13471509306991217,0.03641410426373077,0.0010018858029976208
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,1,10,1321,0.23541033339040193,0.0533928063580559,0.0014690322816925082
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,1,11,1321,0.2160590948321258,0.0545705044934741,0.001501435084561052
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,1,12,1321,0.25254876494272294,0.0537708687672213,0.001479434167666322
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,1,13,1321,0.30868299707014574,0.061476547208434984,0.0016914456942111703
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,1,14,1321,0.22922765221630056,0.04867178538636056,0.001339139648526554
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,1,15,1321,0.2715997614705319,0.05637036180268591,0.0015509557722720741
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,1,16,1321,0.3312907546284883,0.06352843504965137,0.0017479006678820651
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,1,17,1321,0.3101207527764181,0.05731842717914786,0.001577040534212433
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,1,18,1321,0.2977046437510751,0.06995556685481386,0.0019247346787628543
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,1,19,1321,0.29658691043613716,0.05503815068133922,0.0015143017494405363
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,1,20,1321,0.33503002062564,0.06369078397001952,0.0017523674831927151
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,1,21,1321,0.30253956531774445,0.057032678419754686,0.0015691785359277367
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,1,22,1321,0.3040946789599115,0.06321545676313821,0.0017392894852580733
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,1,23,1321,0.29218522211667897,0.07329193140382959,0.0020165303261601947
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,1,24,1321,0.2671335155565932,0.07622616826896804,0.0020972619634544434
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,1,25,1321,0.34708739975065467,0.07415365494442747,0.002040239506954016
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,1,26,1321,0.32457120356733016,0.0794292237164821,0.0021853897876578485
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,1,27,1321,0.3021033704393655,0.07363126280211094,0.00202586657971698
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,1,28,1321,0.2561687434897289,0.07172532993651867,0.001973427363701295
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,1,29,1321,0.3291251402994072,0.06979885228668145,0.0019204228851842562
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,1,30,1321,0.31958517252857443,0.06223656691542954,0.0017123566288567516
internvl_2_5_8b,attention_distribution,HALL,all_visual_tokens,1,31,1321,0.29260680162933717,0.06375303621700258,0.0017540802712378448
