model,group,classifier,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std
internvl_2_5_8b,svar,three_hidden,0.8792818584923848,0.002622439818892612,0.5428027950542651,0.009998569965563638
internvl_2_5_8b,metatoken,three_hidden,0.7852207441681126,0.002566465685276415,0.3885018051720966,0.007899705422114918
internvl_2_5_8b,metatoken,one_hidden,0.7871524966261809,0.005468949798711605,0.37864349871428576,0.021954857332066362
internvl_2_5_8b,metatoken,xgb,0.8569346443030653,0.0,0.5035184995607809,0.0
llava_1_5_7b,svar,three_hidden,0.9061553410087613,0.001926791539564392,0.7079372934010894,0.003599758707028918
llava_1_5_7b,metatoken,three_hidden,0.862217266126061,0.0034820305025916936,0.6377397552300113,0.006293683157621315
llava_1_5_7b,metatoken,one_hidden,0.863318530256641,0.0008502858703051114,0.6205235315473937,0.0037372856633655577
llava_1_5_7b,metatoken,xgb,0.8914150306658449,1.1102230246251565e-16,0.6633484639526965,0.0
qwen2_5_vl_7b,svar,three_hidden,0.8647804075758744,0.0037283483317368856,0.4333768134780763,0.01517744597419626
qwen2_5_vl_7b,metatoken,three_hidden,0.7685040988872612,0.005271052269410975,0.22202336735502126,0.00835043436313001
qwen2_5_vl_7b,metatoken,one_hidden,0.779238300824917,0.0024045502492872945,0.2711944926446707,0.009097324121177638
qwen2_5_vl_7b,svar,xgb,0.874874720530414,0.0,0.44387488004226333,5.551115123125783e-17
qwen2_5_vl_7b,metatoken,xgb,0.8374065222419244,1.1102230246251565e-16,0.3865511819524599,0.0
