model,classifier,ae_group,baseline,AUROC_delta_pp,HALL_AUPR_delta_pp
llava_1_5_7b,three_hidden,visual,svar,-0.5811185778612615,-1.4178081329167647
llava_1_5_7b,three_hidden,visual_prompt_sum,svar,-1.5980964678033227,-2.6933314643476702
llava_1_5_7b,three_hidden,generation,svar,-3.3053411717906767,-7.440708685434371
llava_1_5_7b,three_hidden,vp_generation,svar,-0.5690543964159578,1.270289087059373
llava_1_5_7b,three_hidden,legacy_visual,svar,-0.5249549223490635,-1.2773051460911233
llava_1_5_7b,one_hidden,visual,svar,-0.9669685972617525,-1.6710139435399896
llava_1_5_7b,one_hidden,visual_prompt_sum,svar,-2.844986680491568,-3.2965540317440367
llava_1_5_7b,one_hidden,generation,svar,-3.49604490483969,-4.73266736513046
llava_1_5_7b,one_hidden,vp_generation,svar,-0.766442338103579,1.7205030931820575
llava_1_5_7b,one_hidden,legacy_visual,svar,-1.119156615899275,-2.171041279947483
llava_1_5_7b,xgb,visual,svar,0.12789662626794263,0.7698075713101993
llava_1_5_7b,xgb,visual_prompt_sum,svar,-0.6808111042638898,-1.1993894883769562
llava_1_5_7b,xgb,generation,svar,-1.4078410658215357,-3.1609277838273275
llava_1_5_7b,xgb,vp_generation,svar,0.1525955923350253,1.426253604077099
llava_1_5_7b,xgb,legacy_visual,svar,0.15259559233500308,0.1040963229313574
llava_1_5_7b,three_hidden,visual,metatoken,3.812688910408768,5.601945684191046
llava_1_5_7b,three_hidden,visual_prompt_sum,metatoken,2.795711020466707,4.32642235276014
llava_1_5_7b,three_hidden,generation,metatoken,1.0884663164793529,-0.4209548683265618
llava_1_5_7b,three_hidden,vp_generation,metatoken,3.8247530918540718,8.290042904167183
llava_1_5_7b,three_hidden,legacy_visual,metatoken,3.868852565920966,5.742448671016687
llava_1_5_7b,one_hidden,visual,metatoken,2.575539709090202,4.668151381871266
llava_1_5_7b,one_hidden,visual_prompt_sum,metatoken,0.6975216258603867,3.042611293667219
llava_1_5_7b,one_hidden,generation,metatoken,0.04646340151226447,1.606497960280795
llava_1_5_7b,one_hidden,vp_generation,metatoken,2.7760659682483757,8.059668418593313
llava_1_5_7b,one_hidden,legacy_visual,metatoken,2.4233516904526797,4.168124045463772
llava_1_5_7b,xgb,visual,metatoken,1.0701255000929222,3.4652705688999252
llava_1_5_7b,xgb,visual_prompt_sum,metatoken,0.26141776956108975,1.4960735092127697
llava_1_5_7b,xgb,generation,metatoken,-0.4656121919965561,-0.46546478623760157
llava_1_5_7b,xgb,vp_generation,metatoken,1.0948244661600048,4.121716601666825
llava_1_5_7b,xgb,legacy_visual,metatoken,1.0948244661599826,2.7995593205210834
