model,group,classifier,seed,AUROC,HALL_AUPR
qwen2_5_vl_7b,svar,three_hidden,43,0.8607509058669338,0.41262975213235126
qwen2_5_vl_7b,svar,three_hidden,44,0.8697401896538433,0.4389856947842999
qwen2_5_vl_7b,svar,three_hidden,45,0.8638501272068461,0.4485149935175776
qwen2_5_vl_7b,svar,one_hidden,43,0.8638963842417701,0.4516922398833188
qwen2_5_vl_7b,svar,one_hidden,44,0.8722997455863079,0.4605446489551079
qwen2_5_vl_7b,svar,one_hidden,45,0.8680595173849355,0.46475935034446547
qwen2_5_vl_7b,svar,xgb,43,0.874874720530414,0.4438748800422633
qwen2_5_vl_7b,svar,xgb,44,0.874874720530414,0.4438748800422633
qwen2_5_vl_7b,svar,xgb,45,0.874874720530414,0.4438748800422633
qwen2_5_vl_7b,metatoken,three_hidden,43,0.7750674581759308,0.23258366698217095
qwen2_5_vl_7b,metatoken,three_hidden,44,0.7682830930537352,0.22132084628546117
qwen2_5_vl_7b,metatoken,three_hidden,45,0.7621617454321178,0.21216558879743164
qwen2_5_vl_7b,metatoken,one_hidden,43,0.7826381928918356,0.28002471503405185
qwen2_5_vl_7b,metatoken,one_hidden,44,0.7775961760851129,0.27488261158765953
qwen2_5_vl_7b,metatoken,one_hidden,45,0.7774805334978028,0.2586761513123008
qwen2_5_vl_7b,metatoken,xgb,43,0.8374065222419242,0.3865511819524599
qwen2_5_vl_7b,metatoken,xgb,44,0.8374065222419242,0.3865511819524599
qwen2_5_vl_7b,metatoken,xgb,45,0.8374065222419242,0.3865511819524599
