model,classifier,ae_group,baseline,AUROC_delta_pp,HALL_AUPR_delta_pp
qwen3_vl_8b,three_hidden,visual,svar,0.9153719008264449,4.5907691998790305
qwen3_vl_8b,three_hidden,visual_prompt_sum,svar,0.6759228650137672,4.459826933124633
qwen3_vl_8b,three_hidden,generation,svar,-1.0850688705234202,-1.34475905154956
qwen3_vl_8b,three_hidden,vp_generation,svar,3.08429752066115,8.1221660882568
qwen3_vl_8b,three_hidden,legacy_visual,svar,0.9187878787878745,5.032024933691481
qwen3_vl_8b,one_hidden,visual,svar,-1.027768595041334,1.3215764923069862
qwen3_vl_8b,one_hidden,visual_prompt_sum,svar,-2.6893663911845778,0.3880901884175336
qwen3_vl_8b,one_hidden,generation,svar,-6.132231404958688,-9.894263584247176
qwen3_vl_8b,one_hidden,vp_generation,svar,-0.15030303030303394,3.536644778359499
qwen3_vl_8b,one_hidden,legacy_visual,svar,-1.1353168044077044,1.527632767092657
qwen3_vl_8b,xgb,visual,svar,1.7818181818181622,5.167128507780793
qwen3_vl_8b,xgb,visual_prompt_sum,svar,2.922644628099147,9.45306589842052
qwen3_vl_8b,xgb,generation,svar,-0.38595041322315726,-1.5098025606642862
qwen3_vl_8b,xgb,vp_generation,svar,3.3976859504132095,9.788698528914441
qwen3_vl_8b,xgb,legacy_visual,svar,0.8333884297520577,2.9015690917658543
qwen3_vl_8b,three_hidden,visual,metatoken,12.917796143250715,29.5757412324463
qwen3_vl_8b,three_hidden,visual_prompt_sum,metatoken,12.678347107438038,29.444798965691906
qwen3_vl_8b,three_hidden,generation,metatoken,10.91735537190085,23.64021298101771
qwen3_vl_8b,three_hidden,vp_generation,metatoken,15.08672176308542,33.10713812082407
qwen3_vl_8b,three_hidden,legacy_visual,metatoken,12.921212121212145,30.016996966258752
qwen3_vl_8b,one_hidden,visual,metatoken,11.016859504132226,24.554561675495844
qwen3_vl_8b,one_hidden,visual_prompt_sum,metatoken,9.355261707988982,23.62107537160639
qwen3_vl_8b,one_hidden,generation,metatoken,5.912396694214872,13.338721598941683
qwen3_vl_8b,one_hidden,vp_generation,metatoken,11.894325068870526,26.769629961548357
qwen3_vl_8b,one_hidden,legacy_visual,metatoken,10.909311294765855,24.760617950281517
qwen3_vl_8b,xgb,visual,metatoken,2.642975206611553,6.9580220095026295
qwen3_vl_8b,xgb,visual_prompt_sum,metatoken,3.783801652892538,11.243959400142355
qwen3_vl_8b,xgb,generation,metatoken,0.4752066115702336,0.28109094105754906
qwen3_vl_8b,xgb,vp_generation,metatoken,4.2588429752066,11.579592030636277
qwen3_vl_8b,xgb,legacy_visual,metatoken,1.6945454545454486,4.69246259348769
