model,group,classifier,seed,AUROC,HALL_AUPR
qwen3_vl_8b,svar,three_hidden,43,0.890297520661157,0.6190039666735895
qwen3_vl_8b,svar,three_hidden,44,0.8905223140495868,0.6096651694603147
qwen3_vl_8b,svar,three_hidden,45,0.8953190082644629,0.628789910054518
qwen3_vl_8b,svar,one_hidden,43,0.8892396694214876,0.6086595878553344
qwen3_vl_8b,svar,one_hidden,44,0.891904132231405,0.6054337728649241
qwen3_vl_8b,svar,one_hidden,45,0.8903008264462811,0.600228669456886
qwen3_vl_8b,svar,xgb,43,0.8852991735537191,0.6098485548459672
qwen3_vl_8b,svar,xgb,44,0.8852991735537191,0.6098485548459672
qwen3_vl_8b,svar,xgb,45,0.8852991735537191,0.6098485548459672
qwen3_vl_8b,metatoken,three_hidden,43,0.7731438016528925,0.3694563332684274
qwen3_vl_8b,metatoken,three_hidden,44,0.7756330578512396,0.371663598879277
qwen3_vl_8b,metatoken,three_hidden,45,0.7672892561983471,0.3667899530636998
qwen3_vl_8b,metatoken,one_hidden,43,0.7682677685950414,0.3694869763197327
qwen3_vl_8b,metatoken,one_hidden,44,0.7701520661157024,0.37035934347596455
qwen3_vl_8b,metatoken,one_hidden,45,0.7716859504132231,0.37748615488578163
qwen3_vl_8b,metatoken,xgb,43,0.8766876033057852,0.5919396198287489
qwen3_vl_8b,metatoken,xgb,44,0.8766876033057852,0.5919396198287489
qwen3_vl_8b,metatoken,xgb,45,0.8766876033057852,0.5919396198287489
