model,family,head,method,seed,AUROC,HALL_AUPR
internvl_2_5_8b,native,svar_native,svar,43,0.8881295278951169,0.6763727773885464
internvl_2_5_8b,native,svar_native,svar,44,0.8852513734159206,0.6677760042682719
internvl_2_5_8b,native,svar_native,svar,45,0.8806058351025412,0.6497180081596672
internvl_2_5_8b,native,metatoken_lr,metatoken,43,0.8639497472039223,0.6088260067626659
internvl_2_5_8b,native,metatoken_lr,metatoken,44,0.8639497472039223,0.6088260067626659
internvl_2_5_8b,native,metatoken_lr,metatoken,45,0.8639497472039223,0.6088260067626659
internvl_2_5_8b,native,metatoken_gb,metatoken,43,0.8711834358379478,0.6322537739897878
internvl_2_5_8b,native,metatoken_gb,metatoken,44,0.8714679682199216,0.6332629767446574
internvl_2_5_8b,native,metatoken_gb,metatoken,45,0.8717032546127077,0.6335761798949888
internvl_2_5_8b,shared_mlp_fixed,svar,svar,43,0.8899406859419116,0.6820188050632813
internvl_2_5_8b,shared_mlp_fixed,svar,svar,44,0.8839107881546981,0.6619604527603437
internvl_2_5_8b,shared_mlp_fixed,svar,svar,45,0.8858040228501389,0.6594414938244079
internvl_2_5_8b,shared_mlp_fixed,metatoken,metatoken,43,0.8391680710893213,0.5481127720786055
internvl_2_5_8b,shared_mlp_fixed,metatoken,metatoken,44,0.8469051631683775,0.5536912310712762
internvl_2_5_8b,shared_mlp_fixed,metatoken,metatoken,45,0.8364650134605702,0.53706347418404
internvl_2_5_8b,shared_mlp_fixed,visual_only,visual_only,43,0.8645899450633632,0.5926503611488848
internvl_2_5_8b,shared_mlp_fixed,visual_only,visual_only,44,0.8783022171638687,0.6168394604615098
internvl_2_5_8b,shared_mlp_fixed,visual_only,visual_only,45,0.8797631815097725,0.6329919672064198
internvl_2_5_8b,shared_mlp_fixed,all_attention,all_attention,43,0.8843704173871173,0.6257603435744072
internvl_2_5_8b,shared_mlp_fixed,all_attention,all_attention,44,0.8761846396287947,0.6134465223381388
internvl_2_5_8b,shared_mlp_fixed,all_attention,all_attention,45,0.8821133095493444,0.6283627031997305
internvl_2_5_8b,shared_mlp_single,svar,svar,43,0.887724616428462,0.6743744863784163
internvl_2_5_8b,shared_mlp_single,svar,svar,44,0.8868874346122699,0.6690382202118283
internvl_2_5_8b,shared_mlp_single,svar,svar,45,0.8892786009761651,0.6717055752619562
internvl_2_5_8b,shared_mlp_single,metatoken,metatoken,43,0.8802228107421917,0.6411754157771336
internvl_2_5_8b,shared_mlp_single,metatoken,metatoken,44,0.8750191512180175,0.6240334654637686
internvl_2_5_8b,shared_mlp_single,metatoken,metatoken,45,0.8747619777189259,0.6270874381443706
internvl_2_5_8b,shared_mlp_single,visual_only,visual_only,43,0.8853279782879905,0.6404369774632911
internvl_2_5_8b,shared_mlp_single,visual_only,visual_only,44,0.8791339272034844,0.6298000623952905
internvl_2_5_8b,shared_mlp_single,visual_only,visual_only,45,0.8790737376611438,0.6203010702399872
internvl_2_5_8b,shared_mlp_single,all_attention,all_attention,43,0.8881678303311518,0.6421438382251139
internvl_2_5_8b,shared_mlp_single,all_attention,all_attention,44,0.8857766639672571,0.6432795413883889
internvl_2_5_8b,shared_mlp_single,all_attention,all_attention,45,0.8833362516141741,0.6345104492621476
