model,family,head,method,seed,AUROC,HALL_AUPR
minigpt4_7b,native,svar_native,svar,43,0.9428767153558881,0.8004453469759006
minigpt4_7b,native,svar_native,svar,44,0.9366598162921058,0.7888914802044424
minigpt4_7b,native,svar_native,svar,45,0.9347372918185903,0.7924032369979706
minigpt4_7b,native,metatoken_lr,metatoken,43,0.9193718280187686,0.6999842698674654
minigpt4_7b,native,metatoken_lr,metatoken,44,0.9193718280187686,0.6999842698674654
minigpt4_7b,native,metatoken_lr,metatoken,45,0.9193718280187686,0.6999842698674654
minigpt4_7b,native,metatoken_gb,metatoken,43,0.922487643544811,0.7330167431568749
minigpt4_7b,native,metatoken_gb,metatoken,44,0.9224287155915998,0.7332616208340861
minigpt4_7b,native,metatoken_gb,metatoken,45,0.92237715363254,0.7341777963851635
minigpt4_7b,shared_mlp_fixed,svar,svar,43,0.9446519199463757,0.8179672165312465
minigpt4_7b,shared_mlp_fixed,svar,svar,44,0.9406006231631052,0.805466694422835
minigpt4_7b,shared_mlp_fixed,svar,svar,45,0.9399745136602361,0.8020884153701223
minigpt4_7b,shared_mlp_fixed,metatoken,metatoken,43,0.8934066986350813,0.6130358601424705
minigpt4_7b,shared_mlp_fixed,metatoken,metatoken,44,0.8937897303309542,0.6159780304498477
minigpt4_7b,shared_mlp_fixed,metatoken,metatoken,45,0.9061866984877613,0.6615688979480094
minigpt4_7b,shared_mlp_fixed,visual_only,visual_only,43,0.9270913898894364,0.7729065210574523
minigpt4_7b,shared_mlp_fixed,visual_only,visual_only,44,0.9201084274339086,0.7496957500069635
minigpt4_7b,shared_mlp_fixed,visual_only,visual_only,45,0.9255224331351881,0.769794819881434
minigpt4_7b,shared_mlp_fixed,all_attention,all_attention,43,0.9344868480174426,0.7843437263429567
minigpt4_7b,shared_mlp_fixed,all_attention,all_attention,44,0.9348404157367098,0.7852856011168211
minigpt4_7b,shared_mlp_fixed,all_attention,all_attention,45,0.9374921736312142,0.8027835649914722
minigpt4_7b,shared_mlp_single,svar,svar,43,0.9436206807651795,0.8023824246206633
minigpt4_7b,shared_mlp_single,svar,svar,44,0.9412120006776714,0.796274290674508
minigpt4_7b,shared_mlp_single,svar,svar,45,0.9429209113207964,0.8073524860983882
minigpt4_7b,shared_mlp_single,metatoken,metatoken,43,0.921124934626802,0.7456893871179131
minigpt4_7b,shared_mlp_single,metatoken,metatoken,44,0.9220383179015754,0.7421243371921991
minigpt4_7b,shared_mlp_single,metatoken,metatoken,45,0.9192687041006489,0.7347186511480881
minigpt4_7b,shared_mlp_single,visual_only,visual_only,43,0.9269661679888626,0.7666022083674362
minigpt4_7b,shared_mlp_single,visual_only,visual_only,44,0.9346636318770761,0.7772097044032582
minigpt4_7b,shared_mlp_single,visual_only,visual_only,45,0.93142259445046,0.7721473257774972
minigpt4_7b,shared_mlp_single,all_attention,all_attention,43,0.9339491304443903,0.7863448071141418
minigpt4_7b,shared_mlp_single,all_attention,all_attention,44,0.9359011188945117,0.7832061986533312
minigpt4_7b,shared_mlp_single,all_attention,all_attention,45,0.9350024676080407,0.7839453079769432
