model,family,head,method,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std
minigpt4_7b,native,svar_native,svar,0.9380912744888614,0.0034736492153232225,0.7939133547261047,0.004836203814823489
minigpt4_7b,native,metatoken_lr,metatoken,0.9193718280187686,0.0,0.6999842698674654,0.0
minigpt4_7b,native,metatoken_gb,metatoken,0.9224311709229837,4.514071826018584e-05,0.7334853867920414,0.0004997096174677016
minigpt4_7b,shared_mlp_fixed,svar,svar,0.9417423522565723,0.002073192607800243,0.8085074421080679,0.006829772638605503
minigpt4_7b,shared_mlp_fixed,metatoken,metatoken,0.8977943758179322,0.005936328167361034,0.6301942628467759,0.022217708962763188
minigpt4_7b,shared_mlp_fixed,visual_only,visual_only,0.9242407501528443,0.0029913736659768564,0.7641323636486166,0.010286966871758351
minigpt4_7b,shared_mlp_fixed,all_attention,all_attention,0.9356064791284555,0.0013411774307991527,0.79080429748375,0.00847934429613466
minigpt4_7b,shared_mlp_single,svar,svar,0.9425845309212159,0.001011697837270253,0.8020030671311864,0.004530602428010121
minigpt4_7b,shared_mlp_single,metatoken,metatoken,0.9208106522096754,0.0011523223593702403,0.7408441251527335,0.004569352184529563
minigpt4_7b,shared_mlp_single,visual_only,visual_only,0.9310174647721329,0.003155506839350756,0.7719864128493973,0.004331986670133168
minigpt4_7b,shared_mlp_single,all_attention,all_attention,0.9349509056489809,0.0007977295715835653,0.7844987712481387,0.0013397653928928059
