model,family,head,method,seed,AUROC,HALL_AUPR
qwen2_5_vl_7b,native,svar_native,svar,43,0.8605234526112185,0.4318099568968977
qwen2_5_vl_7b,native,svar_native,svar,44,0.8623670212765957,0.42887957207286237
qwen2_5_vl_7b,native,svar_native,svar,45,0.862669245647969,0.4493745824738576
qwen2_5_vl_7b,native,metatoken_lr,metatoken,43,0.8597225580270792,0.5080159297148633
qwen2_5_vl_7b,native,metatoken_lr,metatoken,44,0.8597225580270792,0.5080159297148633
qwen2_5_vl_7b,native,metatoken_lr,metatoken,45,0.8597225580270792,0.5080159297148633
qwen2_5_vl_7b,native,metatoken_gb,metatoken,43,0.8622159090909091,0.500497751497925
qwen2_5_vl_7b,native,metatoken_gb,metatoken,44,0.8622763539651838,0.5139325285612772
qwen2_5_vl_7b,native,metatoken_gb,metatoken,45,0.8621554642166344,0.5112239906175376
qwen2_5_vl_7b,shared_mlp_fixed,svar,svar,43,0.8612639023210833,0.4512402064038768
qwen2_5_vl_7b,shared_mlp_fixed,svar,svar,44,0.8594505560928433,0.4146931967088334
qwen2_5_vl_7b,shared_mlp_fixed,svar,svar,45,0.8656159332688588,0.44296604165350684
qwen2_5_vl_7b,shared_mlp_fixed,metatoken,metatoken,43,0.7651414410058028,0.2519045388206854
qwen2_5_vl_7b,shared_mlp_fixed,metatoken,metatoken,44,0.7693876934235977,0.2805458636508533
qwen2_5_vl_7b,shared_mlp_fixed,metatoken,metatoken,45,0.738802587040619,0.2416386990564147
qwen2_5_vl_7b,shared_mlp_fixed,visual_only,visual_only,43,0.8418006528046421,0.4529132408031817
qwen2_5_vl_7b,shared_mlp_fixed,visual_only,visual_only,44,0.853950072533849,0.4625282576063078
qwen2_5_vl_7b,shared_mlp_fixed,visual_only,visual_only,45,0.8520913926499033,0.45901434000117064
qwen2_5_vl_7b,shared_mlp_fixed,all_attention,all_attention,43,0.8433117746615088,0.45320387586087657
qwen2_5_vl_7b,shared_mlp_fixed,all_attention,all_attention,44,0.8609012330754352,0.47514882911595224
qwen2_5_vl_7b,shared_mlp_fixed,all_attention,all_attention,45,0.850701160541586,0.45502100418138175
qwen2_5_vl_7b,shared_mlp_single,svar,svar,43,0.8693937379110251,0.5133487783897769
qwen2_5_vl_7b,shared_mlp_single,svar,svar,44,0.8616945720502902,0.48913059994687835
qwen2_5_vl_7b,shared_mlp_single,svar,svar,45,0.8649812620889747,0.4895157147059478
qwen2_5_vl_7b,shared_mlp_single,metatoken,metatoken,43,0.8793671421663444,0.5422949381830363
qwen2_5_vl_7b,shared_mlp_single,metatoken,metatoken,44,0.8722950918762089,0.5261135666673492
qwen2_5_vl_7b,shared_mlp_single,metatoken,metatoken,45,0.8725519825918764,0.5308858660914217
qwen2_5_vl_7b,shared_mlp_single,visual_only,visual_only,43,0.8635456963249517,0.5350427156576952
qwen2_5_vl_7b,shared_mlp_single,visual_only,visual_only,44,0.8710106382978724,0.5413244126968291
qwen2_5_vl_7b,shared_mlp_single,visual_only,visual_only,45,0.866779497098646,0.5276556535182145
qwen2_5_vl_7b,shared_mlp_single,all_attention,all_attention,43,0.8663714941972922,0.5344363098716983
qwen2_5_vl_7b,shared_mlp_single,all_attention,all_attention,44,0.8709653046421663,0.5345707748501592
qwen2_5_vl_7b,shared_mlp_single,all_attention,all_attention,45,0.8759368955512572,0.5479144434406357
