model,family,head,method,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std
qwen3_vl_8b,native,svar_native,svar,0.8895394695177067,0.0012893654049547212,0.6824765762383485,0.003510421807855146
qwen3_vl_8b,native,metatoken_lr,metatoken,0.8768459505673869,0.0,0.6580153881857772,0.0
qwen3_vl_8b,native,metatoken_gb,metatoken,0.8828969261504626,0.00016371793814076922,0.68877206138797,0.002820786295263355
qwen3_vl_8b,shared_mlp_fixed,svar,svar,0.8939582361780403,0.005902685371015759,0.6928778645636444,0.012929245560327676
qwen3_vl_8b,shared_mlp_fixed,metatoken,metatoken,0.8223188017801729,0.008187868231997037,0.4992842888310756,0.018193765098097517
qwen3_vl_8b,shared_mlp_fixed,visual_only,visual_only,0.9029411426038193,0.002353752379965979,0.7158528788685289,0.0047762452760889305
qwen3_vl_8b,shared_mlp_fixed,all_attention,all_attention,0.9277898682142425,0.0013758682960634612,0.7645577507462457,0.0006303860486875412
qwen3_vl_8b,shared_mlp_single,svar,svar,0.8897539308311888,0.0010243939242862146,0.6922960430854785,0.006213113126601273
qwen3_vl_8b,shared_mlp_single,metatoken,metatoken,0.8938985036645537,0.0014451183209384475,0.6955610986969324,0.008465654516901015
qwen3_vl_8b,shared_mlp_single,visual_only,visual_only,0.8979495195490843,0.0025561429515949265,0.7239878152672121,0.005298693182783527
qwen3_vl_8b,shared_mlp_single,all_attention,all_attention,0.9268974788561296,0.0005874649268245246,0.7719792274177202,0.0037266825987843154
