model,variant,model_champion,trial,width,dropout,activation,learning_rate,weight_decay,batch_size,monitor,best_epochs
qwen2_5_vl_7b,ae_logs,True,11,256,0.5,relu,0.0005469551149864412,1e-06,128,val_auroc,39/36/40
qwen2_5_vl_7b,raw_top16,False,20,512,0.1,relu,0.005033193611439035,0.0001,64,val_auroc,24/13/15
qwen2_5_vl_7b,raw_top32,False,21,128,0.5,gelu,0.006525313236305555,1e-06,256,val_auroc,38/25/31
qwen2_5_vl_7b,norm_top16,False,23,512,0.3,relu,0.0024900877521027123,0.001,128,val_auroc,75/58/37
qwen2_5_vl_7b,norm_top32,False,20,512,0.1,relu,0.002699448911112128,0.0001,64,val_auroc,26/23/29
llava_1_5_7b,ae_logs,False,18,128,0.1,relu,0.002469041996006614,0.0,512,val_loss,23/30/41
llava_1_5_7b,raw_top16,False,22,512,0.1,relu,0.001493855450571789,0.001,256,val_auroc,26/45/57
llava_1_5_7b,raw_top32,False,6,256,0.5,relu,0.002696804044863828,1e-05,512,val_auroc,32/40/56
llava_1_5_7b,norm_top16,False,12,256,0.1,relu,0.009601008007593207,1e-06,512,val_auroc,31/21/22
llava_1_5_7b,norm_top32,True,22,512,0.5,relu,0.0011163224562933509,1e-06,64,val_auroc,40/23/43
qwen3_vl_8b,ae_logs,True,22,256,0.5,relu,0.0012836636636836788,0.0001,128,val_auroc,34/33/29
qwen3_vl_8b,raw_top16,False,6,256,0.5,relu,0.002696804044863828,1e-05,512,val_auroc,62/50/45
qwen3_vl_8b,raw_top32,False,6,256,0.5,relu,0.002696804044863828,1e-05,512,val_auroc,49/54/45
qwen3_vl_8b,norm_top16,False,18,256,0.0,relu,0.001387678380259412,0.0,512,val_auroc,40/38/56
qwen3_vl_8b,norm_top32,False,13,512,0.0,relu,0.0005003279065000994,1e-05,128,val_auroc,37/34/33
internvl_2_5_8b,ae_logs,False,16,1024,0.1,relu,0.0006781403006436622,0.0,512,val_auroc,51/42/67
internvl_2_5_8b,raw_top16,False,14,1024,0.5,relu,0.0006959270394170106,1e-06,256,val_auroc,66/60/80
internvl_2_5_8b,raw_top32,False,10,1024,0.5,relu,0.001193101043633774,1e-05,256,val_auroc,66/57/59
internvl_2_5_8b,norm_top16,False,17,128,0.5,relu,0.00607989443847353,0.0001,256,val_loss,46/21/36
internvl_2_5_8b,norm_top32,True,21,128,0.5,relu,0.004145771940427726,0.0,128,val_auroc,49/33/39
