model,variant,selected,trial,validation_AUROC,validation_HALL_AUPR,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std
qwen2_5_vl_7b,ae_logs,True,11,0.8801822232832021,0.5486035358595415,0.871846792392005,0.0004753566544730274,0.5477178958330381,0.0044126121619051445
qwen2_5_vl_7b,raw_top16,False,20,0.8529561550091511,0.48017869248565903,0.8159503949065119,0.003738967303645259,0.3992452172727187,0.016478881849705623
qwen2_5_vl_7b,raw_top32,False,21,0.8517008832656959,0.4767418069759859,0.8274324024822696,0.0007944136220809301,0.4102306959724351,0.0021526886287891694
qwen2_5_vl_7b,norm_top16,False,23,0.8606031670247475,0.4982886370854893,0.829512713571889,0.0030963948408285107,0.42683729021024747,0.00617905773915645
qwen2_5_vl_7b,norm_top32,False,20,0.8621150632609215,0.5275242841486439,0.8238434880722115,0.0014628686379727302,0.43581326085407773,0.007855484980645592
llava_1_5_7b,ae_logs,False,18,0.902562329645663,0.7571736677953472,0.9038725278502188,0.0014793964980524975,0.726278673549758,0.0009424828709408934
llava_1_5_7b,raw_top16,False,22,0.9176376863876863,0.7885374719249278,0.9187687541916212,0.0008548173379634615,0.7622534559975479,0.0010967509148591742
llava_1_5_7b,raw_top32,False,6,0.9174272486772487,0.7873384847820476,0.9167567760589109,0.0006240438095372887,0.7575728127144209,0.003247484577904957
llava_1_5_7b,norm_top16,False,12,0.9209345438512105,0.7897764966701301,0.919523106503164,0.00040637054080090316,0.7623989380608506,0.0022205017016588666
llava_1_5_7b,norm_top32,True,22,0.9223925765592432,0.7939039697104308,0.9241094792848829,0.0021759121295979104,0.7698826460336892,0.006507466751680671
qwen3_vl_8b,ae_logs,True,22,0.9015715017154283,0.7272209884111035,0.898484953163952,0.0017806323216956119,0.7175166755699518,0.0029024847676072355
qwen3_vl_8b,raw_top16,False,6,0.8963190522073458,0.7240512898192174,0.8951327357203308,0.000604760808862553,0.7194930980982851,0.0013190006541429662
qwen3_vl_8b,raw_top32,False,6,0.8961524144335189,0.7246371304419706,0.8950694048626584,0.0007278325162798002,0.7199075067805148,0.000804449947985684
qwen3_vl_8b,norm_top16,False,18,0.897953849399768,0.7096942322483711,0.8977364975732768,0.001207994530999004,0.7133508463905746,0.006131516371671156
qwen3_vl_8b,norm_top32,False,13,0.8975701793640619,0.7101905595256959,0.8981726168886125,0.00027438925791175824,0.7121197233906656,0.001731907652181533
internvl_2_5_8b,ae_logs,False,16,0.8736582521519508,0.6194703357668258,0.8781380638665762,0.0010751170743971018,0.6236114144616814,0.003469667161027986
internvl_2_5_8b,raw_top16,False,14,0.8769135611566415,0.6596048967813152,0.8940171594913436,0.001017701411776775,0.6480776174594179,0.004529159824496469
internvl_2_5_8b,raw_top32,False,10,0.8771809442812226,0.6472710416995905,0.8961274413243158,0.0016464279810287576,0.6687617563471605,0.006403833469837963
internvl_2_5_8b,norm_top16,False,17,0.8770971857120767,0.6372897521356005,0.8821798828310242,0.004294767965478484,0.6286422558509722,0.011883686532330708
internvl_2_5_8b,norm_top32,True,21,0.8794520900984485,0.635111311924138,0.8823166772454347,0.0010743772889418176,0.6240566619241329,0.0019142651466205226
