model,variant,seed,AUROC,HALL_AUPR
qwen3_vl_8b,raw_js_attention32,43,0.8989498592327754,0.7068562949015806
qwen3_vl_8b,raw_js_attention32,44,0.9004136656476156,0.711674314947721
qwen3_vl_8b,raw_js_attention32,45,0.9011909079917786,0.7100835641049824
qwen3_vl_8b,norm_js_attention32,43,0.9056989135879234,0.7275275346711926
qwen3_vl_8b,norm_js_attention32,44,0.9072577162892723,0.7292865971039251
qwen3_vl_8b,norm_js_attention32,45,0.9012859042782874,0.7171216007941926
qwen3_vl_8b,raw_js_union32,43,0.9012902222913105,0.7196731174641309
qwen3_vl_8b,raw_js_union32,44,0.9016529353852532,0.7115792701084145
qwen3_vl_8b,raw_js_union32,45,0.9027453926801041,0.7312835784647413
qwen3_vl_8b,norm_js_union32,43,0.8967476725909806,0.7185601912873814
qwen3_vl_8b,norm_js_union32,44,0.8938891479696702,0.7151139343181953
qwen3_vl_8b,norm_js_union32,45,0.8974083285835192,0.7192546950235593
qwen3_vl_8b,raw_full_product,43,0.8967908527212118,0.7209881017216379
qwen3_vl_8b,raw_full_product,44,0.8969203931119055,0.727162137152235
qwen3_vl_8b,raw_full_product,45,0.8977926317425773,0.7137085957699923
qwen3_vl_8b,norm_full_product,43,0.9003618494913381,0.7226574405469627
qwen3_vl_8b,norm_full_product,44,0.9004007116085461,0.7221794736654246
qwen3_vl_8b,norm_full_product,45,0.899377342522065,0.7146932275760376
