model,variant,model_champion,trial,width,dropout,activation,learning_rate,weight_decay,batch_size,monitor,best_epochs
qwen2_5_vl_7b,raw_js_attention32,False,22,64,0.5,gelu,0.0021084935124858688,0.0001,128,val_auroc,30/29/29
qwen2_5_vl_7b,norm_js_attention32,False,21,128,0.5,relu,0.008906624336911593,0.001,256,val_auroc,65/59/39
qwen2_5_vl_7b,raw_js_union32,False,21,128,0.5,gelu,0.008738149047897737,0.0,128,val_auroc,15/28/21
qwen2_5_vl_7b,norm_js_union32,False,21,64,0.5,relu,0.007091814372374845,0.0,256,val_auroc,41/38/30
qwen2_5_vl_7b,raw_full_product,False,19,128,0.5,gelu,0.0058518197552030705,0.0001,64,val_auroc,26/55/37
qwen2_5_vl_7b,norm_full_product,True,16,512,0.1,gelu,0.006354267061380223,0.001,64,val_auroc,26/24/36
llava_1_5_7b,raw_js_attention32,False,14,128,0.1,gelu,0.00025164951410385015,0.0,64,val_auroc,45/51/41
llava_1_5_7b,norm_js_attention32,False,8,256,0.5,relu,0.004682764278715326,1e-06,512,val_auroc,25/28/26
llava_1_5_7b,raw_js_union32,False,22,248,0.5,relu,0.006580491028678174,0.001,512,val_loss,45/52/51
llava_1_5_7b,norm_js_union32,False,6,256,0.5,relu,0.002696804044863828,1e-05,512,val_auroc,24/20/26
llava_1_5_7b,raw_full_product,False,13,1024,0.0,relu,0.0004112648712921134,0.001,256,val_loss,44/44/71
llava_1_5_7b,norm_full_product,True,10,1024,0.1,relu,0.0009494050132337971,0.0001,256,val_loss,19/23/23
qwen3_vl_8b,raw_js_attention32,False,21,512,0.5,relu,0.0004913220920101573,1e-06,64,val_auroc,59/40/34
qwen3_vl_8b,norm_js_attention32,False,17,128,0.5,relu,0.0025661813025317586,0.001,64,val_auroc,29/42/27
qwen3_vl_8b,raw_js_union32,False,18,256,0.5,relu,0.0007595787409066338,1e-05,64,val_auroc,50/58/42
qwen3_vl_8b,norm_js_union32,False,6,256,0.5,relu,0.002696804044863828,1e-05,512,val_auroc,45/48/39
qwen3_vl_8b,raw_full_product,False,6,256,0.5,relu,0.002696804044863828,1e-05,512,val_auroc,49/54/45
qwen3_vl_8b,norm_full_product,True,23,256,0.3,relu,0.0001563143039568548,0.0,64,val_auroc,132/132/122
internvl_2_5_8b,raw_js_attention32,False,6,256,0.5,relu,0.002696804044863828,1e-05,512,val_auroc,23/28/34
internvl_2_5_8b,norm_js_attention32,False,19,128,0.3,gelu,0.0009478699713529604,1e-05,64,val_auroc,61/44/53
internvl_2_5_8b,raw_js_union32,False,8,256,0.5,relu,0.004682764278715326,1e-06,512,val_auroc,65/56/59
internvl_2_5_8b,norm_js_union32,False,17,256,0.3,gelu,0.0009633583327816851,0.0,512,val_auroc,83/71/60
internvl_2_5_8b,raw_full_product,False,10,1024,0.5,relu,0.001193101043633774,1e-05,256,val_auroc,70/47/47
internvl_2_5_8b,norm_full_product,True,17,128,0.5,relu,0.00607989443847353,0.0001,256,val_loss,46/37/45
