model,variant,selected,trial,validation_AUROC,validation_HALL_AUPR,AUROC_mean,AUROC_std,HALL_AUPR_mean,HALL_AUPR_std
qwen2_5_vl_7b,raw_mad,False,19,0.6516073844195115,0.21681311593594418,0.6151374113475178,0.009613240019761108,0.188711467931179,0.003969143166664047
qwen2_5_vl_7b,norm_mad,False,23,0.7783202037081245,0.4014615999061897,0.8154114281108963,0.004718481862911904,0.47398535656434343,0.013735181321922542
qwen2_5_vl_7b,raw_mad_logs,True,21,0.8716360308745127,0.49908861772955854,0.8456741618310767,0.0037341598251733484,0.449325300394843,0.017131398948080277
qwen2_5_vl_7b,norm_mad_logs,False,6,0.8677448874035171,0.5282266106871059,0.8591181092843326,0.005335194713869137,0.49315270749502077,0.021270238156263027
llava_1_5_7b,raw_mad,False,20,0.779231301106301,0.5297268605718704,0.7823386707107091,0.0017656939208830513,0.495450546514603,0.003333101480659375
llava_1_5_7b,norm_mad,False,18,0.8097026815776815,0.5627911188541924,0.8017961619536386,0.0012259300541341146,0.5120684407423951,0.005226118246021564
llava_1_5_7b,raw_mad_logs,True,6,0.8999959916626583,0.7394978875880939,0.88810812680707,0.0007781904837367785,0.7030036586167183,0.004019877112720868
llava_1_5_7b,norm_mad_logs,False,6,0.8986942841109506,0.7382030370663385,0.8910864793507214,0.0022151036238254136,0.7052835149516686,0.0028298735350396386
qwen3_vl_8b,raw_mad,False,16,0.7887153974646869,0.5684656440706657,0.8109732225619058,0.002209839464044997,0.5757286765812305,0.006452301069973825
qwen3_vl_8b,norm_mad,False,18,0.7829959590339847,0.5501463205875369,0.8007668791129073,0.0013497687860922253,0.5640279306957748,0.0030470259850523367
qwen3_vl_8b,raw_mad_logs,True,13,0.8935023362884661,0.7173487290600313,0.897450069376076,0.0010001978108526589,0.74039761786906,0.003465696600333501
qwen3_vl_8b,norm_mad_logs,False,15,0.8915564371231331,0.7098259195991942,0.8989685706225424,0.0005307390562086151,0.727525144484626,0.0015971928585745026
internvl_2_5_8b,raw_mad,False,22,0.730962643678161,0.4301808192144719,0.7523492160768092,0.0011341158064178045,0.4180888844894639,0.005324196044781107
internvl_2_5_8b,norm_mad,False,22,0.7661194977063038,0.44245283882093894,0.7593138756958275,0.0008191517372623244,0.4407880884705065,0.0032120664948829276
internvl_2_5_8b,raw_mad_logs,False,23,0.863053128704706,0.6163319122964229,0.859330655810662,0.0011037364417435728,0.6251195066363856,0.0038533780198724537
internvl_2_5_8b,norm_mad_logs,True,16,0.870775024483274,0.6301596029467137,0.859057066981841,0.0024621903592038944,0.6002895942422084,0.009687547099690316
