model,split,label,layer,n,mean,median,q25,q75
qwen3_vl_8b,train,0,1,2077,0.09643123298883438,0.09276142716407776,0.07694992423057556,0.11238700151443481
qwen3_vl_8b,train,0,2,2077,0.21129652857780457,0.21069778501987457,0.18227747082710266,0.2376885563135147
qwen3_vl_8b,train,0,3,2077,0.14562204480171204,0.14022737741470337,0.12147129327058792,0.16407595574855804
qwen3_vl_8b,train,0,4,2077,0.15441128611564636,0.15119041502475739,0.13182534277439117,0.17268647253513336
qwen3_vl_8b,train,0,5,2077,0.14035707712173462,0.13864226639270782,0.12064172327518463,0.1575974076986313
qwen3_vl_8b,train,0,6,2077,0.12597769498825073,0.12350856512784958,0.10686054825782776,0.14327789843082428
qwen3_vl_8b,train,0,7,2077,0.13819976150989532,0.1363474577665329,0.11893720924854279,0.15512464940547943
qwen3_vl_8b,train,0,8,2077,0.12331023067235947,0.12053793668746948,0.10449616611003876,0.13925701379776
qwen3_vl_8b,train,0,9,2077,0.09322808682918549,0.09019104391336441,0.07762613147497177,0.10680128633975983
qwen3_vl_8b,train,0,10,2077,0.1529267430305481,0.14608651399612427,0.11620993167161942,0.18269512057304382
qwen3_vl_8b,train,0,11,2077,0.08730395883321762,0.08496131747961044,0.07191015034914017,0.09874270111322403
qwen3_vl_8b,train,0,12,2077,0.09786223620176315,0.09514041244983673,0.08091523498296738,0.1123315617442131
qwen3_vl_8b,train,0,13,2077,0.13480670750141144,0.13256941735744476,0.1099313348531723,0.15557512640953064
qwen3_vl_8b,train,0,14,2077,0.10179178416728973,0.09846343845129013,0.08038810640573502,0.1182909607887268
qwen3_vl_8b,train,0,15,2077,0.10199970006942749,0.10037768632173538,0.08293870836496353,0.11794821172952652
qwen3_vl_8b,train,0,16,2077,0.1253185272216797,0.11982575803995132,0.09594331681728363,0.1504422277212143
qwen3_vl_8b,train,0,17,2077,0.10399429500102997,0.10133979469537735,0.08705314248800278,0.1190468892455101
qwen3_vl_8b,train,0,18,2077,0.13477516174316406,0.13112057745456696,0.10764633864164352,0.1577322781085968
qwen3_vl_8b,train,0,19,2077,0.11894308775663376,0.11561599373817444,0.09453999996185303,0.1386326253414154
qwen3_vl_8b,train,0,20,2077,0.16043655574321747,0.15268804132938385,0.12250373512506485,0.1920558363199234
qwen3_vl_8b,train,0,21,2077,0.1629696637392044,0.15915459394454956,0.13217532634735107,0.19072696566581726
qwen3_vl_8b,train,0,22,2077,0.17085330188274384,0.16822011768817902,0.14100487530231476,0.1989152878522873
qwen3_vl_8b,train,0,23,2077,0.1399562507867813,0.13400329649448395,0.10252146422863007,0.16968508064746857
qwen3_vl_8b,train,0,24,2077,0.14403091371059418,0.13993962109088898,0.11601395905017853,0.16790969669818878
qwen3_vl_8b,train,0,25,2077,0.1775382161140442,0.17617282271385193,0.141011044383049,0.2085818201303482
qwen3_vl_8b,train,0,26,2077,0.15891847014427185,0.14944517612457275,0.12082751840353012,0.184522807598114
qwen3_vl_8b,train,0,27,2077,0.14499157667160034,0.139217808842659,0.1135924682021141,0.16954100131988525
qwen3_vl_8b,train,0,28,2077,0.17287291586399078,0.16343757510185242,0.1327473521232605,0.20296022295951843
qwen3_vl_8b,train,0,29,2077,0.1587962657213211,0.1515234112739563,0.12346236407756805,0.18335846066474915
qwen3_vl_8b,train,0,30,2077,0.1846436858177185,0.1738273650407791,0.1395781934261322,0.2173689603805542
qwen3_vl_8b,train,0,31,2077,0.18966716527938843,0.18057768046855927,0.14677610993385315,0.21500016748905182
qwen3_vl_8b,train,0,32,2077,0.17327812314033508,0.16499687731266022,0.13563798367977142,0.19705049693584442
qwen3_vl_8b,train,0,33,2077,0.1732097566127777,0.16529691219329834,0.13377037644386292,0.1984720677137375
qwen3_vl_8b,train,0,34,2077,0.17051725089550018,0.1629253774881363,0.13632450997829437,0.1965785026550293
qwen3_vl_8b,train,0,35,2077,0.20279936492443085,0.18680252134799957,0.1427009254693985,0.24220679700374603
qwen3_vl_8b,train,0,36,2077,0.25224748253822327,0.25309693813323975,0.20941394567489624,0.29510802030563354
qwen3_vl_8b,train,1,1,9769,0.10242277383804321,0.09965681284666061,0.08232258260250092,0.11889705806970596
qwen3_vl_8b,train,1,2,9769,0.22192572057247162,0.22179096937179565,0.19265219569206238,0.2492622584104538
qwen3_vl_8b,train,1,3,9769,0.15436264872550964,0.15138232707977295,0.13143466413021088,0.17388363182544708
qwen3_vl_8b,train,1,4,9769,0.1579616516828537,0.15448521077632904,0.13487693667411804,0.17765489220619202
qwen3_vl_8b,train,1,5,9769,0.14545243978500366,0.14343000948429108,0.12638388574123383,0.16276313364505768
qwen3_vl_8b,train,1,6,9769,0.12684401869773865,0.1249736025929451,0.10767767578363419,0.14383579790592194
qwen3_vl_8b,train,1,7,9769,0.13783784210681915,0.13563592731952667,0.11908681690692902,0.15421076118946075
qwen3_vl_8b,train,1,8,9769,0.12335892021656036,0.12082604318857193,0.10487359017133713,0.1385103464126587
qwen3_vl_8b,train,1,9,9769,0.09148559719324112,0.08904828131198883,0.07629569619894028,0.1041085347533226
qwen3_vl_8b,train,1,10,9769,0.146807461977005,0.13651351630687714,0.10901430249214172,0.17569738626480103
qwen3_vl_8b,train,1,11,9769,0.0881679505109787,0.08501133322715759,0.07274523377418518,0.1002507135272026
qwen3_vl_8b,train,1,12,9769,0.09703459590673447,0.09346982836723328,0.07900997251272202,0.11136370897293091
qwen3_vl_8b,train,1,13,9769,0.11892475932836533,0.11607605218887329,0.09572335332632065,0.13891199231147766
qwen3_vl_8b,train,1,14,9769,0.09918659925460815,0.09731441736221313,0.08035038411617279,0.11573663353919983
qwen3_vl_8b,train,1,15,9769,0.10201054811477661,0.10007309913635254,0.08375722169876099,0.11823958158493042
qwen3_vl_8b,train,1,16,9769,0.11502286046743393,0.1105744019150734,0.08855754137039185,0.1378370076417923
qwen3_vl_8b,train,1,17,9769,0.1032332107424736,0.10106746107339859,0.08664115518331528,0.11739097535610199
qwen3_vl_8b,train,1,18,9769,0.12639346718788147,0.12204786390066147,0.10137267410755157,0.14754708111286163
qwen3_vl_8b,train,1,19,9769,0.10954209417104721,0.10647230595350266,0.08754396438598633,0.12756313383579254
qwen3_vl_8b,train,1,20,9769,0.15155074000358582,0.14383555948734283,0.11891570687294006,0.17596979439258575
qwen3_vl_8b,train,1,21,9769,0.15054333209991455,0.1479807049036026,0.12494392693042755,0.17346398532390594
qwen3_vl_8b,train,1,22,9769,0.16031767427921295,0.15859577059745789,0.1298208236694336,0.18830011785030365
qwen3_vl_8b,train,1,23,9769,0.12742887437343597,0.12209431082010269,0.09759829193353653,0.15121565759181976
qwen3_vl_8b,train,1,24,9769,0.12085368484258652,0.11724279820919037,0.09513727575540543,0.14262190461158752
qwen3_vl_8b,train,1,25,9769,0.1426226794719696,0.13702639937400818,0.10791628062725067,0.17192617058753967
qwen3_vl_8b,train,1,26,9769,0.14383496344089508,0.13587599992752075,0.11132223159074783,0.16874317824840546
qwen3_vl_8b,train,1,27,9769,0.12901605665683746,0.12397854775190353,0.10066062957048416,0.15190939605236053
qwen3_vl_8b,train,1,28,9769,0.15726503729820251,0.15116344392299652,0.12356823682785034,0.18459707498550415
qwen3_vl_8b,train,1,29,9769,0.14377175271511078,0.13871440291404724,0.112158864736557,0.17055416107177734
qwen3_vl_8b,train,1,30,9769,0.17719128727912903,0.17010365426540375,0.13620762526988983,0.21107108891010284
qwen3_vl_8b,train,1,31,9769,0.18195520341396332,0.17406031489372253,0.14325767755508423,0.21214403212070465
qwen3_vl_8b,train,1,32,9769,0.15395261347293854,0.14853309094905853,0.12197034806013107,0.17964094877243042
qwen3_vl_8b,train,1,33,9769,0.16269530355930328,0.15621335804462433,0.12718795239925385,0.18993023037910461
qwen3_vl_8b,train,1,34,9769,0.15501220524311066,0.15082499384880066,0.12386292964220047,0.17969687283039093
qwen3_vl_8b,train,1,35,9769,0.1995055228471756,0.18030375242233276,0.13831453025341034,0.24375148117542267
qwen3_vl_8b,train,1,36,9769,0.26675736904144287,0.2688150107860565,0.22984032332897186,0.30405721068382263
qwen3_vl_8b,test,0,1,516,0.09753893315792084,0.09441174566745758,0.07707812078297138,0.11425850912928581
qwen3_vl_8b,test,0,2,516,0.21012748777866364,0.20836171507835388,0.18132774159312248,0.23489989340305328
qwen3_vl_8b,test,0,3,516,0.14713074266910553,0.14389002323150635,0.12273597717285156,0.1647881269454956
qwen3_vl_8b,test,0,4,516,0.15474726259708405,0.15068238973617554,0.1305076666176319,0.17267216742038727
qwen3_vl_8b,test,0,5,516,0.14203689992427826,0.13967156410217285,0.12041964940726757,0.16114959865808487
qwen3_vl_8b,test,0,6,516,0.12681356072425842,0.12468184530735016,0.10595111921429634,0.14598795399069786
qwen3_vl_8b,test,0,7,516,0.1386660784482956,0.13778865337371826,0.12111728452146053,0.15618526190519333
qwen3_vl_8b,test,0,8,516,0.12256423383951187,0.12025968730449677,0.10295368544757366,0.1393253691494465
qwen3_vl_8b,test,0,9,516,0.0935383141040802,0.09217854589223862,0.07731585018336773,0.10544146783649921
qwen3_vl_8b,test,0,10,516,0.14829954504966736,0.1403796672821045,0.11171375215053558,0.17470933124423027
qwen3_vl_8b,test,0,11,516,0.08616455644369125,0.08343979716300964,0.07087458297610283,0.09656323865056038
qwen3_vl_8b,test,0,12,516,0.0975145772099495,0.09330011904239655,0.07879210636019707,0.11188110895454884
qwen3_vl_8b,test,0,13,516,0.13157108426094055,0.13068366050720215,0.10965448804199696,0.1522735431790352
qwen3_vl_8b,test,0,14,516,0.1011095866560936,0.09647295624017715,0.07852341048419476,0.11988409608602524
qwen3_vl_8b,test,0,15,516,0.10109121352434158,0.09968794882297516,0.08225768804550171,0.11629388108849525
qwen3_vl_8b,test,0,16,516,0.12449201196432114,0.1199457049369812,0.09471889771521091,0.14971324056386948
qwen3_vl_8b,test,0,17,516,0.10313824564218521,0.10128746926784515,0.08685419522225857,0.1168623585253954
qwen3_vl_8b,test,0,18,516,0.13602499663829803,0.13338437676429749,0.10714965127408504,0.1623702198266983
qwen3_vl_8b,test,0,19,516,0.11831596493721008,0.11461123824119568,0.09122491627931595,0.14108140766620636
qwen3_vl_8b,test,0,20,516,0.15817660093307495,0.15094754099845886,0.12198712676763535,0.18531418219208717
qwen3_vl_8b,test,0,21,516,0.15855664014816284,0.15554630756378174,0.13147875666618347,0.18256163597106934
qwen3_vl_8b,test,0,22,516,0.1697530746459961,0.16818013787269592,0.14462780579924583,0.19459682703018188
qwen3_vl_8b,test,0,23,516,0.14048098027706146,0.13608282804489136,0.10268201678991318,0.1697201021015644
qwen3_vl_8b,test,0,24,516,0.14342185854911804,0.14025568962097168,0.11414728686213493,0.1669452115893364
qwen3_vl_8b,test,0,25,516,0.1747521162033081,0.17492932081222534,0.13961847126483917,0.20535949617624283
