model,left,right,metric,difference,ci95_low,ci95_high,valid_replicates
qwen2_5_vl_7b,AE_logS_PV_kP,AE_logS_PV,AUROC,0.018114768843317197,0.0006213317634907042,0.03586533564789089,2000
qwen2_5_vl_7b,AE_logS_PV_kP,AE_logS_PV,HALL_AUPR,0.05208314983767909,-0.005942156814069778,0.10983132474824005,2000
qwen2_5_vl_7b,AE_logS_PV_kVP,AE_logS_PV,AUROC,0.008215763369567974,-0.010132382168352636,0.0269067205370572,2000
qwen2_5_vl_7b,AE_logS_PV_kVP,AE_logS_PV,HALL_AUPR,0.054607115049848665,-0.005990441703046681,0.10409520451676578,2000
qwen2_5_vl_7b,AE_logS_PV_kVP,AE_logS_PV_kP,AUROC,-0.009899005473749223,-0.028124174126119596,0.0070377935738495335,2000
qwen2_5_vl_7b,AE_logS_PV_kVP,AE_logS_PV_kP,HALL_AUPR,0.0025239652121695766,-0.06365034409243271,0.05443527943311803,2000
qwen2_5_vl_7b,kVP,kP,AUROC,-0.05081849253462856,-0.09909549057944878,-0.007553246749834696,2000
qwen2_5_vl_7b,kVP,kP,HALL_AUPR,-0.06698271000291661,-0.1540214062444165,0.03278507039865489,2000
llava_1_5_7b,AE_logS_PV_kP,AE_logS_PV,AUROC,0.0043960899009761745,-0.0026631003418806725,0.011567132599045182,2000
llava_1_5_7b,AE_logS_PV_kP,AE_logS_PV,HALL_AUPR,-0.004061530519959611,-0.02508313943699865,0.01866701405166661,2000
llava_1_5_7b,AE_logS_PV_kVP,AE_logS_PV,AUROC,0.0020708819568756587,-0.005653424063147327,0.009967047251371973,2000
llava_1_5_7b,AE_logS_PV_kVP,AE_logS_PV,HALL_AUPR,-0.005957418083390675,-0.031081854147986816,0.020036716538941776,2000
llava_1_5_7b,AE_logS_PV_kVP,AE_logS_PV_kP,AUROC,-0.002325207944100516,-0.009993888024708075,0.004961340682648029,2000
llava_1_5_7b,AE_logS_PV_kVP,AE_logS_PV_kP,HALL_AUPR,-0.0018958875634310646,-0.029844857349628502,0.023763084809301633,2000
llava_1_5_7b,kVP,kP,AUROC,0.004672832441562136,-0.008926627142806004,0.01826647073409222,2000
llava_1_5_7b,kVP,kP,HALL_AUPR,0.032926003630483924,-0.018247867370339715,0.08094332500449387,2000
qwen3_vl_8b,AE_logS_PV_kP,AE_logS_PV,AUROC,0.019282644628099255,0.008384275066608127,0.03046626021170686,2000
qwen3_vl_8b,AE_logS_PV_kP,AE_logS_PV,HALL_AUPR,0.0293257256703211,-0.001099570200975941,0.05957274373255001,2000
qwen3_vl_8b,AE_logS_PV_kVP,AE_logS_PV,AUROC,0.011699173553719078,0.0018010845226148736,0.021555415386520678,2000
qwen3_vl_8b,AE_logS_PV_kVP,AE_logS_PV,HALL_AUPR,-0.00819083757570871,-0.04166457048935053,0.025502966747444775,2000
qwen3_vl_8b,AE_logS_PV_kVP,AE_logS_PV_kP,AUROC,-0.007583471074380177,-0.01814443640285022,0.0020680168387833663,2000
qwen3_vl_8b,AE_logS_PV_kVP,AE_logS_PV_kP,HALL_AUPR,-0.03751656324602981,-0.0770282581549191,0.002126993265890063,2000
qwen3_vl_8b,kVP,kP,AUROC,-0.010768595041322215,-0.03446719044308496,0.01064753395954427,2000
qwen3_vl_8b,kVP,kP,HALL_AUPR,0.006940802146555791,-0.0560979915660667,0.06750694893617626,2000
internvl_2_5_8b,AE_logS_PV_kP,AE_logS_PV,AUROC,0.01996144206670536,0.008318801139255556,0.03258201731033201,2000
internvl_2_5_8b,AE_logS_PV_kP,AE_logS_PV,HALL_AUPR,0.04552994600218052,0.014902378020895496,0.07323770098306136,2000
internvl_2_5_8b,AE_logS_PV_kVP,AE_logS_PV,AUROC,0.009057258530942747,-0.0031604252830890298,0.021836596711891768,2000
internvl_2_5_8b,AE_logS_PV_kVP,AE_logS_PV,HALL_AUPR,0.030246965065192644,-0.0025414740423747584,0.060866257804263434,2000
internvl_2_5_8b,AE_logS_PV_kVP,AE_logS_PV_kP,AUROC,-0.010904183535762613,-0.02135959770239198,-0.0006476619140246115,2000
internvl_2_5_8b,AE_logS_PV_kVP,AE_logS_PV_kP,HALL_AUPR,-0.015282980936987878,-0.04894232853175559,0.019756704773744294,2000
internvl_2_5_8b,kVP,kP,AUROC,-0.02682668208983985,-0.053949299467462346,-0.002104103706640746,2000
internvl_2_5_8b,kVP,kP,HALL_AUPR,-0.02038387517961715,-0.08788518138181269,0.04237356098612503,2000
