model,feature,seed,input_dim,best_epoch,validation_AUROC,validation_HALL_AUPR,AUROC,HALL_AUPR
qwen2_5_vl_7b,AE_logS_PV,43,56,39,0.8763826141143481,0.4825342687842806,0.8750134916351862,0.41325540479172373
qwen2_5_vl_7b,AE_logS_PV,44,56,39,0.878784338162746,0.4802246032102652,0.8698943797702567,0.3944740856028418
qwen2_5_vl_7b,AE_logS_PV,45,56,38,0.8814716726385211,0.4871743453604332,0.8707038778814279,0.4142053875915414
qwen2_5_vl_7b,AE_logS_PV_kP,43,84,24,0.8805758944799293,0.44059831805321426,0.8926220029296122,0.4636824359648046
qwen2_5_vl_7b,AE_logS_PV_kP,44,84,23,0.8810951861660696,0.46032957161134913,0.889384010484928,0.45430957013511714
qwen2_5_vl_7b,AE_logS_PV_kP,45,84,21,0.8811990445032973,0.45541933882121527,0.8879500424022821,0.4601923213992225
qwen2_5_vl_7b,AE_logS_PV_kVP,43,84,21,0.8810302747053019,0.46746502068243595,0.885683447691003,0.46243169433788456
qwen2_5_vl_7b,AE_logS_PV_kVP,44,84,24,0.8800695850859427,0.4665719998896705,0.8755839950659161,0.46253534734520374
qwen2_5_vl_7b,AE_logS_PV_kVP,45,84,17,0.8729812535701303,0.45467387552672966,0.8789915966386553,0.46078918145256476
qwen2_5_vl_7b,kVP,43,28,17,0.7990470997559329,0.31066409658643895,0.7832857913807724,0.28716544273309846
qwen2_5_vl_7b,kVP,44,28,14,0.801656540478787,0.3113978413189138,0.7846735024284943,0.2968955280546079
qwen2_5_vl_7b,kVP,45,28,28,0.802020044659085,0.34092623906091934,0.7827923830082492,0.29877026898179365
