temperature,label,layer,n,mean,median
1.0,0,1,3487,0.04427771642804146,0.04158851131796837
1.0,0,2,3487,0.09308598190546036,0.0905928909778595
1.0,0,3,3487,0.3711063861846924,0.3895111382007599
1.0,0,4,3487,0.4061937928199768,0.4370395839214325
1.0,0,5,3487,0.3828495442867279,0.4060980975627899
1.0,0,6,3487,0.347016841173172,0.3621179759502411
1.0,0,7,3487,0.34886765480041504,0.35827815532684326
1.0,0,8,3487,0.3011425733566284,0.3139744699001312
1.0,0,9,3487,0.2687795162200928,0.27663812041282654
1.0,0,10,3487,0.26181894540786743,0.2676115930080414
1.0,0,11,3487,0.24946828186511993,0.25223326683044434
1.0,0,12,3487,0.2404324859380722,0.2353721559047699
1.0,0,13,3487,0.28468698263168335,0.2880874574184418
1.0,0,14,3487,0.24612325429916382,0.2418253868818283
1.0,0,15,3487,0.29207178950309753,0.2872953712940216
1.0,0,16,3487,0.25513795018196106,0.24994225800037384
1.0,0,17,3487,0.24823400378227234,0.24432028830051422
1.0,0,18,3487,0.2929130792617798,0.2906076908111572
1.0,0,19,3487,0.327663779258728,0.3241412937641144
1.0,0,20,3487,0.3180680572986603,0.31332650780677795
1.0,0,21,3487,0.2892458140850067,0.28697487711906433
1.0,0,22,3487,0.3418949544429779,0.33921730518341064
1.0,0,23,3487,0.3555649220943451,0.35446056723594666
1.0,0,24,3487,0.33213773369789124,0.3321020305156708
1.0,0,25,3487,0.31872525811195374,0.3172033131122589
1.0,0,26,3487,0.28743287920951843,0.2858375012874603
1.0,0,27,3487,0.28042876720428467,0.27745765447616577
1.0,0,28,3487,0.26157867908477783,0.2597692310810089
1.0,0,29,3487,0.24851877987384796,0.24719110131263733
1.0,0,30,3487,0.22291913628578186,0.22019822895526886
1.0,0,31,3487,0.2158307284116745,0.2140558958053589
1.0,0,32,3487,0.1597813218832016,0.1583024114370346
1.0,1,1,11976,0.045827463269233704,0.043869681656360626
1.0,1,2,11976,0.09085928648710251,0.08574904501438141
1.0,1,3,11976,0.37420251965522766,0.4039022922515869
1.0,1,4,11976,0.38560935854911804,0.4148575961589813
1.0,1,5,11976,0.36222633719444275,0.3820764422416687
1.0,1,6,11976,0.32466956973075867,0.3346864581108093
1.0,1,7,11976,0.3176155686378479,0.31720954179763794
1.0,1,8,11976,0.2818770408630371,0.28266429901123047
1.0,1,9,11976,0.2653229236602783,0.27055633068084717
1.0,1,10,11976,0.2574927806854248,0.25940603017807007
1.0,1,11,11976,0.2506944537162781,0.25067925453186035
1.0,1,12,11976,0.2603394389152527,0.2605569064617157
1.0,1,13,11976,0.29391592741012573,0.29654258489608765
1.0,1,14,11976,0.26441168785095215,0.26557135581970215
1.0,1,15,11976,0.30283093452453613,0.2984091639518738
1.0,1,16,11976,0.27332744002342224,0.27042365074157715
1.0,1,17,11976,0.2673532962799072,0.26731076836586
1.0,1,18,11976,0.292692631483078,0.2905668616294861
1.0,1,19,11976,0.3359873294830322,0.3352477550506592
1.0,1,20,11976,0.3303876519203186,0.3249540328979492
1.0,1,21,11976,0.2884279787540436,0.28486478328704834
1.0,1,22,11976,0.3299325406551361,0.32452768087387085
1.0,1,23,11976,0.3339657187461853,0.32965993881225586
1.0,1,24,11976,0.3162877559661865,0.3128345012664795
1.0,1,25,11976,0.3080245554447174,0.303017795085907
1.0,1,26,11976,0.27807870507240295,0.2749239206314087
1.0,1,27,11976,0.2870185673236847,0.283643513917923
1.0,1,28,11976,0.26828598976135254,0.26822033524513245
1.0,1,29,11976,0.26485714316368103,0.26211172342300415
1.0,1,30,11976,0.23575305938720703,0.23271504044532776
1.0,1,31,11976,0.2256772220134735,0.225692480802536
1.0,1,32,11976,0.1695164144039154,0.16772770881652832
0.2,0,1,3487,0.08425597101449966,0.08020201325416565
0.2,0,2,3487,0.1493443101644516,0.14594176411628723
0.2,0,3,3487,0.33738070726394653,0.3330790400505066
0.2,0,4,3487,0.3918767273426056,0.4080449044704437
0.2,0,5,3487,0.3691371977329254,0.39127981662750244
0.2,0,6,3487,0.34446021914482117,0.35971125960350037
0.2,0,7,3487,0.3402774930000305,0.3436804711818695
0.2,0,8,3487,0.3012969195842743,0.30841419100761414
0.2,0,9,3487,0.26786309480667114,0.2698550522327423
0.2,0,10,3487,0.24548891186714172,0.24086810648441315
0.2,0,11,3487,0.2158610224723816,0.211198627948761
0.2,0,12,3487,0.18970368802547455,0.18201111257076263
0.2,0,13,3487,0.21820878982543945,0.21300914883613586
0.2,0,14,3487,0.20604999363422394,0.19772092998027802
0.2,0,15,3487,0.1913522183895111,0.18397125601768494
0.2,0,16,3487,0.19130882620811462,0.18507938086986542
0.2,0,17,3487,0.21868100762367249,0.21270699799060822
0.2,0,18,3487,0.21674184501171112,0.21356558799743652
0.2,0,19,3487,0.2737477719783783,0.2694341242313385
0.2,0,20,3487,0.253457635641098,0.25127846002578735
0.2,0,21,3487,0.25430071353912354,0.2537997364997864
0.2,0,22,3487,0.28671348094940186,0.2866242527961731
0.2,0,23,3487,0.2764185070991516,0.27544572949409485
0.2,0,24,3487,0.261227011680603,0.2590653896331787
0.2,0,25,3487,0.2498524785041809,0.24790948629379272
0.2,0,26,3487,0.2870919704437256,0.28477829694747925
0.2,0,27,3487,0.2530924081802368,0.24864144623279572
0.2,0,28,3487,0.3047969341278076,0.30534258484840393
0.2,0,29,3487,0.21975448727607727,0.21489545702934265
0.2,0,30,3487,0.1998751312494278,0.19617658853530884
0.2,0,31,3487,0.2742370665073395,0.27492988109588623
0.2,0,32,3487,0.2187485247850418,0.21800322830677032
0.2,1,1,11976,0.09421856701374054,0.09066794067621231
0.2,1,2,11976,0.14529602229595184,0.14168503880500793
0.2,1,3,11976,0.3480065166950226,0.3552204370498657
0.2,1,4,11976,0.3892571032047272,0.4148620367050171
0.2,1,5,11976,0.3572869300842285,0.3791283667087555
0.2,1,6,11976,0.3196483552455902,0.32412686944007874
0.2,1,7,11976,0.2875673174858093,0.27575820684432983
0.2,1,8,11976,0.26184433698654175,0.2518124282360077
0.2,1,9,11976,0.23736217617988586,0.228244811296463
