temperature,label,layer,n,mean,median
1.0,0,1,916,0.2683633863925934,0.2693353593349457
1.0,0,2,916,0.22613131999969482,0.22432902455329895
1.0,0,3,916,0.1740010529756546,0.17168959975242615
1.0,0,4,916,0.16922757029533386,0.16521212458610535
1.0,0,5,916,0.14972223341464996,0.14498040080070496
1.0,0,6,916,0.12782657146453857,0.11882226914167404
1.0,0,7,916,0.12004407495260239,0.11708448827266693
1.0,0,8,916,0.1029154360294342,0.09909644722938538
1.0,0,9,916,0.1513378620147705,0.13985902070999146
1.0,0,10,916,0.16798502206802368,0.1625230461359024
1.0,0,11,916,0.1325879693031311,0.1279832273721695
1.0,0,12,916,0.17110103368759155,0.1641918122768402
1.0,0,13,916,0.18077154457569122,0.17574939131736755
1.0,0,14,916,0.17589187622070312,0.17180781066417694
1.0,0,15,916,0.2543010413646698,0.24761784076690674
1.0,0,16,916,0.22105714678764343,0.21463452279567719
1.0,0,17,916,0.30256766080856323,0.3002135157585144
1.0,0,18,916,0.23616644740104675,0.23039934039115906
1.0,0,19,916,0.24569071829319,0.2437792867422104
1.0,0,20,916,0.3282541334629059,0.32990315556526184
1.0,0,21,916,0.2941248118877411,0.2947027385234833
1.0,0,22,916,0.2900605797767639,0.28770938515663147
1.0,0,23,916,0.3184562027454376,0.31513872742652893
1.0,0,24,916,0.27632421255111694,0.272749125957489
1.0,0,25,916,0.30257275700569153,0.29993903636932373
1.0,0,26,916,0.30621644854545593,0.3032216727733612
1.0,0,27,916,0.31617048382759094,0.3134658932685852
1.0,0,28,916,0.3185659945011139,0.3154895305633545
1.0,1,1,7801,0.24794231355190277,0.24724425375461578
1.0,1,2,7801,0.21697379648685455,0.21555697917938232
1.0,1,3,7801,0.17323096096515656,0.17094071209430695
1.0,1,4,7801,0.17072942852973938,0.16664054989814758
1.0,1,5,7801,0.16372118890285492,0.15684720873832703
1.0,1,6,7801,0.13748157024383545,0.13024191558361053
1.0,1,7,7801,0.1293099969625473,0.12721394002437592
1.0,1,8,7801,0.10905265063047409,0.10482629388570786
1.0,1,9,7801,0.16117484867572784,0.15325558185577393
1.0,1,10,7801,0.16718021035194397,0.16179732978343964
1.0,1,11,7801,0.13968351483345032,0.13763216137886047
1.0,1,12,7801,0.17094603180885315,0.1666383594274521
1.0,1,13,7801,0.1744558960199356,0.16937273740768433
1.0,1,14,7801,0.16943290829658508,0.16297565400600433
1.0,1,15,7801,0.22062544524669647,0.21188749372959137
1.0,1,16,7801,0.2059319168329239,0.19911131262779236
1.0,1,17,7801,0.27562710642814636,0.2713015675544739
1.0,1,18,7801,0.23165640234947205,0.22825849056243896
1.0,1,19,7801,0.2227821797132492,0.2185382843017578
1.0,1,20,7801,0.2998361587524414,0.30192631483078003
1.0,1,21,7801,0.26906245946884155,0.26880308985710144
1.0,1,22,7801,0.25643929839134216,0.2532682418823242
1.0,1,23,7801,0.29336264729499817,0.29118072986602783
1.0,1,24,7801,0.254250168800354,0.25097110867500305
1.0,1,25,7801,0.28118106722831726,0.2800419330596924
1.0,1,26,7801,0.2860111594200134,0.2833920121192932
1.0,1,27,7801,0.29383718967437744,0.29338663816452026
1.0,1,28,7801,0.2842567265033722,0.28163573145866394
0.2,0,1,916,0.23379172384738922,0.23285767436027527
0.2,0,2,916,0.19782420992851257,0.2008669078350067
0.2,0,3,916,0.21827737987041473,0.21704605221748352
0.2,0,4,916,0.20660296082496643,0.20399968326091766
0.2,0,5,916,0.15352898836135864,0.15164883434772491
0.2,0,6,916,0.14511486887931824,0.14224886894226074
0.2,0,7,916,0.11574194580316544,0.11285378038883209
0.2,0,8,916,0.11260876059532166,0.10929237306118011
0.2,0,9,916,0.10833024978637695,0.10277560353279114
0.2,0,10,916,0.15381605923175812,0.15152983367443085
0.2,0,11,916,0.12799890339374542,0.12414966523647308
0.2,0,12,916,0.11766663938760757,0.1146322637796402
0.2,0,13,916,0.12930168211460114,0.1248704269528389
0.2,0,14,916,0.12161826342344284,0.11705107986927032
0.2,0,15,916,0.14076200127601624,0.13336683809757233
0.2,0,16,916,0.15421254932880402,0.15039494633674622
0.2,0,17,916,0.1490441858768463,0.14404286444187164
0.2,0,18,916,0.14882653951644897,0.14665642380714417
0.2,0,19,916,0.1306263506412506,0.12879866361618042
0.2,0,20,916,0.18192733824253082,0.17765524983406067
0.2,0,21,916,0.1714572012424469,0.1691112220287323
0.2,0,22,916,0.1498013585805893,0.1475328952074051
0.2,0,23,916,0.19849777221679688,0.1981189101934433
0.2,0,24,916,0.18357092142105103,0.18052273988723755
0.2,0,25,916,0.18251924216747284,0.18013575673103333
0.2,0,26,916,0.20073603093624115,0.1935848742723465
0.2,0,27,916,0.19869142770767212,0.19661080837249756
0.2,0,28,916,0.3036525547504425,0.3052316904067993
0.2,1,1,7801,0.21848370134830475,0.21703842282295227
0.2,1,2,7801,0.20855273306369781,0.21067270636558533
0.2,1,3,7801,0.2117617428302765,0.20986385643482208
0.2,1,4,7801,0.1986338198184967,0.1968546062707901
0.2,1,5,7801,0.1524442434310913,0.14922995865345
0.2,1,6,7801,0.14352014660835266,0.14078375697135925
0.2,1,7,7801,0.10873731225728989,0.10670950263738632
0.2,1,8,7801,0.106031134724617,0.10252159088850021
0.2,1,9,7801,0.1042717695236206,0.09793929755687714
0.2,1,10,7801,0.14101514220237732,0.1363007128238678
0.2,1,11,7801,0.12670038640499115,0.12404561787843704
0.2,1,12,7801,0.11528491228818893,0.11005201935768127
0.2,1,13,7801,0.12592288851737976,0.12046058475971222
0.2,1,14,7801,0.11849100887775421,0.11418469995260239
0.2,1,15,7801,0.13114513456821442,0.12520797550678253
0.2,1,16,7801,0.1429518759250641,0.1379430741071701
0.2,1,17,7801,0.14043860137462616,0.13541041314601898
0.2,1,18,7801,0.15262065827846527,0.14888162910938263
0.2,1,19,7801,0.13141384720802307,0.12801268696784973
0.2,1,20,7801,0.168417289853096,0.1640063375234604
0.2,1,21,7801,0.15206758677959442,0.14762112498283386
0.2,1,22,7801,0.13981756567955017,0.13754984736442566
0.2,1,23,7801,0.1843307465314865,0.18112079799175262
0.2,1,24,7801,0.19388985633850098,0.19072310626506805
0.2,1,25,7801,0.17224939167499542,0.16882626712322235
0.2,1,26,7801,0.18794572353363037,0.18493340909481049
0.2,1,27,7801,0.20223531126976013,0.20021358132362366
0.2,1,28,7801,0.28355008363723755,0.28029441833496094
0.02,0,1,916,0.28435662388801575,0.27006906270980835
0.02,0,2,916,0.4133198857307434,0.41438621282577515
0.02,0,3,916,0.5391936898231506,0.5481069684028625
0.02,0,4,916,0.5433611869812012,0.5577431917190552
0.02,0,5,916,0.49267837405204773,0.5053534507751465
0.02,0,6,916,0.4758111536502838,0.48393335938453674
0.02,0,7,916,0.50204998254776,0.5061926245689392
0.02,0,8,916,0.536965012550354,0.5432682037353516
0.02,0,9,916,0.4838225543498993,0.4944459795951843
0.02,0,10,916,0.4695727825164795,0.48474016785621643
0.02,0,11,916,0.5109487771987915,0.5112466812133789
0.02,0,12,916,0.4864193797111511,0.4990871846675873
0.02,0,13,916,0.4849632978439331,0.4936712384223938
0.02,0,14,916,0.5102874040603638,0.5177419185638428
0.02,0,15,916,0.4346786439418793,0.4364417791366577
0.02,0,16,916,0.49922406673431396,0.5128527879714966
0.02,0,17,916,0.4252772033214569,0.4265788197517395
0.02,0,18,916,0.4901621341705322,0.4967624247074127
0.02,0,19,916,0.4478220045566559,0.45198553800582886
0.02,0,20,916,0.4011264741420746,0.4091092348098755
0.02,0,21,916,0.43703582882881165,0.441143274307251
0.02,0,22,916,0.4201422929763794,0.4260474443435669
0.02,0,23,916,0.4208504259586334,0.4264419972896576
0.02,0,24,916,0.4423644244670868,0.4554538130760193
0.02,0,25,916,0.43096378445625305,0.44005775451660156
0.02,0,26,916,0.44732943177223206,0.4563008248806
0.02,0,27,916,0.45137691497802734,0.45292073488235474
0.02,0,28,916,0.493484765291214,0.5214276909828186
0.02,1,1,7801,0.2929331362247467,0.27484211325645447
0.02,1,2,7801,0.4174823760986328,0.41841164231300354
0.02,1,3,7801,0.525858461856842,0.5353472232818604
0.02,1,4,7801,0.5293902158737183,0.5407853722572327
0.02,1,5,7801,0.46251925826072693,0.4729073643684387
0.02,1,6,7801,0.4604094624519348,0.46998754143714905
0.02,1,7,7801,0.48055601119995117,0.48602765798568726
0.02,1,8,7801,0.5280941128730774,0.5350739359855652
0.02,1,9,7801,0.47435474395751953,0.48143672943115234
0.02,1,10,7801,0.45620742440223694,0.46595653891563416
0.02,1,11,7801,0.5078813433647156,0.5092323422431946
0.02,1,12,7801,0.4917331337928772,0.4989185333251953
0.02,1,13,7801,0.4957931339740753,0.502475380897522
0.02,1,14,7801,0.5173179507255554,0.5212942361831665
0.02,1,15,7801,0.46597152948379517,0.4768271744251251
0.02,1,16,7801,0.5103192925453186,0.5248270034790039
0.02,1,17,7801,0.4553947150707245,0.46190252900123596
0.02,1,18,7801,0.5035567283630371,0.5086246728897095
0.02,1,19,7801,0.4792594015598297,0.48474207520484924
0.02,1,20,7801,0.430820494890213,0.4367039203643799
0.02,1,21,7801,0.4406738579273224,0.4427553713321686
0.02,1,22,7801,0.44514575600624084,0.4493880867958069
0.02,1,23,7801,0.45742344856262207,0.4688057601451874
0.02,1,24,7801,0.45122575759887695,0.4549567699432373
0.02,1,25,7801,0.46581557393074036,0.47275111079216003
0.02,1,26,7801,0.4603692889213562,0.463791161775589
0.02,1,27,7801,0.47114384174346924,0.4752490818500519
0.02,1,28,7801,0.5209844708442688,0.5327311158180237
