temperature,label,layer,n,mean,median
1.0,0,1,2593,0.12023863196372986,0.11722889542579651
1.0,0,2,2593,0.17024022340774536,0.16536812484264374
1.0,0,3,2593,0.11517571657896042,0.11117102950811386
1.0,0,4,2593,0.14980164170265198,0.1397535353899002
1.0,0,5,2593,0.14714491367340088,0.14270958304405212
1.0,0,6,2593,0.14277763664722443,0.13493329286575317
1.0,0,7,2593,0.15959039330482483,0.15308721363544464
1.0,0,8,2593,0.16021110117435455,0.1551046222448349
1.0,0,9,2593,0.18941661715507507,0.18350981175899506
1.0,0,10,2593,0.22704946994781494,0.22001563012599945
1.0,0,11,2593,0.17962488532066345,0.17088420689105988
1.0,0,12,2593,0.20212358236312866,0.19415870308876038
1.0,0,13,2593,0.18927916884422302,0.18509581685066223
1.0,0,14,2593,0.25594210624694824,0.25420117378234863
1.0,0,15,2593,0.2606506645679474,0.25574740767478943
1.0,0,16,2593,0.28301680088043213,0.280586302280426
1.0,0,17,2593,0.23898637294769287,0.23665736615657806
1.0,0,18,2593,0.33163243532180786,0.33311983942985535
1.0,0,19,2593,0.3045234978199005,0.3036651611328125
1.0,0,20,2593,0.3299455940723419,0.33092761039733887
1.0,0,21,2593,0.36905795335769653,0.37257686257362366
1.0,0,22,2593,0.39086517691612244,0.39786532521247864
1.0,0,23,2593,0.31008362770080566,0.30903375148773193
1.0,0,24,2593,0.3846150040626526,0.38742852210998535
1.0,0,25,2593,0.3623603284358978,0.3650917708873749
1.0,0,26,2593,0.35242336988449097,0.3507160544395447
1.0,0,27,2593,0.3520905375480652,0.3521224558353424
1.0,0,28,2593,0.33702436089515686,0.33629533648490906
1.0,0,29,2593,0.3809202015399933,0.38277438282966614
1.0,0,30,2593,0.35489457845687866,0.35439059138298035
1.0,0,31,2593,0.3468261957168579,0.346579909324646
1.0,0,32,2593,0.38410046696662903,0.38694924116134644
1.0,0,33,2593,0.4051268398761749,0.40846237540245056
1.0,0,34,2593,0.38241368532180786,0.38504260778427124
1.0,0,35,2593,0.3685302138328552,0.3687380850315094
1.0,0,36,2593,0.2306942492723465,0.22682741284370422
1.0,1,1,12280,0.12383025139570236,0.12110058963298798
1.0,1,2,12280,0.18816007673740387,0.18462476134300232
1.0,1,3,12280,0.12381419539451599,0.11963321268558502
1.0,1,4,12280,0.16463574767112732,0.1536369025707245
1.0,1,5,12280,0.16376975178718567,0.15962234139442444
1.0,1,6,12280,0.163570374250412,0.15547478199005127
1.0,1,7,12280,0.1898982673883438,0.18510422110557556
1.0,1,8,12280,0.17647883296012878,0.17370399832725525
1.0,1,9,12280,0.19263987243175507,0.19061033427715302
1.0,1,10,12280,0.2178146243095398,0.2105741798877716
1.0,1,11,12280,0.1751052439212799,0.17021967470645905
1.0,1,12,12280,0.19959773123264313,0.19518062472343445
1.0,1,13,12280,0.19463130831718445,0.1936783492565155
1.0,1,14,12280,0.2414281964302063,0.2397748827934265
1.0,1,15,12280,0.2576357126235962,0.25762924551963806
1.0,1,16,12280,0.26501116156578064,0.2620735764503479
1.0,1,17,12280,0.23129938542842865,0.22964033484458923
1.0,1,18,12280,0.31309542059898376,0.31343549489974976
1.0,1,19,12280,0.27406299114227295,0.27224576473236084
1.0,1,20,12280,0.3067609369754791,0.3055242896080017
1.0,1,21,12280,0.3412872552871704,0.3408963680267334
1.0,1,22,12280,0.3667380213737488,0.36768996715545654
1.0,1,23,12280,0.29631873965263367,0.29551228880882263
1.0,1,24,12280,0.3476679027080536,0.3463538885116577
1.0,1,25,12280,0.32993438839912415,0.32962608337402344
1.0,1,26,12280,0.3444254398345947,0.3454913794994354
1.0,1,27,12280,0.32844966650009155,0.3262968063354492
1.0,1,28,12280,0.3347139060497284,0.3344966769218445
1.0,1,29,12280,0.3720985949039459,0.37356650829315186
1.0,1,30,12280,0.3283504545688629,0.3244051933288574
1.0,1,31,12280,0.328314870595932,0.3261563181877136
1.0,1,32,12280,0.3622550666332245,0.36098670959472656
1.0,1,33,12280,0.3748857378959656,0.37298375368118286
1.0,1,34,12280,0.35115692019462585,0.34768417477607727
1.0,1,35,12280,0.35213980078697205,0.3530789613723755
1.0,1,36,12280,0.24809174239635468,0.24636662006378174
0.2,0,1,2593,0.1256990134716034,0.12243042886257172
0.2,0,2,2593,0.2059934437274933,0.20157156884670258
0.2,0,3,2593,0.1588926464319229,0.15475769340991974
0.2,0,4,2593,0.17430393397808075,0.16746927797794342
0.2,0,5,2593,0.15432804822921753,0.15199872851371765
0.2,0,6,2593,0.14248576760292053,0.13933897018432617
0.2,0,7,2593,0.14767199754714966,0.14554773271083832
0.2,0,8,2593,0.14588680863380432,0.1430315375328064
0.2,0,9,2593,0.11368633806705475,0.11068868637084961
0.2,0,10,2593,0.17613567411899567,0.16780546307563782
0.2,0,11,2593,0.10624819248914719,0.1031869649887085
0.2,0,12,2593,0.11664896458387375,0.11318693310022354
0.2,0,13,2593,0.17248846590518951,0.1699770987033844
0.2,0,14,2593,0.12217126041650772,0.11874521523714066
0.2,0,15,2593,0.13239407539367676,0.13029642403125763
0.2,0,16,2593,0.14829015731811523,0.1435575932264328
0.2,0,17,2593,0.12800586223602295,0.1256415694952011
0.2,0,18,2593,0.15898175537586212,0.15544778108596802
0.2,0,19,2593,0.14191758632659912,0.13811807334423065
0.2,0,20,2593,0.18692733347415924,0.17869679629802704
0.2,0,21,2593,0.18388864398002625,0.18109267950057983
0.2,0,22,2593,0.19698882102966309,0.19562169909477234
0.2,0,23,2593,0.16962569952011108,0.1639891117811203
0.2,0,24,2593,0.1678784191608429,0.16553427278995514
0.2,0,25,2593,0.20579950511455536,0.20525357127189636
0.2,0,26,2593,0.18167783319950104,0.17733892798423767
0.2,0,27,2593,0.1675814986228943,0.16372773051261902
0.2,0,28,2593,0.20123648643493652,0.19645270705223083
0.2,0,29,2593,0.18617330491542816,0.1830972284078598
0.2,0,30,2593,0.19996525347232819,0.1907358467578888
0.2,0,31,2593,0.21867576241493225,0.21192637085914612
0.2,0,32,2593,0.20190978050231934,0.19780439138412476
0.2,0,33,2593,0.1989130824804306,0.19500680267810822
0.2,0,34,2593,0.19971945881843567,0.19627192616462708
0.2,0,35,2593,0.23134668171405792,0.2163289487361908
0.2,0,36,2593,0.2916841208934784,0.29182660579681396
0.2,1,1,12280,0.12917295098304749,0.12662139534950256
0.2,1,2,12280,0.2219465672969818,0.2192135751247406
0.2,1,3,12280,0.1622416377067566,0.158840149641037
0.2,1,4,12280,0.17695453763008118,0.17148864269256592
0.2,1,5,12280,0.15857331454753876,0.15602487325668335
0.2,1,6,12280,0.14214259386062622,0.13900414109230042
0.2,1,7,12280,0.147992804646492,0.14540179073810577
0.2,1,8,12280,0.14643073081970215,0.14334636926651
0.2,1,9,12280,0.10981031507253647,0.10716669261455536
0.2,1,10,12280,0.1646653711795807,0.15463614463806152
0.2,1,11,12280,0.10311005264520645,0.0998772531747818
0.2,1,12,12280,0.11339642852544785,0.10918666422367096
0.2,1,13,12280,0.15291374921798706,0.14900709688663483
