model,experiment,group,classifier,auc,auc_std,hall_aupr,hall_aupr_std,status,source
qwen2_5_vl_7b,old_composition,AE_I,fixed_three_hidden,0.8611713767975343,0.005236017423550844,0.42081730501573206,0.004115089235055722,see source numerical limits,outputs/ffn_source_composition_v1/qwen2_5_vl_7b/detection.json
qwen2_5_vl_7b,old_composition,B,fixed_three_hidden,0.8705986940278763,0.005023524823812361,0.42808031174052646,0.0195658041655984,see source numerical limits,outputs/ffn_source_composition_v1/qwen2_5_vl_7b/detection.json
qwen2_5_vl_7b,old_composition,AE_I_SC,fixed_three_hidden,0.8645162693835026,0.007147666865151994,0.43008552359981506,0.006967538022040764,see source numerical limits,outputs/ffn_source_composition_v1/qwen2_5_vl_7b/detection.json
qwen2_5_vl_7b,old_composition,B_SC,fixed_three_hidden,0.8720450705020338,0.003930363530332557,0.44019208646926306,0.00356418628122717,see source numerical limits,outputs/ffn_source_composition_v1/qwen2_5_vl_7b/detection.json
qwen2_5_vl_7b,old_composition,B_JS_TE,fixed_three_hidden,0.8667340466438773,0.0011839425790674916,0.4273782829998943,0.006698098558845522,see source numerical limits,outputs/ffn_source_composition_v1/qwen2_5_vl_7b/detection.json
qwen2_5_vl_7b,old_composition,B_JS_TC,fixed_three_hidden,0.8776165597171216,0.005616059033831753,0.4487943272385495,0.006048877768108574,see source numerical limits,outputs/ffn_source_composition_v1/qwen2_5_vl_7b/detection.json
qwen2_5_vl_7b,old_composition,B_OT_TE,fixed_three_hidden,0.871158429964217,0.005397138804162452,0.4362656515149423,0.007128357822763505,see source numerical limits,outputs/ffn_source_composition_v1/qwen2_5_vl_7b/detection.json
qwen2_5_vl_7b,old_composition,B_OT_TC,fixed_three_hidden,0.866435951980301,0.003532163531670122,0.43389884178491983,0.007370303552415156,see source numerical limits,outputs/ffn_source_composition_v1/qwen2_5_vl_7b/detection.json
qwen2_5_vl_7b,old_composition,F,fixed_three_hidden,0.874488623602277,0.0008451358710269548,0.43982126471102706,0.016776119232432937,see source numerical limits,outputs/ffn_source_composition_v1/qwen2_5_vl_7b/detection.json
qwen2_5_vl_7b,old_composition,F_C,fixed_three_hidden,0.8718157669146674,0.0030618829650429593,0.4556788070614475,0.0020380960147070447,see source numerical limits,outputs/ffn_source_composition_v1/qwen2_5_vl_7b/detection.json
llava_1_5_7b,old_composition,AE_I,fixed_three_hidden,0.8988641649202593,0.000939501915078873,0.7091493904380629,0.0033875283913054593,see source numerical limits,outputs/ffn_source_composition_v1/llava_1_5_7b/detection.json
llava_1_5_7b,old_composition,B,fixed_three_hidden,0.900478229088112,0.0039046055981986857,0.7066504751615184,0.004215715365475308,see source numerical limits,outputs/ffn_source_composition_v1/llava_1_5_7b/detection.json
llava_1_5_7b,old_composition,AE_I_SC,fixed_three_hidden,0.9030678890841882,0.0013509377107946228,0.710422526073747,0.0045932628213515665,see source numerical limits,outputs/ffn_source_composition_v1/llava_1_5_7b/detection.json
llava_1_5_7b,old_composition,B_SC,fixed_three_hidden,0.8991836402399228,0.0029622379632108504,0.7013431080637038,0.008059503362767407,see source numerical limits,outputs/ffn_source_composition_v1/llava_1_5_7b/detection.json
llava_1_5_7b,old_composition,B_JS_TE,fixed_three_hidden,0.8982790389271802,0.0041511812199288714,0.7047219096001597,0.004459685966976002,see source numerical limits,outputs/ffn_source_composition_v1/llava_1_5_7b/detection.json
llava_1_5_7b,old_composition,B_JS_TC,fixed_three_hidden,0.9006318897717547,0.0032255150888433498,0.7104059823855148,0.006612089218170283,see source numerical limits,outputs/ffn_source_composition_v1/llava_1_5_7b/detection.json
llava_1_5_7b,old_composition,B_OT_TE,fixed_three_hidden,0.8984380049074959,0.0031915345868176732,0.707877323573868,0.005682637719277647,see source numerical limits,outputs/ffn_source_composition_v1/llava_1_5_7b/detection.json
llava_1_5_7b,old_composition,B_OT_TC,fixed_three_hidden,0.9032279161238383,0.0019148258146340755,0.7121485906999147,0.0012425941832877427,see source numerical limits,outputs/ffn_source_composition_v1/llava_1_5_7b/detection.json
llava_1_5_7b,old_composition,F,fixed_three_hidden,0.9001515192729853,0.00272196496534372,0.708153265166643,0.006193537416397996,see source numerical limits,outputs/ffn_source_composition_v1/llava_1_5_7b/detection.json
llava_1_5_7b,old_composition,F_C,fixed_three_hidden,0.9010108808740968,0.0008056630844659982,0.712237436485016,0.0025072604849356514,see source numerical limits,outputs/ffn_source_composition_v1/llava_1_5_7b/detection.json
qwen3_vl_8b,old_composition,AE_I,fixed_three_hidden,0.8738073149974737,0.011528511922693462,0.6085267833207474,0.019731372731529844,see source numerical limits,outputs/ffn_source_composition_v1/qwen3_vl_8b/detection.json
qwen3_vl_8b,old_composition,B,fixed_three_hidden,0.875557752606876,0.016037394685854047,0.6207998677663498,0.023734572994093702,see source numerical limits,outputs/ffn_source_composition_v1/qwen3_vl_8b/detection.json
qwen3_vl_8b,old_composition,AE_I_SC,fixed_three_hidden,0.8842530848761573,0.012525197850549452,0.6418563065147372,0.02402943645250678,see source numerical limits,outputs/ffn_source_composition_v1/qwen3_vl_8b/detection.json
qwen3_vl_8b,old_composition,B_SC,fixed_three_hidden,0.8871178700024801,0.005226149050093805,0.6424327126462291,0.007949794020689691,see source numerical limits,outputs/ffn_source_composition_v1/qwen3_vl_8b/detection.json
qwen3_vl_8b,old_composition,B_JS_TE,fixed_three_hidden,0.8881021695753156,0.006264610020381659,0.6480854920692604,0.0030926508299246856,see source numerical limits,outputs/ffn_source_composition_v1/qwen3_vl_8b/detection.json
qwen3_vl_8b,old_composition,B_JS_TC,fixed_three_hidden,0.8564966601732739,0.03174878981554475,0.5749175976683175,0.07236210799743606,see source numerical limits,outputs/ffn_source_composition_v1/qwen3_vl_8b/detection.json
qwen3_vl_8b,old_composition,B_OT_TE,fixed_three_hidden,0.8852697999602781,0.0012836808090112167,0.6341049942857094,0.014529624319321569,see source numerical limits,outputs/ffn_source_composition_v1/qwen3_vl_8b/detection.json
qwen3_vl_8b,old_composition,B_OT_TC,fixed_three_hidden,0.8648709245212537,0.013130042345144087,0.5918148772986476,0.0303004006559218,see source numerical limits,outputs/ffn_source_composition_v1/qwen3_vl_8b/detection.json
qwen3_vl_8b,old_composition,F,fixed_three_hidden,0.8865496981241195,0.0030478083329301894,0.6283199927748971,0.003527532443769331,see source numerical limits,outputs/ffn_source_composition_v1/qwen3_vl_8b/detection.json
qwen3_vl_8b,old_composition,F_C,fixed_three_hidden,0.886070926167756,0.0032251772805136966,0.6262662611335135,0.0077036437926857595,see source numerical limits,outputs/ffn_source_composition_v1/qwen3_vl_8b/detection.json
internvl_2_5_8b,old_composition,AE_I,fixed_three_hidden,0.855419474915352,0.002860732508815906,0.5353710151079936,0.009151679455671427,see source numerical limits,outputs/ffn_source_composition_v1/internvl_2_5_8b/detection.json
internvl_2_5_8b,old_composition,B,fixed_three_hidden,0.860232661845914,0.00674273582628652,0.5156840416218659,0.015936719304658984,see source numerical limits,outputs/ffn_source_composition_v1/internvl_2_5_8b/detection.json
internvl_2_5_8b,old_composition,AE_I_SC,fixed_three_hidden,0.8602533565470023,0.011071129181083389,0.5256615559885333,0.023852965531323538,see source numerical limits,outputs/ffn_source_composition_v1/internvl_2_5_8b/detection.json
internvl_2_5_8b,old_composition,B_SC,fixed_three_hidden,0.859973866820475,0.005817092939220776,0.5320352453523655,0.015288097342281773,see source numerical limits,outputs/ffn_source_composition_v1/internvl_2_5_8b/detection.json
internvl_2_5_8b,old_composition,B_JS_TE,fixed_three_hidden,0.8712662753810495,0.005068341587552744,0.5646410857395416,0.012734341541683566,see source numerical limits,outputs/ffn_source_composition_v1/internvl_2_5_8b/detection.json
