model,left,right,metric,delta,ci95_low,ci95_high,valid_repetitions
internvl_2_5_8b,b1_F5,F0,AUROC,-0.00600190836297354,-0.02189660789030717,0.009325567370391181,10000
internvl_2_5_8b,b1_F5,F0,HALL_AUPR,0.01598163444392564,-0.02660687335356102,0.05462016931119796,10000
internvl_2_5_8b,b1_F5,source_raw,AUROC,-0.0022824252587505534,-0.016172819592985017,0.01108117616777953,10000
internvl_2_5_8b,b1_F5,source_raw,HALL_AUPR,0.009408659429557487,-0.028247208737295974,0.04682067277743807,10000
internvl_2_5_8b,b1_F5,source_log1p,AUROC,0.00025612474142733266,-0.01353167931759498,0.013502954740444816,10000
internvl_2_5_8b,b1_F5,source_log1p,HALL_AUPR,0.029832171634940896,-0.007503493965382951,0.06707463748012864,10000
internvl_2_5_8b,b1_F5,length,AUROC,0.16916605250134398,0.14038299970086468,0.19874983866956372,10000
internvl_2_5_8b,b1_F5,length,HALL_AUPR,0.32113033040135114,0.26919754183693545,0.3707699826515346,10000
internvl_2_5_8b,b1_F6,F0,AUROC,0.002720574360289052,-0.01290213195976892,0.01791402242509952,10000
internvl_2_5_8b,b1_F6,F0,HALL_AUPR,0.027049634381269283,-0.014597492908227882,0.06486597150191127,10000
internvl_2_5_8b,b1_F6,source_raw,AUROC,0.006440057464512039,-0.007761373667477338,0.02001908403974769,10000
internvl_2_5_8b,b1_F6,source_raw,HALL_AUPR,0.02047665936690113,-0.018053834357196496,0.05799004383929701,10000
internvl_2_5_8b,b1_F6,source_log1p,AUROC,0.008978607464689925,-0.004759228646532732,0.022607208345398314,10000
internvl_2_5_8b,b1_F6,source_log1p,HALL_AUPR,0.04090017157228454,0.0033804770991312694,0.07691368460869133,10000
internvl_2_5_8b,b1_F6,length,AUROC,0.17788853522460657,0.14885202790146254,0.20771715030503093,10000
internvl_2_5_8b,b1_F6,length,HALL_AUPR,0.3321983303386948,0.27763203247054086,0.38283952407716537,10000
internvl_2_5_8b,b2_F5,F0,AUROC,0.001652905803061322,-0.014588018832256794,0.017442438238914167,10000
internvl_2_5_8b,b2_F5,F0,HALL_AUPR,0.04176732996353649,-0.0033220561665749356,0.0820100334388452,10000
internvl_2_5_8b,b2_F5,source_raw,AUROC,0.005372388907284309,-0.008810508753641953,0.019292014450496234,10000
internvl_2_5_8b,b2_F5,source_raw,HALL_AUPR,0.03519435494916834,-0.005572491677941939,0.07603873150682386,10000
internvl_2_5_8b,b2_F5,source_log1p,AUROC,0.007910938907462195,-0.005933002122021011,0.02187420724937726,10000
internvl_2_5_8b,b2_F5,source_log1p,HALL_AUPR,0.05561786715455175,0.015252547565381552,0.09420802235690852,10000
internvl_2_5_8b,b2_F5,length,AUROC,0.17682086666737884,0.14818707140760418,0.20606891523092583,10000
internvl_2_5_8b,b2_F5,length,HALL_AUPR,0.346916025920962,0.2954889791650875,0.39357466351877346,10000
internvl_2_5_8b,b2_F6,F0,AUROC,0.006484117150700186,-0.008575144494517635,0.021719332482142036,10000
internvl_2_5_8b,b2_F6,F0,HALL_AUPR,0.04427068096979525,0.003724587630458054,0.08114694250273305,10000
internvl_2_5_8b,b2_F6,source_raw,AUROC,0.010203600254923173,-0.0032306935357750252,0.02371196128353242,10000
internvl_2_5_8b,b2_F6,source_raw,HALL_AUPR,0.0376977059554271,-0.0004760571210670804,0.07590461130806725,10000
internvl_2_5_8b,b2_F6,source_log1p,AUROC,0.012742150255101059,-0.000635179386781764,0.026101581619733367,10000
internvl_2_5_8b,b2_F6,source_log1p,HALL_AUPR,0.058121218160810506,0.020444901572340645,0.09517986092566946,10000
internvl_2_5_8b,b2_F6,length,AUROC,0.1816520780150177,0.15344191926798542,0.21033115514213577,10000
internvl_2_5_8b,b2_F6,length,HALL_AUPR,0.34941937692722075,0.29767942265016045,0.39682103498473237,10000
internvl_2_5_8b,b1_F3_raw,b2_F3_raw,AUROC,0.005884638390139085,-0.006201865309780655,0.01764068449702032,10000
internvl_2_5_8b,b1_F3_raw,b2_F3_raw,HALL_AUPR,0.018108992565749382,-0.017396989936843788,0.05138707750553817,10000
internvl_2_5_8b,b1_F3_log1p,b2_F3_log1p,AUROC,-0.011407008249397443,-0.022244078303971834,-0.0005484622177870325,10000
internvl_2_5_8b,b1_F3_log1p,b2_F3_log1p,HALL_AUPR,-0.013282097904005918,-0.038404503038975524,0.01145434443805785,10000
internvl_2_5_8b,b1_F4,b2_F4,AUROC,-0.008052463960066758,-0.021937959124926912,0.005893427082616818,10000
internvl_2_5_8b,b1_F4,b2_F4,HALL_AUPR,-0.033785043532945314,-0.07332276778367933,0.0072793199712032864,10000
internvl_2_5_8b,b1_F5,b2_F5,AUROC,-0.007654814166034862,-0.016673471108023516,0.001541721809036055,10000
internvl_2_5_8b,b1_F5,b2_F5,HALL_AUPR,-0.02578569551961085,-0.04985593167192262,-0.0007545145776172018,10000
internvl_2_5_8b,b1_F6,b2_F6,AUROC,-0.003763542790411134,-0.01267656104275266,0.004353689649511939,10000
internvl_2_5_8b,b1_F6,b2_F6,HALL_AUPR,-0.017221046588525968,-0.03920589532357567,0.004747549372936074,10000
