model,left,right,metric,delta,ci95_low,ci95_high,valid_repetitions
llava_1_5_7b,b1_F5,F0,AUROC,-0.002690460632866043,-0.013106543268248092,0.007479803942675767,10000
llava_1_5_7b,b1_F5,F0,HALL_AUPR,-0.006755333018849008,-0.03885346191248728,0.025286255563252688,10000
llava_1_5_7b,b1_F5,source_raw,AUROC,-0.007796181691170467,-0.016078443557019033,0.00038559121467410636,10000
llava_1_5_7b,b1_F5,source_raw,HALL_AUPR,-0.022132116571333627,-0.04910678120351293,0.00464903443661474,10000
llava_1_5_7b,b1_F5,source_log1p,AUROC,-0.0070132163621523524,-0.015162643555236135,0.0011245445767487131,10000
llava_1_5_7b,b1_F5,source_log1p,HALL_AUPR,-0.016527487612242875,-0.04349864068373473,0.01030173630499446,10000
llava_1_5_7b,b1_F5,length,AUROC,0.07164542715258548,0.05619421358329304,0.08733934714455571,10000
llava_1_5_7b,b1_F5,length,HALL_AUPR,0.15396848186230916,0.11002328766530452,0.1958167711268184,10000
llava_1_5_7b,b1_F6,F0,AUROC,0.0031457515473620745,-0.006241609314016646,0.01251508474660713,10000
llava_1_5_7b,b1_F6,F0,HALL_AUPR,0.003196282004577,-0.027332307109447833,0.03379451165067838,10000
llava_1_5_7b,b1_F6,source_raw,AUROC,-0.00195996951094235,-0.009877943602296638,0.005931207980836192,10000
llava_1_5_7b,b1_F6,source_raw,HALL_AUPR,-0.012180501547907618,-0.03985848926339036,0.015500823638661959,10000
llava_1_5_7b,b1_F6,source_log1p,AUROC,-0.001177004181924235,-0.009112007114514042,0.00670612923423811,10000
llava_1_5_7b,b1_F6,source_log1p,HALL_AUPR,-0.006575872588816867,-0.03406903880346937,0.020850187885560516,10000
llava_1_5_7b,b1_F6,length,AUROC,0.0774816393328136,0.0625305258033702,0.09244485190901593,10000
llava_1_5_7b,b1_F6,length,HALL_AUPR,0.16392009688573517,0.12007235225666994,0.2066229670432358,10000
llava_1_5_7b,b2_F5,F0,AUROC,0.00013620143459069922,-0.01049069122100193,0.010597493133489688,10000
llava_1_5_7b,b2_F5,F0,HALL_AUPR,-0.00673083873221314,-0.0396436364029455,0.02612398796568072,10000
llava_1_5_7b,b2_F5,source_raw,AUROC,-0.004969519623713725,-0.013546058436871514,0.003546263535485545,10000
llava_1_5_7b,b2_F5,source_raw,HALL_AUPR,-0.02210762228469776,-0.049603806965391704,0.005950263458989025,10000
llava_1_5_7b,b2_F5,source_log1p,AUROC,-0.00418655429469561,-0.012561485095809085,0.004229590311235827,10000
llava_1_5_7b,b2_F5,source_log1p,HALL_AUPR,-0.016502993325607007,-0.04317116424645965,0.01046635724390757,10000
llava_1_5_7b,b2_F5,length,AUROC,0.07447208922004223,0.058465373164026474,0.09060317255053871,10000
llava_1_5_7b,b2_F5,length,HALL_AUPR,0.15399297614894503,0.108571628231856,0.19752112676161188,10000
llava_1_5_7b,b2_F6,F0,AUROC,0.004989776211011154,-0.004432078919421064,0.014363790230399926,10000
llava_1_5_7b,b2_F6,F0,HALL_AUPR,0.01001750163178139,-0.02045075250551589,0.03936632423555789,10000
llava_1_5_7b,b2_F6,source_raw,AUROC,-0.00011594484729327004,-0.0085153819065694,0.008134744368969864,10000
llava_1_5_7b,b2_F6,source_raw,HALL_AUPR,-0.005359281920703229,-0.03323998395036834,0.02138667811105328,10000
llava_1_5_7b,b2_F6,source_log1p,AUROC,0.0006670204817248448,-0.007681878705418918,0.0087882352656393,10000
llava_1_5_7b,b2_F6,source_log1p,HALL_AUPR,0.00024534703838752225,-0.026685834803981283,0.02578549986214958,10000
llava_1_5_7b,b2_F6,length,AUROC,0.07932566399646268,0.06429211166921744,0.09445091898241591,10000
llava_1_5_7b,b2_F6,length,HALL_AUPR,0.17074131651293956,0.12658432499230307,0.2127395160914613,10000
llava_1_5_7b,b1_F3_raw,b2_F3_raw,AUROC,-0.003859169259992079,-0.009959460533252584,0.0021440965990813013,10000
llava_1_5_7b,b1_F3_raw,b2_F3_raw,HALL_AUPR,-0.011556517174780345,-0.03193070082766636,0.00788337367698745,10000
llava_1_5_7b,b1_F3_log1p,b2_F3_log1p,AUROC,-0.004214431217214432,-0.009471137648625158,0.0009556701107898285,10000
llava_1_5_7b,b1_F3_log1p,b2_F3_log1p,HALL_AUPR,-0.014282758152308728,-0.03207604969137119,0.0025195523194996546,10000
llava_1_5_7b,b1_F4,b2_F4,AUROC,-0.0018866599569132836,-0.010007424300345406,0.0060769135381809275,10000
llava_1_5_7b,b1_F4,b2_F4,HALL_AUPR,-0.011904670489180869,-0.03989459057229639,0.015983173902179883,10000
llava_1_5_7b,b1_F5,b2_F5,AUROC,-0.002826662067456742,-0.008507967478901604,0.0027412495265487892,10000
llava_1_5_7b,b1_F5,b2_F5,HALL_AUPR,-2.4494286635867724e-05,-0.017025534194759065,0.016128976498046645,10000
llava_1_5_7b,b1_F6,b2_F6,AUROC,-0.0018440246636490798,-0.006785171488078994,0.00312786041349469,10000
llava_1_5_7b,b1_F6,b2_F6,HALL_AUPR,-0.006821219627204389,-0.02337444431600211,0.010056868481218792,10000
