model,scope,metric,label,layer,n_total,n_valid,n_undefined,mean,q25,median,q75
qwen2_5_vl_7b,all,b1_attention_residual_kappa,REAL,1,1006,1006,0,0.5664197351655669,0.4864940648884807,0.5174113597918051,0.6925197905860317
qwen2_5_vl_7b,all,b1_attention_residual_kappa,REAL,2,1006,1006,0,0.09869493121135059,0.06685991496650762,0.09062960844798099,0.12391174402660361
qwen2_5_vl_7b,all,b1_attention_residual_kappa,REAL,3,1006,1006,0,0.18010151198620533,0.13796634310071249,0.15872562825795225,0.2038382118096351
qwen2_5_vl_7b,all,b1_attention_residual_kappa,REAL,4,1006,1006,0,0.08619402551335194,0.0634361364106117,0.0730262602182121,0.09759202131595293
qwen2_5_vl_7b,all,b1_attention_residual_kappa,REAL,5,1006,1006,0,0.12906646362522034,0.09652106739441774,0.11380721114423346,0.14755627277115782
qwen2_5_vl_7b,all,b1_attention_residual_kappa,REAL,6,1006,1006,0,0.12296280589472866,0.10090179077809117,0.11521115390714746,0.13837875478022488
qwen2_5_vl_7b,all,b1_attention_residual_kappa,REAL,7,1006,1006,0,0.1055059921828203,0.09354847562093248,0.10101356229240517,0.11563083553093022
qwen2_5_vl_7b,all,b1_attention_residual_kappa,REAL,8,1006,1006,0,0.17143228712543201,0.14014623204090432,0.16996646831514933,0.19234185233512457
qwen2_5_vl_7b,all,b1_attention_residual_kappa,REAL,9,1006,1006,0,0.13351983063720413,0.116261804420797,0.13029385280348038,0.1463049469408664
qwen2_5_vl_7b,all,b1_attention_residual_kappa,REAL,10,1006,1006,0,0.09506263884329968,0.07896584911575788,0.0921994058851035,0.10514759580690444
qwen2_5_vl_7b,all,b1_attention_residual_kappa,REAL,11,1006,1006,0,0.15768122389584796,0.14251754847395043,0.1551134896021803,0.17086909238589926
qwen2_5_vl_7b,all,b1_attention_residual_kappa,REAL,12,1006,1006,0,0.13982077420824846,0.11497452013202662,0.13258440189542414,0.15609161460393808
qwen2_5_vl_7b,all,b1_attention_residual_kappa,REAL,13,1006,1006,0,0.12465500417980505,0.11191928754825936,0.12348784949949033,0.1353777382193999
qwen2_5_vl_7b,all,b1_attention_residual_kappa,REAL,14,1006,1006,0,0.11030034693258173,0.10110755846610422,0.10813398834498761,0.11783327518986775
qwen2_5_vl_7b,all,b1_attention_residual_kappa,REAL,15,1006,1006,0,0.11802914703053015,0.10568147893323919,0.11695441270894857,0.12918092889711105
qwen2_5_vl_7b,all,b1_attention_residual_kappa,REAL,16,1006,1006,0,0.10748323708837243,0.09589268649388846,0.10542162914371872,0.11737316196448043
qwen2_5_vl_7b,all,b1_attention_residual_kappa,REAL,17,1006,1006,0,0.12399350264803705,0.10783692497132905,0.12243814339063118,0.13737168699423233
qwen2_5_vl_7b,all,b1_attention_residual_kappa,REAL,18,1006,1006,0,0.1473718050394296,0.13484840849489937,0.14678684549127252,0.15897690929889888
qwen2_5_vl_7b,all,b1_attention_residual_kappa,REAL,19,1006,1006,0,0.13916268520729191,0.12815631646662282,0.13979472043770153,0.15047801215499917
qwen2_5_vl_7b,all,b1_attention_residual_kappa,REAL,20,1006,1006,0,0.12136887674413822,0.11316668120952092,0.12121075247622075,0.1291628609453504
qwen2_5_vl_7b,all,b1_attention_residual_kappa,REAL,21,1006,1006,0,0.1592500194105635,0.13533551049435627,0.15839679783299038,0.1821301934069372
qwen2_5_vl_7b,all,b1_attention_residual_kappa,REAL,22,1006,1006,0,0.1366722376752172,0.11331677147545491,0.1306651532159318,0.15393827408957422
qwen2_5_vl_7b,all,b1_attention_residual_kappa,REAL,23,1006,1006,0,0.2008516503272011,0.17394390187876857,0.19560315125441752,0.22275608779712158
qwen2_5_vl_7b,all,b1_attention_residual_kappa,REAL,24,1006,1006,0,0.20234085022531556,0.17864252109639492,0.19819923913220477,0.2254115782141236
qwen2_5_vl_7b,all,b1_attention_residual_kappa,REAL,25,1006,1006,0,0.3235362065686856,0.28642206435384426,0.3255813221214795,0.361216781545712
qwen2_5_vl_7b,all,b1_attention_residual_kappa,REAL,26,1006,1006,0,0.20473944311029835,0.18915394640460081,0.20630222084628982,0.22236607863996874
qwen2_5_vl_7b,all,b1_attention_residual_kappa,REAL,27,1006,1006,0,0.21679799896684043,0.19714590045931532,0.21345162428404457,0.23110226065439846
qwen2_5_vl_7b,all,b1_attention_residual_kappa,REAL,28,1006,1006,0,0.16500848860650488,0.1460872100616068,0.16598570923616585,0.18635644362991494
qwen2_5_vl_7b,all,b1_attention_residual_kappa,HALL,1,122,122,0,0.5413166777122537,0.4279137357284558,0.49886870294633856,0.65185352697396
qwen2_5_vl_7b,all,b1_attention_residual_kappa,HALL,2,122,122,0,0.09169315826068339,0.062318922883045094,0.08052786581794186,0.10442417005162269
qwen2_5_vl_7b,all,b1_attention_residual_kappa,HALL,3,122,122,0,0.17797650333109888,0.14049253921379967,0.1604533551546241,0.1904685482483459
qwen2_5_vl_7b,all,b1_attention_residual_kappa,HALL,4,122,122,0,0.08597595059632743,0.0634482800361988,0.0772146956998507,0.09771700385332004
qwen2_5_vl_7b,all,b1_attention_residual_kappa,HALL,5,122,122,0,0.11893440617746943,0.08806807498673136,0.10806400775022028,0.14211228725672828
qwen2_5_vl_7b,all,b1_attention_residual_kappa,HALL,6,122,122,0,0.12491742214424789,0.09498674158583109,0.11384277689486745,0.14549832901155857
qwen2_5_vl_7b,all,b1_attention_residual_kappa,HALL,7,122,122,0,0.10966315351561426,0.09295783873298333,0.10358643822114799,0.12518244518651578
qwen2_5_vl_7b,all,b1_attention_residual_kappa,HALL,8,122,122,0,0.15821991691606974,0.1281435699474467,0.14787416373183604,0.18385158313987535
qwen2_5_vl_7b,all,b1_attention_residual_kappa,HALL,9,122,122,0,0.14190960727267055,0.12202127571208872,0.13594100044916718,0.15673151120586132
qwen2_5_vl_7b,all,b1_attention_residual_kappa,HALL,10,122,122,0,0.09208536628772317,0.07473289713199494,0.08713018821348578,0.10045743565227708
qwen2_5_vl_7b,all,b1_attention_residual_kappa,HALL,11,122,122,0,0.15631827270447593,0.13833551966798385,0.15676848825695236,0.1703193495691456
qwen2_5_vl_7b,all,b1_attention_residual_kappa,HALL,12,122,122,0,0.14141552736163426,0.11756016713657526,0.13326454710595187,0.15387038611900833
qwen2_5_vl_7b,all,b1_attention_residual_kappa,HALL,13,122,122,0,0.1321921336555195,0.11996048217339934,0.13220748343178662,0.14372618148034919
qwen2_5_vl_7b,all,b1_attention_residual_kappa,HALL,14,122,122,0,0.1112241976675595,0.10137706992031499,0.10987927850201701,0.11799802825068514
qwen2_5_vl_7b,all,b1_attention_residual_kappa,HALL,15,122,122,0,0.12229091700126417,0.10618640866532617,0.12039609377652069,0.13476256228437083
qwen2_5_vl_7b,all,b1_attention_residual_kappa,HALL,16,122,122,0,0.11433334859419014,0.10172868185671971,0.11351562409346189,0.12147140140830293
qwen2_5_vl_7b,all,b1_attention_residual_kappa,HALL,17,122,122,0,0.12688757538718842,0.10879706133864353,0.12286725459926173,0.14152261308265113
