model,scope,metric,layer,n_mixed_images,n_valid,mean_hall_minus_real,median_hall_minus_real,fraction_hall_gt_real
qwen2_5_vl_7b,all,prompt_attention_mass,1,95,95,-0.12983391265335834,-0.10654446855187416,0.16842105263157894
qwen2_5_vl_7b,all,prompt_attention_mass,2,95,95,-0.10061626083756747,-0.10794021810094517,0.21052631578947367
qwen2_5_vl_7b,all,prompt_attention_mass,3,95,95,-0.11237625299315704,-0.1285836100578308,0.2
qwen2_5_vl_7b,all,prompt_attention_mass,4,95,95,-0.09915439669761743,-0.09513791898886362,0.14736842105263157
qwen2_5_vl_7b,all,prompt_attention_mass,5,95,95,-0.040587739881716274,-0.05134138464927673,0.28421052631578947
qwen2_5_vl_7b,all,prompt_attention_mass,6,95,95,-0.03378995179084309,-0.03937382499376929,0.3157894736842105
qwen2_5_vl_7b,all,prompt_attention_mass,7,95,95,-0.043276408570900295,-0.05624893307685852,0.3368421052631579
qwen2_5_vl_7b,all,prompt_attention_mass,8,95,95,-0.06202870632472791,-0.0638701319694519,0.2
qwen2_5_vl_7b,all,prompt_attention_mass,9,95,95,-0.038916498793844595,-0.049740950266520145,0.2736842105263158
qwen2_5_vl_7b,all,prompt_attention_mass,10,95,95,-0.04458779395149465,-0.05320769548416138,0.25263157894736843
qwen2_5_vl_7b,all,prompt_attention_mass,11,95,95,-0.04840449164311091,-0.054995715618133545,0.23157894736842105
qwen2_5_vl_7b,all,prompt_attention_mass,12,95,95,-0.061746258123924855,-0.0787874857584635,0.28421052631578947
qwen2_5_vl_7b,all,prompt_attention_mass,13,95,95,-0.038649081624390784,-0.039780184626579285,0.30526315789473685
qwen2_5_vl_7b,all,prompt_attention_mass,14,95,95,-0.05372889389071548,-0.06156128644943237,0.2631578947368421
qwen2_5_vl_7b,all,prompt_attention_mass,15,95,95,-0.016266821722189587,-0.0147981196641922,0.4
qwen2_5_vl_7b,all,prompt_attention_mass,16,95,95,-0.04592485759341926,-0.05170429746309918,0.3157894736842105
qwen2_5_vl_7b,all,prompt_attention_mass,17,95,95,-0.029808302615818225,-0.044837094843387604,0.35789473684210527
qwen2_5_vl_7b,all,prompt_attention_mass,18,95,95,-0.03139449028592361,-0.05206814408302307,0.3473684210526316
qwen2_5_vl_7b,all,prompt_attention_mass,19,95,95,-0.017453563223805344,-0.02938982844352722,0.35789473684210527
qwen2_5_vl_7b,all,prompt_attention_mass,20,95,95,-0.043950863347241756,-0.044237226247787476,0.24210526315789474
