model,scope,metric,label,layer,n_total,n_valid,n_undefined,mean,q25,median,q75
qwen2_5_vl_7b,all,amp_mean,REAL,1,1006,1006,0,1.0587038502361936,0.940975480214436,1.0580288574640637,1.1453046689653872
qwen2_5_vl_7b,all,amp_mean,REAL,2,1006,1006,0,0.5239976395922862,0.4305929998051093,0.4960121569086393,0.6100742250627997
qwen2_5_vl_7b,all,amp_mean,REAL,3,1006,1006,0,0.421373802946918,0.3518808353275213,0.4016249585842914,0.46249157529681617
qwen2_5_vl_7b,all,amp_mean,REAL,4,1006,1006,0,0.4684247761282394,0.42292397330819387,0.47600398054884085,0.5095824154072345
qwen2_5_vl_7b,all,amp_mean,REAL,5,1006,1006,0,0.6399318743874775,0.5732051906473025,0.6347377492913285,0.7046484022706985
qwen2_5_vl_7b,all,amp_mean,REAL,6,1006,1006,0,0.6422304640265902,0.5779896681252416,0.6331069250102268,0.6961867019617317
qwen2_5_vl_7b,all,amp_mean,REAL,7,1006,1006,0,0.7182453693415143,0.6660209949371867,0.6925254167746671,0.75140886080153
qwen2_5_vl_7b,all,amp_mean,REAL,8,1006,1006,0,0.8134281408033907,0.7529108239377617,0.7973249318479038,0.8520513653122309
qwen2_5_vl_7b,all,amp_mean,REAL,9,1006,1006,0,0.7262120998428763,0.6686059977934904,0.7052722030789038,0.7729940877800847
qwen2_5_vl_7b,all,amp_mean,REAL,10,1006,1006,0,0.8894423411221108,0.8265807139585282,0.8749988324241473,0.938160228316451
qwen2_5_vl_7b,all,amp_mean,REAL,11,1006,1006,0,0.6608856600105498,0.6310579194034626,0.6556601670011014,0.6828344382221859
qwen2_5_vl_7b,all,amp_mean,REAL,12,1006,1006,0,0.6708724477631423,0.6331005739267308,0.6650010315649695,0.702972276335142
qwen2_5_vl_7b,all,amp_mean,REAL,13,1006,1006,0,0.6908700060333149,0.6536208713296231,0.6790774503112853,0.711179448334466
qwen2_5_vl_7b,all,amp_mean,REAL,14,1006,1006,0,0.6760608870527779,0.644159276628259,0.6685979487122329,0.7019441639573522
qwen2_5_vl_7b,all,amp_mean,REAL,15,1006,1006,0,0.6209602366399947,0.5917274755855803,0.6124083659855214,0.6434143219593156
qwen2_5_vl_7b,all,amp_mean,REAL,16,1006,1006,0,0.6129479786604859,0.5810120978778246,0.6064208413168688,0.6309512900990738
qwen2_5_vl_7b,all,amp_mean,REAL,17,1006,1006,0,0.6011752103714839,0.5668260364224994,0.5983476693290841,0.6275865044982144
qwen2_5_vl_7b,all,amp_mean,REAL,18,1006,1006,0,0.5726305879648972,0.5412709174345358,0.5663422495390784,0.5929656986151035
qwen2_5_vl_7b,all,amp_mean,REAL,19,1006,1006,0,0.5877096192500412,0.5549981740382074,0.5761628506482139,0.6071127710963227
qwen2_5_vl_7b,all,amp_mean,REAL,20,1006,1006,0,0.5210730043723676,0.49518089910595264,0.5160372552155482,0.5415891683894304
qwen2_5_vl_7b,all,amp_mean,REAL,21,1006,1006,0,0.569039081554527,0.5374594550482961,0.5660280594379181,0.5919168338348204
