model,scope,metric,label,layer,n_total,n_valid,n_undefined,mean,q25,median,q75
internvl_2_5_8b,all,amp_mean,REAL,1,9993,9993,0,1.8659931920071164,1.6858558647902715,1.891536353812197,2.021081487299412
internvl_2_5_8b,all,amp_mean,REAL,2,9993,9993,0,0.7028883555452797,0.6423034540981892,0.7070712545425301,0.7571593497226454
internvl_2_5_8b,all,amp_mean,REAL,3,9993,9993,0,0.8229966223520022,0.7608653576308166,0.8144302663387035,0.8725254729123416
internvl_2_5_8b,all,amp_mean,REAL,4,9993,9993,0,0.8207993700493373,0.752591876465885,0.8256949014015611,0.879064456176538
internvl_2_5_8b,all,amp_mean,REAL,5,9993,9993,0,0.8495781844226349,0.7954469391750134,0.8442746191461015,0.9060316382064642
internvl_2_5_8b,all,amp_mean,REAL,6,9993,9993,0,0.8540893487662249,0.8009856583920625,0.844048687730649,0.8966094678908609
internvl_2_5_8b,all,amp_mean,REAL,7,9993,9993,0,0.6970818599952154,0.6686942009300721,0.6977754808805929,0.7255797914943927
internvl_2_5_8b,all,amp_mean,REAL,8,9993,9993,0,0.7545840494609264,0.7233722867271676,0.752887537613959,0.7817564111729366
internvl_2_5_8b,all,amp_mean,REAL,9,9993,9993,0,0.6730820722675573,0.6461702463959373,0.6724404836026197,0.6986054473636527
internvl_2_5_8b,all,amp_mean,REAL,10,9993,9993,0,0.6018589071466788,0.5755156408300167,0.6005370943748403,0.6264682696036827
internvl_2_5_8b,all,amp_mean,REAL,11,9993,9993,0,0.5889967512603933,0.5615814315598365,0.5875401025761331,0.6146189478260845
internvl_2_5_8b,all,amp_mean,REAL,12,9993,9993,0,0.5804249525243891,0.5508371614518373,0.5806663687219696,0.6082824913190656
internvl_2_5_8b,all,amp_mean,REAL,13,9993,9993,0,0.5868432239845551,0.5607144786195185,0.5860341617283805,0.6115407060622777
internvl_2_5_8b,all,amp_mean,REAL,14,9993,9993,0,0.5409570057835289,0.5156804340019823,0.5421135899520859,0.5636484798212711
internvl_2_5_8b,all,amp_mean,REAL,15,9993,9993,0,0.524964544881578,0.49882021435149626,0.5252478064096715,0.5501626606826919
internvl_2_5_8b,all,amp_mean,REAL,16,9993,9993,0,0.4747872660953807,0.45649684194356377,0.47394865710477685,0.492690993584518
internvl_2_5_8b,all,amp_mean,REAL,17,9993,9993,0,0.4919860883589059,0.4740542415986635,0.49161237548394127,0.5078122012041969
