model,scope,metric,layer,n_mixed_images,n_valid,mean_hall_minus_real,median_hall_minus_real,fraction_hall_gt_real
internvl_2_5_8b,all,amp_mean,1,1265,1265,-0.126722786604375,-0.1309883622508201,0.34466403162055337
internvl_2_5_8b,all,amp_mean,2,1265,1265,0.010562834737315641,0.014186647239203376,0.5604743083003952
internvl_2_5_8b,all,amp_mean,3,1265,1265,-0.00017034844990732558,-0.0025095470845970524,0.4901185770750988
internvl_2_5_8b,all,amp_mean,4,1265,1265,-0.005565453235122463,-0.00633069340553738,0.47193675889328063
internvl_2_5_8b,all,amp_mean,5,1265,1265,-0.010244883891695528,-0.010650497517980861,0.44664031620553357
internvl_2_5_8b,all,amp_mean,6,1265,1265,0.0019905783819502447,0.0019044209634646592,0.5106719367588933
internvl_2_5_8b,all,amp_mean,7,1265,1265,-0.0042963067930614,-0.0020903650268772056,0.48379446640316204
internvl_2_5_8b,all,amp_mean,8,1265,1265,0.006075217491917899,0.005831590530241404,0.5407114624505929
internvl_2_5_8b,all,amp_mean,9,1265,1265,-0.01076964018210124,-0.012963491191133492,0.3952569169960474
internvl_2_5_8b,all,amp_mean,10,1265,1265,-0.005358489556237454,-0.007509703860820505,0.4276679841897233
internvl_2_5_8b,all,amp_mean,11,1265,1265,-0.014062186302977902,-0.016232242455335943,0.35810276679841896
internvl_2_5_8b,all,amp_mean,12,1265,1265,-0.006623038664143751,-0.008125243299708873,0.42292490118577075
internvl_2_5_8b,all,amp_mean,13,1265,1265,-0.006235479056136859,-0.007199773941194643,0.425296442687747
internvl_2_5_8b,all,amp_mean,14,1265,1265,0.001395319349395632,0.00016605354922194504,0.5011857707509881
internvl_2_5_8b,all,amp_mean,15,1265,1265,0.000303486480564719,-0.0001124948638442369,0.4972332015810277
internvl_2_5_8b,all,amp_mean,16,1265,1265,0.014154183992333964,0.010500931618654785,0.6197628458498023
internvl_2_5_8b,all,amp_mean,17,1265,1265,0.010595466850570754,0.008009195205555375,0.5936758893280633
internvl_2_5_8b,all,amp_mean,18,1265,1265,0.008139025594388631,0.0058125617549334985,0.5683794466403163
internvl_2_5_8b,all,amp_mean,19,1265,1265,0.012307529834246272,0.010143763751030321,0.6150197628458498
internvl_2_5_8b,all,amp_mean,20,1265,1265,0.019125422113356726,0.01859416334545505,0.6790513833992095
internvl_2_5_8b,all,amp_mean,21,1265,1265,0.016816151050064888,0.015950019282588324,0.6964426877470355
internvl_2_5_8b,all,amp_mean,22,1265,1265,0.015322929299098165,0.014783356967283834,0.6671936758893281
internvl_2_5_8b,all,amp_mean,23,1265,1265,0.026014259989401392,0.024149824864677316,0.758893280632411
internvl_2_5_8b,all,amp_mean,24,1265,1265,0.016732880753921205,0.015342730711225328,0.6790513833992095
internvl_2_5_8b,all,amp_mean,25,1265,1265,0.009192935643737417,0.009188255909194476,0.6023715415019762
internvl_2_5_8b,all,amp_mean,26,1265,1265,0.011404213987264687,0.010919756262199654,0.6237154150197628
internvl_2_5_8b,all,amp_mean,27,1265,1265,0.006829417475564382,0.005818847596148952,0.5620553359683794
internvl_2_5_8b,all,amp_mean,28,1265,1265,0.0037707481684769793,0.003429622572058977,0.5486166007905139
internvl_2_5_8b,all,amp_mean,29,1265,1265,0.0052344287350021175,0.004162282210807444,0.5826086956521739
internvl_2_5_8b,all,amp_mean,30,1265,1265,0.0024246695692021576,0.002634480505436243,0.5501976284584981
internvl_2_5_8b,all,amp_mean,31,1265,1265,0.009403473375938396,0.007496123411747935,0.5936758893280633
internvl_2_5_8b,all,amp_mean,32,1265,1265,0.049445446328029635,0.04489031301322943,0.7296442687747036
internvl_2_5_8b,all,amp_median,1,1265,1265,-0.1310245294179402,-0.1348397961238854,0.3367588932806324
internvl_2_5_8b,all,amp_median,2,1265,1265,0.012781530861522013,0.017281151791232352,0.5644268774703557
internvl_2_5_8b,all,amp_median,3,1265,1265,-0.000699915715259882,-0.002290197939589289,0.491699604743083
internvl_2_5_8b,all,amp_median,4,1265,1265,-0.005894361336246415,-0.0048858176523557395,0.48142292490118577
internvl_2_5_8b,all,amp_median,5,1265,1265,-0.011742257927595442,-0.015034670238838865,0.43636363636363634
internvl_2_5_8b,all,amp_median,6,1265,1265,0.004555426710668042,0.006386133556483098,0.5241106719367589
internvl_2_5_8b,all,amp_median,7,1265,1265,-0.006557661840769204,-0.006127531470046965,0.46403162055335967
internvl_2_5_8b,all,amp_median,8,1265,1265,0.0065969193912615125,0.006226316060571446,0.5399209486166008
internvl_2_5_8b,all,amp_median,9,1265,1265,-0.011738251169250822,-0.013772654266071438,0.38814229249011856
internvl_2_5_8b,all,amp_median,10,1265,1265,-0.004106606487247741,-0.005792948731660474,0.43636363636363634
internvl_2_5_8b,all,amp_median,11,1265,1265,-0.013031725325101993,-0.01546083243630747,0.3683794466403162
internvl_2_5_8b,all,amp_median,12,1265,1265,-0.004936461456035951,-0.00615194428832222,0.4450592885375494
internvl_2_5_8b,all,amp_median,13,1265,1265,-0.0033734384051802672,-0.004547268346164701,0.45691699604743086
internvl_2_5_8b,all,amp_median,14,1265,1265,0.0020138019781102217,7.74398264410392e-05,0.5027667984189723
internvl_2_5_8b,all,amp_median,15,1265,1265,-0.0003815922506652838,-0.00028937498197811884,0.4972332015810277
internvl_2_5_8b,all,amp_median,16,1265,1265,0.013705602074303956,0.011347486729253342,0.6237154150197628
internvl_2_5_8b,all,amp_median,17,1265,1265,0.010193414915170602,0.00771519893987016,0.5968379446640316
internvl_2_5_8b,all,amp_median,18,1265,1265,0.009344857449138936,0.007531243002515564,0.5905138339920949
internvl_2_5_8b,all,amp_median,19,1265,1265,0.01401766634034445,0.011852911098404806,0.6387351778656126
internvl_2_5_8b,all,amp_median,20,1265,1265,0.019013034400609797,0.01838827972977053,0.6924901185770751
internvl_2_5_8b,all,amp_median,21,1265,1265,0.017539621817252594,0.01752773660176138,0.6964426877470355
internvl_2_5_8b,all,amp_median,22,1265,1265,0.0155773039437481,0.014410474664384831,0.6687747035573123
internvl_2_5_8b,all,amp_median,23,1265,1265,0.02296684575519254,0.021387876840709807,0.7604743083003953
internvl_2_5_8b,all,amp_median,24,1265,1265,0.015484426314266423,0.013949419174894784,0.6822134387351778
internvl_2_5_8b,all,amp_median,25,1265,1265,0.012187351965369617,0.010573519726359781,0.6379446640316205
internvl_2_5_8b,all,amp_median,26,1265,1265,0.010057607551469,0.009706910456010187,0.6158102766798419
internvl_2_5_8b,all,amp_median,27,1265,1265,0.007854655632683366,0.006831716107706665,0.583399209486166
internvl_2_5_8b,all,amp_median,28,1265,1265,0.004315925265956811,0.0037237760065578773,0.5533596837944664
internvl_2_5_8b,all,amp_median,29,1265,1265,0.00516319454741328,0.004333660332680456,0.5873517786561265
internvl_2_5_8b,all,amp_median,30,1265,1265,0.00198668759532381,0.0019763965848059173,0.5383399209486166
internvl_2_5_8b,all,amp_median,31,1265,1265,0.010394009195770028,0.008228979851026386,0.6189723320158103
internvl_2_5_8b,all,amp_median,32,1265,1265,0.04761725786280331,0.04254470439305136,0.7011857707509881
internvl_2_5_8b,all,amp_fraction_gt1,1,1265,1265,-0.003517051336344814,0.0,0.216600790513834
internvl_2_5_8b,all,amp_fraction_gt1,2,1265,1265,-0.0013779830525754435,0.0,0.30513833992094863
internvl_2_5_8b,all,amp_fraction_gt1,3,1265,1265,-0.0019710987985444503,-0.0078125,0.40948616600790516
internvl_2_5_8b,all,amp_fraction_gt1,4,1265,1265,-0.009495008312943096,-0.017578125,0.3984189723320158
internvl_2_5_8b,all,amp_fraction_gt1,5,1265,1265,-0.011267057218144175,-0.017578125,0.3865612648221344
internvl_2_5_8b,all,amp_fraction_gt1,6,1265,1265,0.009337237622733545,0.0,0.4798418972332016
internvl_2_5_8b,all,amp_fraction_gt1,7,1265,1265,0.0005675152142543447,0.0,0.25375494071146243
internvl_2_5_8b,all,amp_fraction_gt1,8,1265,1265,0.004824494459345003,0.0,0.3841897233201581
internvl_2_5_8b,all,amp_fraction_gt1,9,1265,1265,3.153624756885631e-05,0.0,0.13280632411067195
internvl_2_5_8b,all,amp_fraction_gt1,10,1265,1265,-1.4171460333145113e-05,0.0,0.016600790513833993
internvl_2_5_8b,all,amp_fraction_gt1,11,1265,1265,0.0001573748941276115,0.0,0.010276679841897233
internvl_2_5_8b,all,amp_fraction_gt1,12,1265,1265,0.0004115053877282138,0.0,0.0071146245059288534
internvl_2_5_8b,all,amp_fraction_gt1,13,1265,1265,0.00012565729107848675,0.0,0.011067193675889328
internvl_2_5_8b,all,amp_fraction_gt1,14,1265,1265,0.00024188899868247694,0.0,0.006324110671936759
internvl_2_5_8b,all,amp_fraction_gt1,15,1265,1265,0.00015079463109354414,0.0,0.003952569169960474
internvl_2_5_8b,all,amp_fraction_gt1,16,1265,1265,3.381299407114624e-05,0.0,0.007905138339920948
internvl_2_5_8b,all,amp_fraction_gt1,17,1265,1265,4.245923913043478e-05,0.0,0.0047430830039525695
internvl_2_5_8b,all,amp_fraction_gt1,18,1265,1265,0.00014281744071146244,0.0,0.007905138339920948
internvl_2_5_8b,all,amp_fraction_gt1,19,1265,1265,2.5218214756258232e-05,0.0,0.0071146245059288534
internvl_2_5_8b,all,amp_fraction_gt1,20,1265,1265,0.0008103796113306983,0.0,0.09249011857707509
internvl_2_5_8b,all,amp_fraction_gt1,21,1265,1265,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,22,1265,1265,5.838421089779786e-05,0.0,0.008695652173913044
internvl_2_5_8b,all,amp_fraction_gt1,23,1265,1265,6.690546772068511e-06,0.0,0.0015810276679841897
internvl_2_5_8b,all,amp_fraction_gt1,24,1265,1265,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,25,1265,1265,-0.00018715150338791643,0.0,0.0015810276679841897
internvl_2_5_8b,all,amp_fraction_gt1,26,1265,1265,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,27,1265,1265,-2.32331074722379e-06,0.0,0.0023715415019762848
internvl_2_5_8b,all,amp_fraction_gt1,28,1265,1265,0.0,0.0,0.0
internvl_2_5_8b,all,amp_fraction_gt1,29,1265,1265,3.0879446640316205e-06,0.0,0.0015810276679841897
internvl_2_5_8b,all,amp_fraction_gt1,30,1265,1265,9.100614059853191e-05,0.0,0.020553359683794466
internvl_2_5_8b,all,amp_fraction_gt1,31,1265,1265,7.034632034632036e-05,0.0,0.011857707509881422
internvl_2_5_8b,all,amp_fraction_gt1,32,1265,1265,0.041676273605621435,0.03385416666666667,0.7241106719367589
internvl_2_5_8b,all,gross_gain,1,1265,1265,-0.1269154387357111,-0.13714656780254475,0.3264822134387352
internvl_2_5_8b,all,gross_gain,2,1265,1265,-0.005350549522690408,-0.002038922543592281,0.49486166007905136
