model,scope,metric,label,layer,n_total,n_valid,n_undefined,mean,q25,median,q75
llava_1_5_7b,all,amp_mean,REAL,1,11976,11976,0,1.461467373041183,1.0458287709374121,1.3362461878282286,1.967557770713059
llava_1_5_7b,all,amp_mean,REAL,2,11976,11976,0,0.8101833484712363,0.6784638071630396,0.7763920934181658,0.8934778327277197
llava_1_5_7b,all,amp_mean,REAL,3,11976,11976,0,0.5530910541701853,0.5044240015806513,0.5459606301254296,0.5840961201071737
llava_1_5_7b,all,amp_mean,REAL,4,11976,11976,0,0.7405157878905049,0.7003902786755093,0.733863429215277,0.773334278681341
llava_1_5_7b,all,amp_mean,REAL,5,11976,11976,0,0.7404000287907314,0.704704406948482,0.7422417533126742,0.7768606903874521
llava_1_5_7b,all,amp_mean,REAL,6,11976,11976,0,0.7275536507488191,0.6848636377313371,0.7349452791667518,0.7721500005995469
llava_1_5_7b,all,amp_mean,REAL,7,11976,11976,0,0.6975493244308266,0.6603714074472067,0.6999472904985716,0.7343257017330106
llava_1_5_7b,all,amp_mean,REAL,8,11976,11976,0,0.7027324252592582,0.6723335546484906,0.7012394507988005,0.7338118298346693
llava_1_5_7b,all,amp_mean,REAL,9,11976,11976,0,0.6188566197382873,0.5988090859593316,0.6193616031322293,0.6389833952243973
llava_1_5_7b,all,amp_mean,REAL,10,11976,11976,0,0.615779173663844,0.5893973680914555,0.6157012896387823,0.6419518350225863
llava_1_5_7b,all,amp_mean,REAL,11,11976,11976,0,0.6165937431561084,0.5981168936555382,0.6178669518942788,0.6366857222211586
llava_1_5_7b,all,amp_mean,REAL,12,11976,11976,0,0.5728663215195694,0.5538129759393782,0.5738652406940594,0.5927014846985574
llava_1_5_7b,all,amp_mean,REAL,13,11976,11976,0,0.5482656113996911,0.5228911831740473,0.5486890057433595,0.5737219766245478
llava_1_5_7b,all,amp_mean,REAL,14,11976,11976,0,0.5128841087823768,0.49322219529308875,0.5164433731692873,0.5344684818688987
llava_1_5_7b,all,amp_mean,REAL,15,11976,11976,0,0.47937039251988184,0.4629865236309298,0.4794778346102211,0.49591392236659754
llava_1_5_7b,all,amp_mean,REAL,16,11976,11976,0,0.4580263220731843,0.4392712093441002,0.4572850279190476,0.4756667200192862
llava_1_5_7b,all,amp_mean,REAL,17,11976,11976,0,0.45541783455712365,0.43552144352432653,0.45297250278434215,0.47318975684706305
llava_1_5_7b,all,amp_mean,REAL,18,11976,11976,0,0.4008594171814516,0.38381976917906135,0.39858878689637517,0.41528725121471527
llava_1_5_7b,all,amp_mean,REAL,19,11976,11976,0,0.43286268112414983,0.4148047064614534,0.4309757105757123,0.4486040553854311
llava_1_5_7b,all,amp_mean,REAL,20,11976,11976,0,0.3515832958664046,0.33399819752283155,0.34782117427042847,0.3657157663300053
llava_1_5_7b,all,amp_mean,REAL,21,11976,11976,0,0.3660688918669288,0.34448303914094425,0.36240454483747253,0.38517546209890685
llava_1_5_7b,all,amp_mean,REAL,22,11976,11976,0,0.2961225654303583,0.27775760755586537,0.2920461116941562,0.31227103419245605
llava_1_5_7b,all,amp_mean,REAL,23,11976,11976,0,0.25909979972658875,0.24463837044085535,0.25712927498477234,0.2724852114435766
llava_1_5_7b,all,amp_mean,REAL,24,11976,11976,0,0.2588527482473478,0.24162077086276834,0.2572520657320342,0.27396863009160033
llava_1_5_7b,all,amp_mean,REAL,25,11976,11976,0,0.2388483869155356,0.22363666375160568,0.23758226743920108,0.25195053636967807
llava_1_5_7b,all,amp_mean,REAL,26,11976,11976,0,0.26567986761354867,0.24870119985222844,0.2630870761295868,0.27940935500998954
llava_1_5_7b,all,amp_mean,REAL,27,11976,11976,0,0.23980647025678822,0.22634922806401625,0.23807278869468596,0.250964863897597
llava_1_5_7b,all,amp_mean,REAL,28,11976,11976,0,0.24127452683942435,0.227120299444189,0.24015126169824505,0.25346923249323056
llava_1_5_7b,all,amp_mean,REAL,29,11976,11976,0,0.24266719320121596,0.22572581489719404,0.24033386948881694,0.25682277758253547
llava_1_5_7b,all,amp_mean,REAL,30,11976,11976,0,0.23005922944014656,0.2172499434451063,0.22850039516907555,0.24051471386118986
llava_1_5_7b,all,amp_mean,REAL,31,11976,11976,0,0.36544509642102135,0.34598016204281057,0.3616086528341712,0.380994966265657
llava_1_5_7b,all,amp_mean,REAL,32,11976,11976,0,1.539639987697499,1.4226210515822528,1.5345320851726658,1.6519146746876456
llava_1_5_7b,all,amp_mean,HALL,1,3487,3487,0,1.3850719151933388,1.0369580760122021,1.4181479437980498,1.60757755196672
llava_1_5_7b,all,amp_mean,HALL,2,3487,3487,0,0.8652446868840725,0.7302595504451836,0.8201666886120028,0.972642038990023
llava_1_5_7b,all,amp_mean,HALL,3,3487,3487,0,0.5567558254836867,0.5236871633175012,0.5545549667626462,0.5826389260747378
llava_1_5_7b,all,amp_mean,HALL,4,3487,3487,0,0.7289975754423211,0.6867818483981746,0.725647915600175,0.764174127220795
llava_1_5_7b,all,amp_mean,HALL,5,3487,3487,0,0.7226375108310832,0.6943388919899649,0.7260032874762032,0.7515388230727318
llava_1_5_7b,all,amp_mean,HALL,6,3487,3487,0,0.7102061218581973,0.6757726303390321,0.7132596032479717,0.7489703410046371
llava_1_5_7b,all,amp_mean,HALL,7,3487,3487,0,0.6689414097579688,0.6367637523809285,0.6640260928926307,0.7000476738649186
llava_1_5_7b,all,amp_mean,HALL,8,3487,3487,0,0.7137791000993324,0.6804256000452851,0.7171796789286308,0.7496843339421582
llava_1_5_7b,all,amp_mean,HALL,9,3487,3487,0,0.6214328716498232,0.6025256341705195,0.6215655294309053,0.6402763371749309
llava_1_5_7b,all,amp_mean,HALL,10,3487,3487,0,0.6204918125236802,0.6005151241596093,0.6217971906774542,0.6431114482764397
llava_1_5_7b,all,amp_mean,HALL,11,3487,3487,0,0.6218198111271029,0.6054900083797505,0.6234269126690218,0.6409536488044758
llava_1_5_7b,all,amp_mean,HALL,12,3487,3487,0,0.580685996352961,0.5600605039279913,0.5828889315445969,0.6043941565264719
llava_1_5_7b,all,amp_mean,HALL,13,3487,3487,0,0.5704457013819008,0.5496796333802885,0.574440081390834,0.5962277795733173
llava_1_5_7b,all,amp_mean,HALL,14,3487,3487,0,0.5170279046991749,0.49967039641108785,0.518796547606878,0.5365857490416619
llava_1_5_7b,all,amp_mean,HALL,15,3487,3487,0,0.47699398683346744,0.4608718266893899,0.47623680416229763,0.493101207267186
llava_1_5_7b,all,amp_mean,HALL,16,3487,3487,0,0.4659445686122943,0.45056412536675206,0.46619625595333186,0.48166440462179855
llava_1_5_7b,all,amp_mean,HALL,17,3487,3487,0,0.44876734993562506,0.43178162399474285,0.4444221790696236,0.4618164086672444
llava_1_5_7b,all,amp_mean,HALL,18,3487,3487,0,0.3993065595754227,0.3836264481634708,0.39687999862278966,0.411758619197394
llava_1_5_7b,all,amp_mean,HALL,19,3487,3487,0,0.4273672815225914,0.41159326484074665,0.4249286609509528,0.4409620408943493
