model,scope,metric,layer,n_mixed_images,n_valid,mean_hall_minus_real,median_hall_minus_real,fraction_hall_gt_real
qwen3_vl_8b,all,amp_mean,1,1731,1731,-0.1773210288961616,-0.1755554429673154,0.43443096476025417
qwen3_vl_8b,all,amp_mean,2,1731,1731,-0.0023640276003063115,-0.02964423909069408,0.4240323512420566
qwen3_vl_8b,all,amp_mean,3,1731,1731,-0.012405201658745897,-0.019185138608087293,0.37954939341421146
qwen3_vl_8b,all,amp_mean,4,1731,1731,-0.006367401115367992,-0.005345564184675022,0.4702484113229347
qwen3_vl_8b,all,amp_mean,5,1731,1731,-0.021752512265595658,-0.028502503646911204,0.3853264009243212
qwen3_vl_8b,all,amp_mean,6,1731,1731,-0.0008890465407105506,0.0005085435491208878,0.5054881571346043
qwen3_vl_8b,all,amp_mean,7,1731,1731,-0.005173171275850019,-0.007450964990432296,0.464471403812825
qwen3_vl_8b,all,amp_mean,8,1731,1731,-0.010739975169383315,-0.012160688032608502,0.42749855574812246
qwen3_vl_8b,all,amp_mean,9,1731,1731,0.002400777015184194,0.001270586021806741,0.512998266897747
qwen3_vl_8b,all,amp_mean,10,1731,1731,-0.015602258641965868,-0.01634108814543167,0.41074523396880414
qwen3_vl_8b,all,amp_mean,11,1731,1731,-0.018826473650074133,-0.01817499155668989,0.3934142114384749
qwen3_vl_8b,all,amp_mean,12,1731,1731,-0.011223969686922948,-0.011213829871151715,0.41594454072790293
qwen3_vl_8b,all,amp_mean,13,1731,1731,-0.02313459913065076,-0.02243053008699092,0.316580011554015
qwen3_vl_8b,all,amp_mean,14,1731,1731,-0.013312917575536279,-0.013142586132868672,0.34257654534950893
qwen3_vl_8b,all,amp_mean,15,1731,1731,-0.013612361274014688,-0.013947988737705974,0.35990756787983824
qwen3_vl_8b,all,amp_mean,16,1731,1731,-0.016454932924277455,-0.017805675342669636,0.30213749277874064
qwen3_vl_8b,all,amp_mean,17,1731,1731,-0.006257800166620479,-0.006950406230436079,0.42865395725014444
