layer,label,n,mean,median
1,0,220,0.1299261450767517,0.12742064893245697
2,0,220,0.19803467392921448,0.19612792134284973
3,0,220,0.2141825556755066,0.20901039242744446
4,0,220,0.1715511679649353,0.16635343432426453
5,0,220,0.1509076952934265,0.14956772327423096
6,0,220,0.1622917801141739,0.1598098874092102
7,0,220,0.15191468596458435,0.1449648141860962
8,0,220,0.1785764843225479,0.1731773465871811
9,0,220,0.14279350638389587,0.14089301228523254
10,0,220,0.21567001938819885,0.2116091102361679
11,0,220,0.19828936457633972,0.193115234375
12,0,220,0.21865175664424896,0.21573896706104279
13,0,220,0.27899229526519775,0.28304439783096313
14,0,220,0.22846052050590515,0.22494423389434814
15,0,220,0.252972275018692,0.25265172123908997
16,0,220,0.3018687069416046,0.30012303590774536
17,0,220,0.28561967611312866,0.28755444288253784
18,0,220,0.289835661649704,0.289429247379303
19,0,220,0.2775132656097412,0.2766979932785034
20,0,220,0.3173876106739044,0.3230789303779602
21,0,220,0.28308936953544617,0.2778385281562805
22,0,220,0.29215574264526367,0.2915028929710388
23,0,220,0.29083603620529175,0.28360265493392944
24,0,220,0.2842760682106018,0.28117796778678894
25,0,220,0.3364616632461548,0.3427508473396301
26,0,220,0.32866159081459045,0.3319905996322632
27,0,220,0.29704397916793823,0.2953500747680664
28,0,220,0.2658373713493347,0.2743631899356842
29,0,220,0.3342357873916626,0.3370298743247986
30,0,220,0.3164660334587097,0.3226436972618103
31,0,220,0.29415571689605713,0.2947559058666229
32,0,220,0.2394518107175827,0.2392057478427887
1,1,1278,0.13505463302135468,0.12786895036697388
2,1,1278,0.20174314081668854,0.19842705130577087
3,1,1278,0.21808657050132751,0.21464237570762634
4,1,1278,0.18045897781848907,0.17797410488128662
5,1,1278,0.16586345434188843,0.1630222350358963
6,1,1278,0.17218203842639923,0.17050053179264069
7,1,1278,0.1678762137889862,0.1609039008617401
8,1,1278,0.18284162878990173,0.17481601238250732
9,1,1278,0.15649639070034027,0.15329405665397644
10,1,1278,0.20653998851776123,0.2028093934059143
11,1,1278,0.19244255125522614,0.18853989243507385
12,1,1278,0.21071024239063263,0.2097558081150055
13,1,1278,0.24814532697200775,0.2494661509990692
14,1,1278,0.23259074985980988,0.23043793439865112
15,1,1278,0.23515169322490692,0.23444029688835144
16,1,1278,0.25688719749450684,0.25316521525382996
17,1,1278,0.26308220624923706,0.26333916187286377
18,1,1278,0.2889346480369568,0.28896069526672363
19,1,1278,0.26188328862190247,0.25950413942337036
20,1,1278,0.28692570328712463,0.28347545862197876
21,1,1278,0.2716033458709717,0.270293653011322
22,1,1278,0.27877742052078247,0.273724764585495
23,1,1278,0.2927234172821045,0.2909736633300781
24,1,1278,0.2783723473548889,0.27277785539627075
25,1,1278,0.3169262409210205,0.3167005181312561
26,1,1278,0.33089926838874817,0.3312283754348755
27,1,1278,0.2884906232357025,0.28647127747535706
28,1,1278,0.2659268379211426,0.26031169295310974
29,1,1278,0.3363983929157257,0.3387848734855652
30,1,1278,0.3015786111354828,0.3007250726222992
31,1,1278,0.2962571978569031,0.2987271547317505
32,1,1278,0.25650009512901306,0.2568493187427521
