layer,label,n,mean,median
1,0,450,0.053855106234550476,0.053825944662094116
2,0,450,0.06988437473773956,0.06606478989124298
3,0,450,0.3754763603210449,0.39367085695266724
4,0,450,0.40786391496658325,0.4413881301879883
5,0,450,0.38831523060798645,0.409980833530426
6,0,450,0.3569258749485016,0.37032705545425415
7,0,450,0.35820040106773376,0.3685610890388489
8,0,450,0.30381685495376587,0.318033903837204
9,0,450,0.2727617621421814,0.2804722785949707
10,0,450,0.2743890583515167,0.28278595209121704
11,0,450,0.26110348105430603,0.26610058546066284
12,0,450,0.2544183135032654,0.24958796799182892
13,0,450,0.30792391300201416,0.3133617639541626
14,0,450,0.26354584097862244,0.2598528265953064
15,0,450,0.3147389590740204,0.3123774826526642
16,0,450,0.275827556848526,0.2738150358200073
17,0,450,0.2601710557937622,0.25972282886505127
18,0,450,0.3077576756477356,0.3052152693271637
19,0,450,0.3367622196674347,0.33128875494003296
20,0,450,0.3300974667072296,0.3273007571697235
21,0,450,0.3026071786880493,0.30116236209869385
22,0,450,0.3468794822692871,0.3457179069519043
23,0,450,0.3866598904132843,0.3877267837524414
24,0,450,0.3389282822608948,0.3387547433376312
25,0,450,0.3349427580833435,0.3334784507751465
26,0,450,0.2963911294937134,0.29711616039276123
27,0,450,0.26035749912261963,0.25996407866477966
28,0,450,0.2641422748565674,0.2659996747970581
29,0,450,0.27097412943840027,0.26763802766799927
30,0,450,0.23462161421775818,0.23050114512443542
31,0,450,0.21735939383506775,0.2155141532421112
32,0,450,0.16158942878246307,0.15769758820533752
1,1,1503,0.06067568063735962,0.059716809540987015
2,1,1503,0.06997815519571304,0.06474505364894867
3,1,1503,0.38221612572669983,0.4190923869609833
4,1,1503,0.3880663216114044,0.42420294880867004
5,1,1503,0.37158817052841187,0.3977312445640564
6,1,1503,0.3368036448955536,0.35190844535827637
7,1,1503,0.3294042646884918,0.3310929834842682
8,1,1503,0.2917274236679077,0.2975461184978485
9,1,1503,0.274532675743103,0.28218358755111694
10,1,1503,0.27719953656196594,0.2817736268043518
11,1,1503,0.26747629046440125,0.26894423365592957
12,1,1503,0.28098589181900024,0.2825905680656433
13,1,1503,0.32254403829574585,0.32573309540748596
14,1,1503,0.2823854982852936,0.28497788310050964
15,1,1503,0.33080512285232544,0.3249157965183258
16,1,1503,0.29860594868659973,0.2955764830112457
17,1,1503,0.29207873344421387,0.29259607195854187
18,1,1503,0.3158154785633087,0.3145192861557007
19,1,1503,0.3536323308944702,0.3517007827758789
20,1,1503,0.34791845083236694,0.3431454598903656
21,1,1503,0.31125298142433167,0.308154821395874
22,1,1503,0.3463342785835266,0.3415815830230713
23,1,1503,0.3745283782482147,0.37201163172721863
24,1,1503,0.3336515426635742,0.3320273756980896
25,1,1503,0.32985571026802063,0.32611119747161865
26,1,1503,0.2885938286781311,0.2854030430316925
27,1,1503,0.2689787447452545,0.2634880542755127
28,1,1503,0.2743144631385803,0.2731444537639618
29,1,1503,0.2980433702468872,0.2950234115123749
30,1,1503,0.2566709816455841,0.25428101420402527
31,1,1503,0.23277050256729126,0.23182636499404907
32,1,1503,0.17304879426956177,0.17078635096549988
