label,layer,n,mean,median
0,1,450,0.6706229448318481,0.6730249524116516
0,2,450,0.5685954689979553,0.5719277858734131
0,3,450,0.6667066812515259,0.6784415245056152
0,4,450,0.6551242470741272,0.6678084135055542
0,5,450,0.6058509945869446,0.6181089282035828
0,6,450,0.5631904602050781,0.5686080455780029
0,7,450,0.6320204138755798,0.6512800455093384
0,8,450,0.5273817777633667,0.5391767621040344
0,9,450,0.5260061025619507,0.5292471647262573
0,10,450,0.469870001077652,0.47326400876045227
0,11,450,0.492685467004776,0.4971628487110138
0,12,450,0.5052146315574646,0.5143435001373291
0,13,450,0.6161183714866638,0.6405251622200012
0,14,450,0.5397947430610657,0.5470701456069946
0,15,450,0.5892605185508728,0.6334332823753357
0,16,450,0.5362046360969543,0.550134539604187
0,17,450,0.5855230093002319,0.5934953093528748
0,18,450,0.5935688018798828,0.6168347597122192
0,19,450,0.640786349773407,0.6610565185546875
0,20,450,0.5688351988792419,0.5792255401611328
0,21,450,0.6786746978759766,0.6911973357200623
0,22,450,0.5691578388214111,0.5849062204360962
0,23,450,0.6896788477897644,0.6910576820373535
0,24,450,0.5956330299377441,0.6147410273551941
0,25,450,0.6817623972892761,0.6914545297622681
0,26,450,0.6056269407272339,0.6291060447692871
0,27,450,0.5196134448051453,0.5290584564208984
0,28,450,0.6183556318283081,0.6217555999755859
0,29,450,0.6349894404411316,0.6380597352981567
0,30,450,0.6577311158180237,0.6698034405708313
0,31,450,0.5780305862426758,0.583204984664917
0,32,450,0.5681911706924438,0.5774922370910645
1,1,1503,0.6676118969917297,0.6705865263938904
1,2,1503,0.5742554068565369,0.582730770111084
1,3,1503,0.6530593037605286,0.673133373260498
1,4,1503,0.6385942101478577,0.6492959260940552
1,5,1503,0.597944438457489,0.6114136576652527
1,6,1503,0.549487292766571,0.5623824000358582
1,7,1503,0.5628901124000549,0.5839570164680481
1,8,1503,0.49515268206596375,0.4970276951789856
1,9,1503,0.50630122423172,0.5097590088844299
1,10,1503,0.42750197649002075,0.42460376024246216
1,11,1503,0.4426581859588623,0.442624568939209
1,12,1503,0.4553574323654175,0.45655396580696106
1,13,1503,0.5511718392372131,0.5838722586631775
1,14,1503,0.5320229530334473,0.5429213643074036
1,15,1503,0.5159233212471008,0.5151056051254272
1,16,1503,0.47555193305015564,0.47415855526924133
1,17,1503,0.5609532594680786,0.5807582139968872
1,18,1503,0.530890166759491,0.5409547090530396
1,19,1503,0.5698989629745483,0.6108933091163635
1,20,1503,0.5464890599250793,0.5540591478347778
1,21,1503,0.6605575680732727,0.6901233792304993
1,22,1503,0.5323176980018616,0.5490036606788635
1,23,1503,0.6863511204719543,0.6899758577346802
1,24,1503,0.6233884692192078,0.6442050933837891
1,25,1503,0.6736347675323486,0.6912065744400024
1,26,1503,0.5791541337966919,0.6045807600021362
1,27,1503,0.4946277141571045,0.5027912259101868
1,28,1503,0.623652994632721,0.6286686062812805
1,29,1503,0.6317689418792725,0.6423488259315491
1,30,1503,0.6431562304496765,0.6607735753059387
1,31,1503,0.5719778537750244,0.5779311060905457
1,32,1503,0.5340253114700317,0.5367787480354309
