model,label,layer,n_mentions,mean,q25,median,q75,raw_q_softmax_js_real_auroc
qwen3_vl_8b,HALL,1,2593,0.1274910420179367,0.09935133904218674,0.12386145442724228,0.15025292336940765,0.5271282398992024
qwen3_vl_8b,HALL,2,2593,0.16745033860206604,0.13256122171878815,0.1612139493227005,0.19789132475852966,0.6081333827857763
qwen3_vl_8b,HALL,3,2593,0.12050969153642654,0.09808769077062607,0.11474943161010742,0.13756063580513,0.6085223654012117
qwen3_vl_8b,HALL,4,2593,0.15520404279232025,0.12204566597938538,0.1446431577205658,0.17357800900936127,0.6100988190455133
qwen3_vl_8b,HALL,5,2593,0.15807822346687317,0.12986566126346588,0.15327388048171997,0.1825258880853653,0.6460636001964698
qwen3_vl_8b,HALL,6,2593,0.15661238133907318,0.1243712529540062,0.147578164935112,0.17766240239143372,0.6586839442447784
qwen3_vl_8b,HALL,7,2593,0.17334936559200287,0.1352401077747345,0.16597098112106323,0.20495498180389404,0.6878344791979408
qwen3_vl_8b,HALL,8,2593,0.17530526220798492,0.1453840434551239,0.17009486258029938,0.19873873889446259,0.6350442842229957
qwen3_vl_8b,HALL,9,2593,0.2120838165283203,0.1739739030599594,0.21088628470897675,0.24695833027362823,0.5322191511599131
qwen3_vl_8b,HALL,10,2593,0.23949217796325684,0.19164828956127167,0.2359522134065628,0.283237099647522,0.44193599091013014
qwen3_vl_8b,HALL,11,2593,0.2007572501897812,0.16265498101711273,0.19664324820041656,0.2341775745153427,0.49067303790837524
qwen3_vl_8b,HALL,12,2593,0.22115972638130188,0.1835418939590454,0.21857836842536926,0.2553718388080597,0.4900061208389915
qwen3_vl_8b,HALL,13,2593,0.1971585750579834,0.1622224897146225,0.19261899590492249,0.22872257232666016,0.5592022370426015
qwen3_vl_8b,HALL,14,2593,0.25812599062919617,0.2202642410993576,0.2590857744216919,0.2968440651893616,0.44937012515529784
qwen3_vl_8b,HALL,15,2593,0.27379217743873596,0.2350781112909317,0.27419090270996094,0.3142696022987366,0.49185017668465963
qwen3_vl_8b,HALL,16,2593,0.27017974853515625,0.2318236231803894,0.27277112007141113,0.3109220266342163,0.4491642495267263
qwen3_vl_8b,HALL,17,2593,0.2530458867549896,0.21725863218307495,0.2535639703273773,0.2888539433479309,0.46352427482661285
qwen3_vl_8b,HALL,18,2593,0.31418508291244507,0.27801045775413513,0.3191848397254944,0.3557665944099426,0.45120348759061923
qwen3_vl_8b,HALL,19,2593,0.2801719903945923,0.24209578335285187,0.2833806574344635,0.32231175899505615,0.42498852146407706
qwen3_vl_8b,HALL,20,2593,0.3213650584220886,0.28101709485054016,0.3243883550167084,0.3657814860343933,0.40820639946435594
qwen3_vl_8b,HALL,21,2593,0.31640002131462097,0.27340373396873474,0.3223119080066681,0.3696250021457672,0.4499999214874424
qwen3_vl_8b,HALL,22,2593,0.3247312903404236,0.2841387987136841,0.3390296399593353,0.3815012574195862,0.4658065092563165
qwen3_vl_8b,HALL,23,2593,0.3122791647911072,0.27731195092201233,0.313597708940506,0.34886014461517334,0.45535656635064836
qwen3_vl_8b,HALL,24,2593,0.26416483521461487,0.21334338188171387,0.2693980932235718,0.318755567073822,0.46838118726061523
qwen3_vl_8b,HALL,25,2593,0.2761077582836151,0.23431849479675293,0.2812020778656006,0.320609986782074,0.4215981922012534
qwen3_vl_8b,HALL,26,2593,0.32611221075057983,0.2946934998035431,0.3330051302909851,0.36829841136932373,0.4960566125788423
qwen3_vl_8b,HALL,27,2593,0.2721712589263916,0.231329545378685,0.2751578390598297,0.31496256589889526,0.4812589268778006
qwen3_vl_8b,HALL,28,2593,0.2954869270324707,0.25926947593688965,0.300067275762558,0.33545178174972534,0.4732725981124325
qwen3_vl_8b,HALL,29,2593,0.2846822440624237,0.23431651294231415,0.29224473237991333,0.33961862325668335,0.47163782534033627
qwen3_vl_8b,HALL,30,2593,0.2699112892150879,0.21680694818496704,0.2655954658985138,0.3149353861808777,0.5377049491803918
qwen3_vl_8b,HALL,31,2593,0.31271716952323914,0.27661824226379395,0.3169049620628357,0.35269835591316223,0.48504106520813367
qwen3_vl_8b,HALL,32,2593,0.2901700735092163,0.24103890359401703,0.29665470123291016,0.3409906029701233,0.4638595391501299
qwen3_vl_8b,HALL,33,2593,0.28828516602516174,0.23663005232810974,0.293578177690506,0.3417225480079651,0.5436690614043573
qwen3_vl_8b,HALL,34,2593,0.2761056423187256,0.226460799574852,0.2757912278175354,0.32431283593177795,0.5415453752334963
qwen3_vl_8b,HALL,35,2593,0.2830128073692322,0.2368668168783188,0.28052717447280884,0.32547727227211,0.4954744890716801
qwen3_vl_8b,HALL,36,2593,0.24395598471164703,0.16982729732990265,0.2105695605278015,0.27127981185913086,0.5916927904116696
qwen3_vl_8b,REAL,1,12280,0.1306665688753128,0.10382945835590363,0.12740498781204224,0.1541128009557724,0.5271282398992024
qwen3_vl_8b,REAL,2,12280,0.18536393344402313,0.14934664964675903,0.1820228099822998,0.21704387664794922,0.6081333827857763
qwen3_vl_8b,REAL,3,12280,0.1337253898382187,0.10708065330982208,0.12732699513435364,0.15343841910362244,0.6085223654012117
qwen3_vl_8b,REAL,4,12280,0.17295339703559875,0.13530473411083221,0.16119655966758728,0.194595068693161,0.6100988190455133
qwen3_vl_8b,REAL,5,12280,0.17999522387981415,0.14761397242546082,0.17516270279884338,0.2088252156972885,0.6460636001964698
qwen3_vl_8b,REAL,6,12280,0.18289218842983246,0.14477869868278503,0.17512360215187073,0.21350306272506714,0.6586839442447784
qwen3_vl_8b,REAL,7,12280,0.2095022052526474,0.16783158481121063,0.20521819591522217,0.2500682473182678,0.6878344791979408
qwen3_vl_8b,REAL,8,12280,0.19503363966941833,0.1637106090784073,0.19252736866474152,0.22293445467948914,0.6350442842229957
qwen3_vl_8b,REAL,9,12280,0.2166680097579956,0.18520040810108185,0.21765756607055664,0.24795404076576233,0.5322191511599131
qwen3_vl_8b,REAL,10,12280,0.22616809606552124,0.18516921997070312,0.22280395030975342,0.26516303420066833,0.44193599091013014
qwen3_vl_8b,REAL,11,12280,0.1976441591978073,0.16590763628482819,0.19542323052883148,0.22665196657180786,0.49067303790837524
qwen3_vl_8b,REAL,12,12280,0.21831609308719635,0.18270251154899597,0.21779674291610718,0.25256702303886414,0.4900061208389915
qwen3_vl_8b,REAL,13,12280,0.2052874118089676,0.17400050163269043,0.20589888095855713,0.2368144392967224,0.5592022370426015
qwen3_vl_8b,REAL,14,12280,0.24851718544960022,0.21485604345798492,0.2499116063117981,0.2819283604621887,0.44937012515529784
qwen3_vl_8b,REAL,15,12280,0.2719704806804657,0.23970961570739746,0.27453380823135376,0.30610498785972595,0.49185017668465963
qwen3_vl_8b,REAL,16,12280,0.2608449459075928,0.2250402867794037,0.26175302267074585,0.29811638593673706,0.4491642495267263
qwen3_vl_8b,REAL,17,12280,0.24651594460010529,0.21329523622989655,0.24697555601596832,0.2797163426876068,0.46352427482661285
qwen3_vl_8b,REAL,18,12280,0.3059506118297577,0.2728308141231537,0.3093996047973633,0.3430696129798889,0.45120348759061923
qwen3_vl_8b,REAL,19,12280,0.26630544662475586,0.2303909808397293,0.26698076725006104,0.3026992380619049,0.42498852146407706
qwen3_vl_8b,REAL,20,12280,0.30186861753463745,0.26144617795944214,0.30353108048439026,0.3443928360939026,0.40820639946435594
qwen3_vl_8b,REAL,21,12280,0.30775707960128784,0.27199968695640564,0.31058523058891296,0.34631985425949097,0.4499999214874424
qwen3_vl_8b,REAL,22,12280,0.3227071166038513,0.28591468930244446,0.3276672065258026,0.3662295341491699,0.4658065092563165
qwen3_vl_8b,REAL,23,12280,0.3042178750038147,0.2715649902820587,0.3056703805923462,0.3385569453239441,0.45535656635064836
qwen3_vl_8b,REAL,24,12280,0.25908273458480835,0.21867357194423676,0.25892704725265503,0.29828324913978577,0.46838118726061523
qwen3_vl_8b,REAL,25,12280,0.26167887449264526,0.22535789012908936,0.26129889488220215,0.29811280965805054,0.4215981922012534
qwen3_vl_8b,REAL,26,12280,0.3271061182022095,0.29771560430526733,0.33331412076950073,0.3635188341140747,0.4960566125788423
qwen3_vl_8b,REAL,27,12280,0.2697601914405823,0.2349255383014679,0.2708221673965454,0.3050958812236786,0.4812589268778006
qwen3_vl_8b,REAL,28,12280,0.2905432879924774,0.25599294900894165,0.29506152868270874,0.32823094725608826,0.4732725981124325
qwen3_vl_8b,REAL,29,12280,0.2802625894546509,0.23596544563770294,0.28225672245025635,0.3257562518119812,0.47163782534033627
qwen3_vl_8b,REAL,30,12280,0.28100329637527466,0.2238970696926117,0.2739541828632355,0.3300265669822693,0.5377049491803918
qwen3_vl_8b,REAL,31,12280,0.3103521168231964,0.2772085666656494,0.31407785415649414,0.3465481102466583,0.48504106520813367
qwen3_vl_8b,REAL,32,12280,0.28353071212768555,0.24011147022247314,0.28457513451576233,0.32736220955848694,0.4638595391501299
qwen3_vl_8b,REAL,33,12280,0.30081021785736084,0.25332120060920715,0.30328303575515747,0.34824079275131226,0.5436690614043573
qwen3_vl_8b,REAL,34,12280,0.28750407695770264,0.2396310567855835,0.2849780321121216,0.3293401896953583,0.5415453752334963
qwen3_vl_8b,REAL,35,12280,0.28199121356010437,0.2370961457490921,0.28029167652130127,0.3232341408729553,0.4954744890716801
qwen3_vl_8b,REAL,36,12280,0.2736658453941345,0.19157369434833527,0.2353127896785736,0.3101269602775574,0.5916927904116696
