model,label,layer,n_mentions,mean,q25,median,q75,raw_q_softmax_js_tau007_real_auroc
internvl_2_5_8b,HALL,1,1766,0.1365460604429245,0.10793595761060715,0.13146699965000153,0.15901680290699005,0.5096410352478898
internvl_2_5_8b,HALL,2,1766,0.2034396529197693,0.17673131823539734,0.20190522074699402,0.22898869216442108,0.502495518097096
internvl_2_5_8b,HALL,3,1766,0.21186599135398865,0.17807728052139282,0.2085544764995575,0.2425493448972702,0.5088838517653184
internvl_2_5_8b,HALL,4,1766,0.17189671099185944,0.1450805366039276,0.1677682250738144,0.19571548700332642,0.5569523524904579
internvl_2_5_8b,HALL,5,1766,0.14376366138458252,0.1193770244717598,0.13919484615325928,0.16266492009162903,0.5717545883477437
internvl_2_5_8b,HALL,6,1766,0.15752480924129486,0.12421894073486328,0.14481794834136963,0.17015612125396729,0.4909798127092136
internvl_2_5_8b,HALL,7,1766,0.1469193994998932,0.11129564046859741,0.1307356357574463,0.15439429879188538,0.5532338945302482
internvl_2_5_8b,HALL,8,1766,0.17124924063682556,0.11454136669635773,0.13776475191116333,0.18033020198345184,0.5162993200563157
internvl_2_5_8b,HALL,9,1766,0.1277969479560852,0.103549063205719,0.12053719162940979,0.1435340940952301,0.5326214193650165
internvl_2_5_8b,HALL,10,1766,0.2493971884250641,0.12634766101837158,0.18311089277267456,0.383833110332489,0.5258255807377735
internvl_2_5_8b,HALL,11,1766,0.1871059685945511,0.11655623465776443,0.14583982527256012,0.20884302258491516,0.5036059499860548
internvl_2_5_8b,HALL,12,1766,0.2358631044626236,0.12893211841583252,0.1828869879245758,0.34729763865470886,0.5285311552741505
internvl_2_5_8b,HALL,13,1766,0.32919636368751526,0.19867414236068726,0.3447745740413666,0.44430315494537354,0.5062241473901493
internvl_2_5_8b,HALL,14,1766,0.2150673270225525,0.14397463202476501,0.18155449628829956,0.2492329627275467,0.5195007683181171
internvl_2_5_8b,HALL,15,1766,0.2485283762216568,0.14717380702495575,0.20804084837436676,0.34681177139282227,0.4656167017931805
internvl_2_5_8b,HALL,16,1766,0.34124699234962463,0.22352024912834167,0.3647308945655823,0.4474337697029114,0.536950922270731
internvl_2_5_8b,HALL,17,1766,0.3174957036972046,0.19156891107559204,0.32862037420272827,0.42323166131973267,0.5282064659304548
internvl_2_5_8b,HALL,18,1766,0.2580168545246124,0.16821739077568054,0.2288879156112671,0.3434899151325226,0.5668708752978727
internvl_2_5_8b,HALL,19,1766,0.3203276991844177,0.19655713438987732,0.3369324803352356,0.42456018924713135,0.6174737945100641
internvl_2_5_8b,HALL,20,1766,0.36359500885009766,0.27297550439834595,0.37633538246154785,0.4592720866203308,0.565647935434759
internvl_2_5_8b,HALL,21,1766,0.27501359581947327,0.16487160325050354,0.2398773729801178,0.38056230545043945,0.5122856384520127
internvl_2_5_8b,HALL,22,1766,0.2612192928791046,0.1778184026479721,0.22643783688545227,0.3310474157333374,0.5405903044928732
internvl_2_5_8b,HALL,23,1766,0.22864481806755066,0.18122056126594543,0.2148071825504303,0.25532102584838867,0.5060522830307376
internvl_2_5_8b,HALL,24,1766,0.2251572608947754,0.1771390289068222,0.20761068165302277,0.24995753169059753,0.5357603946771801
internvl_2_5_8b,HALL,25,1766,0.3076987564563751,0.2083594799041748,0.28865039348602295,0.40003347396850586,0.5805173474206576
internvl_2_5_8b,HALL,26,1766,0.27234509587287903,0.19183838367462158,0.24380777776241302,0.3406715393066406,0.5862152487488694
internvl_2_5_8b,HALL,27,1766,0.2522747814655304,0.18451301753520966,0.22747884690761566,0.3002701699733734,0.5340443859965849
internvl_2_5_8b,HALL,28,1766,0.20806589722633362,0.16312894225120544,0.1961159110069275,0.2344263345003128,0.5188793820453479
internvl_2_5_8b,HALL,29,1766,0.28616517782211304,0.1917637139558792,0.2631891369819641,0.3745216429233551,0.6167702442672498
internvl_2_5_8b,HALL,30,1766,0.34423398971557617,0.22265228629112244,0.37267380952835083,0.4496029019355774,0.6128742554669356
internvl_2_5_8b,HALL,31,1766,0.2836947441101074,0.16644185781478882,0.25070643424987793,0.3947913646697998,0.5835674723155586
internvl_2_5_8b,HALL,32,1766,0.24522003531455994,0.11197006702423096,0.16639240086078644,0.38539355993270874,0.6132155759314646
internvl_2_5_8b,REAL,1,9993,0.13728971779346466,0.10980259627103806,0.13172084093093872,0.1601613610982895,0.5096410352478898
internvl_2_5_8b,REAL,2,9993,0.20421463251113892,0.17643871903419495,0.20139449834823608,0.2292124480009079,0.502495518097096
internvl_2_5_8b,REAL,3,9993,0.21350008249282837,0.1783449500799179,0.20933060348033905,0.2442963868379593,0.5088838517653184
internvl_2_5_8b,REAL,4,9993,0.17978043854236603,0.151495099067688,0.17672675848007202,0.20410731434822083,0.5569523524904579
internvl_2_5_8b,REAL,5,9993,0.15551738440990448,0.12670379877090454,0.14740820229053497,0.17178870737552643,0.5717545883477437
internvl_2_5_8b,REAL,6,9993,0.17234806716442108,0.11878236383199692,0.1425848752260208,0.17469973862171173,0.4909798127092136
internvl_2_5_8b,REAL,7,9993,0.1714189499616623,0.11458494514226913,0.13500335812568665,0.16785427927970886,0.5532338945302482
internvl_2_5_8b,REAL,8,9993,0.19921395182609558,0.10942111909389496,0.13820968568325043,0.25573813915252686,0.5162993200563157
internvl_2_5_8b,REAL,9,9993,0.13293196260929108,0.10810346901416779,0.12447666376829147,0.14376011490821838,0.5326214193650165
internvl_2_5_8b,REAL,10,9993,0.27080127596855164,0.12247369438409805,0.22301934659481049,0.4234722852706909,0.5258255807377735
internvl_2_5_8b,REAL,11,9993,0.20027276873588562,0.11394863575696945,0.14339834451675415,0.268075555562973,0.5036059499860548
internvl_2_5_8b,REAL,12,9993,0.25909698009490967,0.12370878458023071,0.2058352530002594,0.3980766534805298,0.5285311552741505
