model,label,layer,n_mentions,mean,q25,median,q75,raw_q_softmax_js_tau007_real_auroc
qwen3_vl_8b,HALL,1,2593,0.12061592936515808,0.09481052309274673,0.1184442937374115,0.14136409759521484,0.4965047622576946
qwen3_vl_8b,HALL,2,2593,0.16582033038139343,0.13198228180408478,0.1602400541305542,0.1953790932893753,0.6019902462279427
qwen3_vl_8b,HALL,3,2593,0.1153622567653656,0.095986507833004,0.1114955022931099,0.12952284514904022,0.5760670798730232
qwen3_vl_8b,HALL,4,2593,0.14885643124580383,0.12062451988458633,0.14204621315002441,0.16922558844089508,0.6000573141670572
qwen3_vl_8b,HALL,5,2593,0.15257692337036133,0.12642240524291992,0.14803610742092133,0.17469105124473572,0.6099297658064622
qwen3_vl_8b,HALL,6,2593,0.14606313407421112,0.11940529197454453,0.1403215229511261,0.16449986398220062,0.5951342784570335
qwen3_vl_8b,HALL,7,2593,0.15790411829948425,0.12766234576702118,0.1496604084968567,0.17509494721889496,0.635915271132126
qwen3_vl_8b,HALL,8,2593,0.1627703756093979,0.13739919662475586,0.15947991609573364,0.18328411877155304,0.5732157079131865
qwen3_vl_8b,HALL,9,2593,0.2330416887998581,0.12346292287111282,0.16513898968696594,0.3533923625946045,0.594179644269023
qwen3_vl_8b,HALL,10,2593,0.28303825855255127,0.15082727372646332,0.23444411158561707,0.40896129608154297,0.554036707447136
qwen3_vl_8b,HALL,11,2593,0.23049196600914001,0.11571050435304642,0.15470381081104279,0.36217570304870605,0.5421561087166527
qwen3_vl_8b,HALL,12,2593,0.2689283490180969,0.13666273653507233,0.2304726094007492,0.40160518884658813,0.4982223971830951
qwen3_vl_8b,HALL,13,2593,0.16939100623130798,0.11563670635223389,0.13892078399658203,0.17547926306724548,0.5321534989592375
qwen3_vl_8b,HALL,14,2593,0.3432610332965851,0.22669048607349396,0.37021368741989136,0.44718220829963684,0.5648759470184699
qwen3_vl_8b,HALL,15,2593,0.28092706203460693,0.16282369196414948,0.27428582310676575,0.38671982288360596,0.6059297865337774
qwen3_vl_8b,HALL,16,2593,0.36543047428131104,0.2731241285800934,0.3871256113052368,0.4557414650917053,0.5394844048936563
qwen3_vl_8b,HALL,17,2593,0.3081826865673065,0.1768869161605835,0.310569167137146,0.42617058753967285,0.5022251086927847
qwen3_vl_8b,HALL,18,2593,0.3697259724140167,0.2971510589122772,0.3789491355419159,0.44269049167633057,0.5859271893383715
qwen3_vl_8b,HALL,19,2593,0.4017636179924011,0.3423909544944763,0.41623619198799133,0.4748536944389343,0.5710146240630312
qwen3_vl_8b,HALL,20,2593,0.3484511077404022,0.25635138154029846,0.3527294993400574,0.4359179437160492,0.5957341615047277
qwen3_vl_8b,HALL,21,2593,0.37024685740470886,0.29601630568504333,0.374101459980011,0.4478132426738739,0.6453229441329764
qwen3_vl_8b,HALL,22,2593,0.3391748070716858,0.2663624584674835,0.34450292587280273,0.4116494059562683,0.6567775180233427
qwen3_vl_8b,HALL,23,2593,0.33030426502227783,0.23353825509548187,0.3383040726184845,0.41567227244377136,0.524132263510755
qwen3_vl_8b,HALL,24,2593,0.36242178082466125,0.2886661887168884,0.3726068437099457,0.4429916739463806,0.6283983375437001
qwen3_vl_8b,HALL,25,2593,0.3979029059410095,0.33022329211235046,0.40206843614578247,0.4729529917240143,0.6175475095188625
