model,scope,metric,label,layer,n_total,n_valid,n_undefined,mean,q25,median,q75
internvl_2_5_8b,all,span_c,REAL,1,1278,1278,0,-0.03508623740409854,-0.07416492392356488,-0.05422676217373767,-0.015752598660366643
internvl_2_5_8b,all,span_c,REAL,2,1278,1278,0,-0.06956477468974917,-0.08024618612010193,-0.07196111237307998,-0.05800768743241719
internvl_2_5_8b,all,span_c,REAL,3,1278,1278,0,-0.06963281366912295,-0.08289929032970464,-0.07168765776486646,-0.05597825148423097
internvl_2_5_8b,all,span_c,REAL,4,1278,1278,0,-0.12692366507465724,-0.14311339684453894,-0.1248378993592271,-0.11250282291836572
internvl_2_5_8b,all,span_c,REAL,5,1278,1278,0,-0.17404503928170764,-0.1951856930740346,-0.17306433550407074,-0.15295975506400022
internvl_2_5_8b,all,span_c,REAL,6,1278,1278,0,-0.2334262216725043,-0.25173538829191033,-0.23030076799980248,-0.21511110633976668
internvl_2_5_8b,all,span_c,REAL,7,1278,1278,0,-0.2139431706243429,-0.23531725150264635,-0.21661625377524785,-0.19554420102301312
internvl_2_5_8b,all,span_c,REAL,8,1278,1278,0,-0.2802127991879369,-0.3083627798519236,-0.2837668755703671,-0.25614280452913163
internvl_2_5_8b,all,span_c,REAL,9,1278,1278,0,-0.2487610673709734,-0.2763696269566047,-0.2537226126812856,-0.22556433797402883
internvl_2_5_8b,all,span_c,REAL,10,1278,1278,0,-0.2133500815270902,-0.2280738451345596,-0.21689036588678434,-0.20068965885185885
internvl_2_5_8b,all,span_c,REAL,11,1278,1278,0,-0.2122798456738335,-0.22715630001797701,-0.21455157960111046,-0.1992198858769329
internvl_2_5_8b,all,span_c,REAL,12,1278,1278,0,-0.19903513098310371,-0.2159487682662246,-0.20357907058211827,-0.1854974619414669
internvl_2_5_8b,all,span_c,REAL,13,1278,1278,0,-0.20859990935787373,-0.23126522446098244,-0.2140594895572958,-0.18701517610111976
internvl_2_5_8b,all,span_c,REAL,14,1278,1278,0,-0.205130277829405,-0.2221130098767997,-0.20799367199148197,-0.19254646226372993
internvl_2_5_8b,all,span_c,REAL,15,1278,1278,0,-0.19704448650068437,-0.21324605524001738,-0.19928833247722127,-0.18539680986405374
internvl_2_5_8b,all,span_c,REAL,16,1278,1278,0,-0.15799832999645874,-0.16770451021825583,-0.15907485555639148,-0.1502186216554019
internvl_2_5_8b,all,span_c,REAL,17,1278,1278,0,-0.14571561900621655,-0.15263418713807206,-0.14513260708373993,-0.13846315845877966
internvl_2_5_8b,all,span_c,REAL,18,1278,1278,0,-0.13362468611875292,-0.14159736976046788,-0.13355182865630028,-0.12554437155536524
internvl_2_5_8b,all,span_c,REAL,19,1278,1278,0,-0.1021339477447806,-0.1080967705218693,-0.10202554066034095,-0.09590190649059058
internvl_2_5_8b,all,span_c,REAL,20,1278,1278,0,-0.08528412651228887,-0.08987138263610679,-0.0849619477317641,-0.0803739216929053
internvl_2_5_8b,all,span_c,REAL,21,1278,1278,0,-0.06586717106169357,-0.06927260933944245,-0.06592829679570439,-0.062314557748733
internvl_2_5_8b,all,span_c,REAL,22,1278,1278,0,-0.05280210140263015,-0.05559183094821507,-0.052699510382958656,-0.04995633415904829
internvl_2_5_8b,all,span_c,REAL,23,1278,1278,0,-0.03065560027353775,-0.03247237424981906,-0.030643146060603005,-0.02887462267790256
internvl_2_5_8b,all,span_c,REAL,24,1278,1278,0,-0.023924864125941393,-0.025683100162497363,-0.024222042684277627,-0.022501518813991532
internvl_2_5_8b,all,span_c,REAL,25,1278,1278,0,-0.015238528976684203,-0.016526530838098335,-0.015256769676056907,-0.013981980166633275
internvl_2_5_8b,all,span_c,REAL,26,1278,1278,0,-0.009875606053048203,-0.011042207858740967,-0.00977075809686007,-0.008742393490900953
internvl_2_5_8b,all,span_c,REAL,27,1278,1278,0,-0.006763001207191134,-0.008352327211835122,-0.0068582548975538,-0.00516737720979287
internvl_2_5_8b,all,span_c,REAL,28,1278,1278,0,-0.004790705452045023,-0.006142116928443254,-0.004915536248370462,-0.0034686569204421492
internvl_2_5_8b,all,span_c,REAL,29,1278,1278,0,-0.0008876778885839976,-0.003003919781811849,-0.0010454850997824038,0.0012251369499335302
internvl_2_5_8b,all,span_c,REAL,30,1278,1278,0,0.010715031556714575,0.006479419633403402,0.010210935849250993,0.014403318367936797
internvl_2_5_8b,all,span_c,REAL,31,1278,1278,0,-0.0029482233373295487,-0.009722392652563716,-0.0039712781565300215,0.002937000921209249
internvl_2_5_8b,all,span_c,REAL,32,1278,1278,0,0.004536134059426397,-0.007151314705901843,0.0040356068986831094,0.01640832572180312
internvl_2_5_8b,all,span_c,HALL,1,220,220,0,-0.03712479745540691,-0.07301895707770595,-0.05213370033491597,-0.023836946263668
internvl_2_5_8b,all,span_c,HALL,2,220,220,0,-0.06761830336383066,-0.07858315411706987,-0.0695352563484409,-0.05634084900566669
internvl_2_5_8b,all,span_c,HALL,3,220,220,0,-0.06877062874521139,-0.08073929018856478,-0.0717490517715136,-0.05827930491554862
internvl_2_5_8b,all,span_c,HALL,4,220,220,0,-0.1242273996693496,-0.1380573425381858,-0.12201612542969943,-0.11096393967182541
internvl_2_5_8b,all,span_c,HALL,5,220,220,0,-0.17021250267058435,-0.18497445047615127,-0.16860445015361702,-0.15368770121986833
internvl_2_5_8b,all,span_c,HALL,6,220,220,0,-0.2396412748037934,-0.2601225154456979,-0.23979732097107426,-0.2201520575326159
