model,scope,metric,label,layer,n_total,n_valid,n_undefined,mean,q25,median,q75
llava_1_5_7b,all,span_c,REAL,1,1503,1503,0,-0.09930675671881119,-0.1466404415537815,-0.0938254312716963,-0.05618667516826931
llava_1_5_7b,all,span_c,REAL,2,1503,1503,0,-0.0806678221100662,-0.09744122289339543,-0.08513203341126899,-0.0645723579694003
llava_1_5_7b,all,span_c,REAL,3,1503,1503,0,-0.06811054471484794,-0.07649480256167517,-0.06845856119189897,-0.062179704837732885
llava_1_5_7b,all,span_c,REAL,4,1503,1503,0,-0.10506476483423449,-0.11451084135889622,-0.1067791959979859,-0.094787005728004
llava_1_5_7b,all,span_c,REAL,5,1503,1503,0,-0.16862151297360084,-0.1809072762564709,-0.1706561336205736,-0.15487028864370206
llava_1_5_7b,all,span_c,REAL,6,1503,1503,0,-0.20695262082961358,-0.2206667176656763,-0.207704621841104,-0.19468069021049098
llava_1_5_7b,all,span_c,REAL,7,1503,1503,0,-0.23579417050158996,-0.25065593749567355,-0.23643919917160644,-0.22247524566203364
llava_1_5_7b,all,span_c,REAL,8,1503,1503,0,-0.24728790900380626,-0.2634069592125189,-0.24866464978798053,-0.233277358093616
llava_1_5_7b,all,span_c,REAL,9,1503,1503,0,-0.23495965611141806,-0.25242458723769423,-0.2391075877830725,-0.21993290177772298
llava_1_5_7b,all,span_c,REAL,10,1503,1503,0,-0.2453047143072893,-0.26215331562385874,-0.2477026845049141,-0.23176653667192354
llava_1_5_7b,all,span_c,REAL,11,1503,1503,0,-0.24269390323854093,-0.2556089421939871,-0.2465287696751582,-0.23376921369428671
llava_1_5_7b,all,span_c,REAL,12,1503,1503,0,-0.23762895355193114,-0.2504929606944253,-0.24110602765994857,-0.22668928432250685
llava_1_5_7b,all,span_c,REAL,13,1503,1503,0,-0.23241596290235078,-0.24795011778829118,-0.2359359709000791,-0.22014838525808278
llava_1_5_7b,all,span_c,REAL,14,1503,1503,0,-0.21769399951308235,-0.23372470378777785,-0.22164428025077157,-0.20272089140668925
llava_1_5_7b,all,span_c,REAL,15,1503,1503,0,-0.19106190415029167,-0.20440990934083322,-0.19282658624775337,-0.1785193704597767
llava_1_5_7b,all,span_c,REAL,16,1503,1503,0,-0.16692936850115653,-0.17827596827939987,-0.16942622480863864,-0.15583015721667642
llava_1_5_7b,all,span_c,REAL,17,1503,1503,0,-0.14006311519750084,-0.1489307326380226,-0.14084655706636856,-0.13119653819904553
llava_1_5_7b,all,span_c,REAL,18,1503,1503,0,-0.11717319425917026,-0.12543563878924463,-0.11719902738287759,-0.10947464083849055
llava_1_5_7b,all,span_c,REAL,19,1503,1503,0,-0.08969837523601204,-0.09703369469613095,-0.08972481014955143,-0.08216585532105916
llava_1_5_7b,all,span_c,REAL,20,1503,1503,0,-0.0610431813730701,-0.06569925282250233,-0.061062811749013485,-0.05653605495803238
llava_1_5_7b,all,span_c,REAL,21,1503,1503,0,-0.048500480415733196,-0.05154525810184687,-0.0482971847148468,-0.04509108052041756
llava_1_5_7b,all,span_c,REAL,22,1503,1503,0,-0.027917741199075682,-0.029757154682298587,-0.028006978575701506,-0.025928099537906653
llava_1_5_7b,all,span_c,REAL,23,1503,1503,0,-0.015991137062047304,-0.017754060254808815,-0.015902545101927457,-0.014078097869808475
llava_1_5_7b,all,span_c,REAL,24,1503,1503,0,-0.01040829740157069,-0.011157598091653939,-0.010395060433313669,-0.009745420376143059
llava_1_5_7b,all,span_c,REAL,25,1503,1503,0,-0.0034485164228121403,-0.004104432906818753,-0.003403819194553261,-0.0027462392792428993
llava_1_5_7b,all,span_c,REAL,26,1503,1503,0,-0.0019288810421572175,-0.0026850165491802015,-0.0018770187341433059,-0.0011434404210749417
llava_1_5_7b,all,span_c,REAL,27,1503,1503,0,0.000510132413001336,-0.00032018606044796334,0.0005668032898204424,0.0013958221338718497
llava_1_5_7b,all,span_c,REAL,28,1503,1503,0,0.00038218955811596404,-0.0007249066864827463,0.0005219248552646178,0.001573677009942389
llava_1_5_7b,all,span_c,REAL,29,1503,1503,0,0.003431238808461393,0.0014026742253981437,0.0036770616009620277,0.0054189695427653735
