model,scope,metric,layer,n_mixed_images,n_valid,mean_hall_minus_real,median_hall_minus_real,fraction_hall_gt_real
llava_1_5_7b,all,span_c,1,241,241,0.004065050091442658,0.006708654436594699,0.5643153526970954
llava_1_5_7b,all,span_c,2,241,241,0.0017737286760332472,0.0036549950170481765,0.5560165975103735
llava_1_5_7b,all,span_c,3,241,241,-0.004763943281475739,-0.004796011533521438,0.3029045643153527
llava_1_5_7b,all,span_c,4,241,241,0.00048095428162246213,-0.000612735988180943,0.46887966804979253
llava_1_5_7b,all,span_c,5,241,241,0.0031144305970388737,0.002068972352777171,0.5726141078838174
llava_1_5_7b,all,span_c,6,241,241,-0.0005446419994854458,-0.0016468446723213737,0.45228215767634855
llava_1_5_7b,all,span_c,7,241,241,0.003807128222104227,0.003108602893239998,0.5892116182572614
llava_1_5_7b,all,span_c,8,241,241,1.252187584259348e-05,-0.00043252423342049484,0.4979253112033195
llava_1_5_7b,all,span_c,9,241,241,-0.006122662689469944,-0.00839900592622786,0.35269709543568467
llava_1_5_7b,all,span_c,10,241,241,-0.0022702192129094682,-0.002368298023064541,0.45228215767634855
llava_1_5_7b,all,span_c,11,241,241,-0.006514350820616346,-0.007931165293107861,0.34024896265560167
llava_1_5_7b,all,span_c,12,241,241,-0.010788117922189677,-0.012687287602632491,0.24066390041493776
llava_1_5_7b,all,span_c,13,241,241,-0.006947595978233943,-0.0076918787632435925,0.3236514522821577
llava_1_5_7b,all,span_c,14,241,241,-0.008190775658997973,-0.009810798280780075,0.33195020746887965
llava_1_5_7b,all,span_c,15,241,241,-0.002183693291450083,-0.002655537855132367,0.43568464730290457
llava_1_5_7b,all,span_c,16,241,241,0.001156681808313661,0.00030515331721742145,0.5020746887966805
llava_1_5_7b,all,span_c,17,241,241,0.004917811044316117,0.004280779026178433,0.6639004149377593
llava_1_5_7b,all,span_c,18,241,241,0.0020782984556731035,0.0016322843174235713,0.5892116182572614
llava_1_5_7b,all,span_c,19,241,241,0.0035743219017118468,0.003106636391820544,0.6514522821576764
llava_1_5_7b,all,span_c,20,241,241,0.0009238255573642369,0.0008453973538754891,0.5601659751037344
llava_1_5_7b,all,span_c,21,241,241,0.0003535869483141224,9.046058054502232e-05,0.5186721991701245
llava_1_5_7b,all,span_c,22,241,241,0.00016238648512853106,0.0001557342065477696,0.5394190871369294
llava_1_5_7b,all,span_c,23,241,241,-0.00037997607046126624,-0.00040869525743139276,0.3900414937759336
llava_1_5_7b,all,span_c,24,241,241,0.00030325690080699953,0.00013142084551123236,0.5767634854771784
llava_1_5_7b,all,span_c,25,241,241,6.861422825278812e-05,5.302654765216002e-05,0.5311203319502075
llava_1_5_7b,all,span_c,26,241,241,-0.0001355319296324472,-0.00021246458092143605,0.42323651452282157
llava_1_5_7b,all,span_c,27,241,241,0.00022889959491317015,0.0002232042954833284,0.5435684647302904
llava_1_5_7b,all,span_c,28,241,241,0.000616774053828696,0.000648940824642337,0.6390041493775933
llava_1_5_7b,all,span_c,29,241,241,0.0007762080414683622,0.001001482864482082,0.6721991701244814
llava_1_5_7b,all,span_c,30,241,241,0.00045904396067781385,0.0005528748708772142,0.5850622406639004
llava_1_5_7b,all,span_c,31,241,241,0.0002728842546238265,0.0003322013296729381,0.5394190871369294
llava_1_5_7b,all,span_c,32,241,241,0.0013851379064986646,0.0014370221310339348,0.6431535269709544
llava_1_5_7b,all,scalar_error_full,1,241,241,-0.0017884098153719318,-0.0016431389465835222,0.34854771784232363
llava_1_5_7b,all,scalar_error_full,2,241,241,0.0022457181591452277,0.002365172463061893,0.6224066390041494
llava_1_5_7b,all,scalar_error_full,3,241,241,-0.0011833943216284424,-0.0012476950748714355,0.3360995850622407
llava_1_5_7b,all,scalar_error_full,4,241,241,-0.0002559764616607609,-0.0008072841915478524,0.4315352697095436
llava_1_5_7b,all,scalar_error_full,5,241,241,0.00022447009654354022,-3.7947788238401614e-05,0.4979253112033195
