model,scope,metric,label,layer,n_total,n_valid,n_undefined,mean,q25,median,q75
internvl_2_5_8b,all,cos_mean,REAL,1,1278,1278,0,-0.18111971243358407,-0.2651967810794531,-0.19213928841850247,-0.09873302040887211
internvl_2_5_8b,all,cos_mean,REAL,2,1278,1278,0,-0.21950447320777708,-0.2437957775068753,-0.22303847102739383,-0.2006836594591732
internvl_2_5_8b,all,cos_mean,REAL,3,1278,1278,0,-0.08958009474437595,-0.1210857868891253,-0.09571424544450835,-0.05911749484022266
internvl_2_5_8b,all,cos_mean,REAL,4,1278,1278,0,-0.2285460268039976,-0.25159500890003983,-0.2280225704453187,-0.2018739333288977
internvl_2_5_8b,all,cos_mean,REAL,5,1278,1278,0,-0.28166094674605785,-0.3049800631129074,-0.280553327218513,-0.2572179472826974
internvl_2_5_8b,all,cos_mean,REAL,6,1278,1278,0,-0.311692413102783,-0.3382865752209909,-0.3136670648236759,-0.28459842402662616
internvl_2_5_8b,all,cos_mean,REAL,7,1278,1278,0,-0.2950312717302727,-0.3288499835325638,-0.2994613823539112,-0.26566037062730175
internvl_2_5_8b,all,cos_mean,REAL,8,1278,1278,0,-0.4003348507547691,-0.43803227883472573,-0.40862002038920764,-0.36675162574101705
internvl_2_5_8b,all,cos_mean,REAL,9,1278,1278,0,-0.37105082636396874,-0.4080001274996903,-0.37809372291667387,-0.3454328556690598
internvl_2_5_8b,all,cos_mean,REAL,10,1278,1278,0,-0.33204337272680934,-0.35996838405844755,-0.34082562039839104,-0.31028304219216807
internvl_2_5_8b,all,cos_mean,REAL,11,1278,1278,0,-0.34514476959384194,-0.3721888180152746,-0.34996340478392085,-0.32297237786406185
internvl_2_5_8b,all,cos_mean,REAL,12,1278,1278,0,-0.3585850072964199,-0.38014994768309407,-0.3649292401096318,-0.34549276625330094
internvl_2_5_8b,all,cos_mean,REAL,13,1278,1278,0,-0.3422747602889536,-0.37710739733302034,-0.34559519168396946,-0.31190339547174517
internvl_2_5_8b,all,cos_mean,REAL,14,1278,1278,0,-0.3812920099527334,-0.40160697179089766,-0.3838277017348446,-0.3629036835191073
internvl_2_5_8b,all,cos_mean,REAL,15,1278,1278,0,-0.3841254932629195,-0.4031551767257042,-0.38554196612676606,-0.3680381733138347
internvl_2_5_8b,all,cos_mean,REAL,16,1278,1278,0,-0.33069875399343623,-0.3493607908603735,-0.33151210451615043,-0.31422218412626535
internvl_2_5_8b,all,cos_mean,REAL,17,1278,1278,0,-0.285561500891754,-0.3109061237773858,-0.2867226413416475,-0.2624842882585199
internvl_2_5_8b,all,cos_mean,REAL,18,1278,1278,0,-0.30061792701087126,-0.3219342097436311,-0.30185076046473114,-0.28182530245248927
internvl_2_5_8b,all,cos_mean,REAL,19,1278,1278,0,-0.23296284745574733,-0.2471146966267952,-0.23202324831436272,-0.21839005141623602
internvl_2_5_8b,all,cos_mean,REAL,20,1278,1278,0,-0.1907478895086567,-0.2064693917935756,-0.19101563069125405,-0.17606101371939076
internvl_2_5_8b,all,cos_mean,REAL,21,1278,1278,0,-0.18253250317128317,-0.19618633345999115,-0.18234719201427652,-0.16962045082254917
internvl_2_5_8b,all,cos_mean,REAL,22,1278,1278,0,-0.16788636428424564,-0.18415622392967634,-0.16730495518095267,-0.15031624737196125
