model,scope,metric,label,layer,n_total,n_valid,n_undefined,mean,q25,median,q75
llava_1_5_7b,all,cos_mean,REAL,1,1503,1503,0,-0.07621379466876732,-0.1878399521677794,-0.10148179471394138,0.047589829234059126
llava_1_5_7b,all,cos_mean,REAL,2,1503,1503,0,-0.13703156482380827,-0.16670859015585887,-0.13954002840889895,-0.10930990998430287
llava_1_5_7b,all,cos_mean,REAL,3,1503,1503,0,-0.1885986969528174,-0.20761455754109193,-0.1893676671768642,-0.17114007537060794
llava_1_5_7b,all,cos_mean,REAL,4,1503,1503,0,-0.2983791413687173,-0.3306340745637297,-0.2987992503783769,-0.26591427416294916
llava_1_5_7b,all,cos_mean,REAL,5,1503,1503,0,-0.2970221963323692,-0.3124457880492426,-0.2980378386305852,-0.28104715013048714
llava_1_5_7b,all,cos_mean,REAL,6,1503,1503,0,-0.35809694289157656,-0.3772837675900923,-0.360962526122522,-0.34233488637255505
llava_1_5_7b,all,cos_mean,REAL,7,1503,1503,0,-0.3924228957220076,-0.41783424971314764,-0.3969074728277822,-0.3739349917612142
llava_1_5_7b,all,cos_mean,REAL,8,1503,1503,0,-0.3975747038488752,-0.4279852996502692,-0.4041037394458221,-0.3770418082066398
llava_1_5_7b,all,cos_mean,REAL,9,1503,1503,0,-0.4018634232272727,-0.43435186557730454,-0.4147694244618631,-0.3822546144559359
llava_1_5_7b,all,cos_mean,REAL,10,1503,1503,0,-0.406566454421707,-0.4254891138213376,-0.41282340770380366,-0.3945786827631916
llava_1_5_7b,all,cos_mean,REAL,11,1503,1503,0,-0.4441590096367064,-0.4635102609689865,-0.45067680285622674,-0.4311804371083983
llava_1_5_7b,all,cos_mean,REAL,12,1503,1503,0,-0.3803422732628397,-0.40231929593978244,-0.3858675742521882,-0.3669103872703595
llava_1_5_7b,all,cos_mean,REAL,13,1503,1503,0,-0.43344529734757153,-0.45114198118810434,-0.4346856345008645,-0.4190831052967244
llava_1_5_7b,all,cos_mean,REAL,14,1503,1503,0,-0.41590451998444294,-0.4368976244651195,-0.4205074935841064,-0.3993120801816177
llava_1_5_7b,all,cos_mean,REAL,15,1503,1503,0,-0.359054722703991,-0.38290014169696307,-0.3610909561523133,-0.3375768088347589
llava_1_5_7b,all,cos_mean,REAL,16,1503,1503,0,-0.35425447103183755,-0.3799875409523439,-0.35716371186491513,-0.3312404028191749
llava_1_5_7b,all,cos_mean,REAL,17,1503,1503,0,-0.3054748863466271,-0.32174981887348825,-0.3062720949658089,-0.288811180055038
llava_1_5_7b,all,cos_mean,REAL,18,1503,1503,0,-0.2626475103172452,-0.27797928446670994,-0.26280873905246455,-0.24802904100377215
llava_1_5_7b,all,cos_mean,REAL,19,1503,1503,0,-0.18436122469730434,-0.20530966383782673,-0.1877951481801574,-0.16564689559992807
llava_1_5_7b,all,cos_mean,REAL,20,1503,1503,0,-0.16965945900784843,-0.18465433295407113,-0.17071701533475586,-0.15548552064279242
llava_1_5_7b,all,cos_mean,REAL,21,1503,1503,0,-0.1233516349297359,-0.1395714648000042,-0.1255865807010284,-0.10791387016311343
llava_1_5_7b,all,cos_mean,REAL,22,1503,1503,0,-0.09857771592194225,-0.10698712656514747,-0.0988417650272216,-0.08994529608147181
llava_1_5_7b,all,cos_mean,REAL,23,1503,1503,0,-0.021002040122100097,-0.03791785636947982,-0.024898503689504043,-0.006812682837385687
llava_1_5_7b,all,cos_mean,REAL,24,1503,1503,0,-0.05967985729694481,-0.06706044013314265,-0.05759630447927419,-0.05046859431811552
llava_1_5_7b,all,cos_mean,REAL,25,1503,1503,0,-0.018274911341483496,-0.025283086807374074,-0.017932066204328596,-0.010282245793134514
llava_1_5_7b,all,cos_mean,REAL,26,1503,1503,0,0.026102977630612933,0.011771237848430852,0.023839591709348597,0.03689508132261052
llava_1_5_7b,all,cos_mean,REAL,27,1503,1503,0,0.014434353730460642,0.005494344408545102,0.014263405400255478,0.022620417029298068
llava_1_5_7b,all,cos_mean,REAL,28,1503,1503,0,-0.00045459932087663194,-0.010028381328737623,0.00019350307402671914,0.009536686803357952
