model,scope,metric,label,layer,n_total,n_valid,n_undefined,mean,q25,median,q75
qwen3_vl_8b,all,cos_mean,REAL,1,1560,1560,0,-0.07140263797475947,-0.14809700354584493,-0.025486233828243526,0.0052666366894473845
qwen3_vl_8b,all,cos_mean,REAL,2,1560,1560,0,-0.10891620291785672,-0.1333863353325675,-0.11153228274546564,-0.08837420157995333
qwen3_vl_8b,all,cos_mean,REAL,3,1560,1560,0,-0.13010006337900695,-0.1577728240226861,-0.13023630359365296,-0.104495698403407
qwen3_vl_8b,all,cos_mean,REAL,4,1560,1560,0,-0.15963036112340534,-0.19821680285800725,-0.16761191452208618,-0.12169351181916205
qwen3_vl_8b,all,cos_mean,REAL,5,1560,1560,0,-0.21292215844102433,-0.24380888421088456,-0.21128806686738416,-0.1769974075226734
qwen3_vl_8b,all,cos_mean,REAL,6,1560,1560,0,-0.23925565560096743,-0.28123449431899455,-0.24113501631296597,-0.19893793341873858
qwen3_vl_8b,all,cos_mean,REAL,7,1560,1560,0,-0.3166737265144002,-0.3413466132203625,-0.3165709822617758,-0.29552813288755714
qwen3_vl_8b,all,cos_mean,REAL,8,1560,1560,0,-0.3208067478928398,-0.34330186173319815,-0.3249592375562479,-0.30389169801181803
qwen3_vl_8b,all,cos_mean,REAL,9,1560,1560,0,-0.33994352990247045,-0.3620378305705694,-0.34129425117169465,-0.3195426348496515
qwen3_vl_8b,all,cos_mean,REAL,10,1560,1560,0,-0.4505415864791301,-0.5008355529854696,-0.45422095214327174,-0.40120360219421297
qwen3_vl_8b,all,cos_mean,REAL,11,1560,1560,0,-0.5340351395859666,-0.5691558928415179,-0.5436390381277754,-0.5096937028118051
qwen3_vl_8b,all,cos_mean,REAL,12,1560,1560,0,-0.4859139527361989,-0.528127143566425,-0.49474842503666877,-0.453775800753917
qwen3_vl_8b,all,cos_mean,REAL,13,1560,1560,0,-0.36167204926553304,-0.40438970353525994,-0.37049342128137747,-0.325919601550469
qwen3_vl_8b,all,cos_mean,REAL,14,1560,1560,0,-0.3617068974475281,-0.4044142782134123,-0.37087661545723677,-0.32521269423887134
qwen3_vl_8b,all,cos_mean,REAL,15,1560,1560,0,-0.4324274193305932,-0.4637706688199288,-0.43970439229160546,-0.41185572882159016
qwen3_vl_8b,all,cos_mean,REAL,16,1560,1560,0,-0.3355544083157519,-0.3788615648276531,-0.3373092797175139,-0.29723166115543187
qwen3_vl_8b,all,cos_mean,REAL,17,1560,1560,0,-0.47786234585012444,-0.5018897953769192,-0.4809428637226423,-0.4570344845621059
qwen3_vl_8b,all,cos_mean,REAL,18,1560,1560,0,-0.3457255951343981,-0.36612702243985273,-0.3469084217756366,-0.3262216988651614
qwen3_vl_8b,all,cos_mean,REAL,19,1560,1560,0,-0.35385547445422905,-0.3755577834042458,-0.35581208648016815,-0.3344025314382564
qwen3_vl_8b,all,cos_mean,REAL,20,1560,1560,0,-0.34743354397198434,-0.366052971330937,-0.3491780452143688,-0.3312236176189649
qwen3_vl_8b,all,cos_mean,REAL,21,1560,1560,0,-0.30776437446956445,-0.32349426891062066,-0.3092236886746608,-0.2919834027425028
qwen3_vl_8b,all,cos_mean,REAL,22,1560,1560,0,-0.2889841684048835,-0.30755472346293655,-0.29137911483502155,-0.27198134624900727
qwen3_vl_8b,all,cos_mean,REAL,23,1560,1560,0,-0.24742418772917066,-0.26606832282060555,-0.25081995671873475,-0.23102473665203432
qwen3_vl_8b,all,cos_mean,REAL,24,1560,1560,0,-0.19778044548164259,-0.21895472952940812,-0.1975890697259456,-0.17626586616572848
qwen3_vl_8b,all,cos_mean,REAL,25,1560,1560,0,-0.12855176453167455,-0.1411517046733598,-0.12957612625395998,-0.11679930575777082
qwen3_vl_8b,all,cos_mean,REAL,26,1560,1560,0,-0.07141470186445123,-0.08951889609576402,-0.073933547635209,-0.05828706012160416
qwen3_vl_8b,all,cos_mean,REAL,27,1560,1560,0,-0.10313919128176285,-0.11473333826676632,-0.10390849291833523,-0.09226114438052858
qwen3_vl_8b,all,cos_mean,REAL,28,1560,1560,0,0.012077670525781093,-0.00899921976915645,0.009390648492635824,0.029694410780399874
qwen3_vl_8b,all,cos_mean,REAL,29,1560,1560,0,-0.01655439875300813,-0.031727025934110635,-0.018727369527746653,-0.0032434313241295363
qwen3_vl_8b,all,cos_mean,REAL,30,1560,1560,0,-0.03264341472394284,-0.04458658083047526,-0.031212609170828586,-0.020994287680178577
qwen3_vl_8b,all,cos_mean,REAL,31,1560,1560,0,-0.0014614143901412907,-0.009154675302527091,-0.0023010190562203978,0.005573092807096076
qwen3_vl_8b,all,cos_mean,REAL,32,1560,1560,0,-0.016396270472552342,-0.02148068740539505,-0.01694303584575629,-0.011762858987076644
qwen3_vl_8b,all,cos_mean,REAL,33,1560,1560,0,-0.031353897619194736,-0.04122638206029641,-0.03314061463776549,-0.023023187332149135
qwen3_vl_8b,all,cos_mean,REAL,34,1560,1560,0,-0.048494497702930135,-0.0603639450915701,-0.051688096961693075,-0.03774837171067889
qwen3_vl_8b,all,cos_mean,REAL,35,1560,1560,0,0.05772570215737421,0.02732996575140043,0.05486957440584471,0.08592867456832512
qwen3_vl_8b,all,cos_mean,REAL,36,1560,1560,0,-0.2630542660639152,-0.3178977143170554,-0.26566664304444976,-0.21101219547969569
qwen3_vl_8b,all,cos_mean,HALL,1,357,357,0,-0.07364578791848839,-0.13761735980470594,-0.040705074974861276,0.0064560288343151724
qwen3_vl_8b,all,cos_mean,HALL,2,357,357,0,-0.1084170144488763,-0.1305784355992308,-0.11113026064898197,-0.08984756195210279
qwen3_vl_8b,all,cos_mean,HALL,3,357,357,0,-0.13463210941656578,-0.1637395228044345,-0.13828155311445395,-0.10243661341060382
qwen3_vl_8b,all,cos_mean,HALL,4,357,357,0,-0.1602761727344137,-0.19360016266313884,-0.16752158182983598,-0.13329965552547945
qwen3_vl_8b,all,cos_mean,HALL,5,357,357,0,-0.22890208975030177,-0.2585469011714061,-0.23228039979934692,-0.18710037243480865
qwen3_vl_8b,all,cos_mean,HALL,6,357,357,0,-0.24520107120987067,-0.2841400205515898,-0.24644717551194706,-0.20848591270355077
qwen3_vl_8b,all,cos_mean,HALL,7,357,357,0,-0.3175844531580252,-0.34001620918512343,-0.318262797078261,-0.29506833404302596
qwen3_vl_8b,all,cos_mean,HALL,8,357,357,0,-0.31860337282706125,-0.33626827539077825,-0.3202665847654526,-0.30526871487498286
qwen3_vl_8b,all,cos_mean,HALL,9,357,357,0,-0.33680463294714946,-0.35899237520419636,-0.3389596936794428,-0.3195786210397879
qwen3_vl_8b,all,cos_mean,HALL,10,357,357,0,-0.4522120725791252,-0.48803070386250813,-0.4541587019339204,-0.41167456535622476
qwen3_vl_8b,all,cos_mean,HALL,11,357,357,0,-0.5471914217111891,-0.5774276140332222,-0.5569360034970137,-0.5254748325508375
qwen3_vl_8b,all,cos_mean,HALL,12,357,357,0,-0.4886172172667518,-0.5246275386214256,-0.49352634986241656,-0.46089742321234484
qwen3_vl_8b,all,cos_mean,HALL,13,357,357,0,-0.35564169928618217,-0.38995797336101534,-0.3554118236097006,-0.3266270054647556
