model,left,right,metric,images,mean,median,win_fraction
qwen2_5_vl_7b,composition,WRITE,absolute_log_probability_delta,100,-3.340444527566433e-05,0.0,0.08
qwen2_5_vl_7b,composition,WRITE,log_probability_delta,100,-0.0013234786409884692,0.0,0.1
qwen2_5_vl_7b,composition,conditional,absolute_log_probability_delta,100,-0.0002850739270797931,0.0,0.05
qwen2_5_vl_7b,composition,conditional,log_probability_delta,100,-4.401307553052902e-05,0.0,0.06
qwen2_5_vl_7b,composition,random,absolute_log_probability_delta,100,0.026850580828249804,0.008657462894916534,0.78
qwen2_5_vl_7b,composition,random,log_probability_delta,100,-0.015680349589529213,-0.0027235401794314384,0.41
qwen2_5_vl_7b,conditional,WRITE,absolute_log_probability_delta,100,0.00025166948180412876,0.0,0.1
qwen2_5_vl_7b,conditional,WRITE,log_probability_delta,100,-0.00127946556545794,0.0,0.11
llava_1_5_7b,composition,WRITE,absolute_log_probability_delta,100,0.00037175761521211824,0.0,0.42
llava_1_5_7b,composition,WRITE,log_probability_delta,100,-0.0001155883121828083,0.0,0.3
llava_1_5_7b,composition,conditional,absolute_log_probability_delta,100,4.31033642962575e-05,0.0,0.07
llava_1_5_7b,composition,conditional,log_probability_delta,100,2.2319075651466846e-05,0.0,0.05
llava_1_5_7b,composition,random,absolute_log_probability_delta,100,0.010312549375521484,0.003300786018371582,0.85
llava_1_5_7b,composition,random,log_probability_delta,100,-0.0021620866341982036,0.00031004875199869275,0.57
llava_1_5_7b,conditional,WRITE,absolute_log_probability_delta,100,0.00032865425091586074,0.0,0.38
llava_1_5_7b,conditional,WRITE,log_probability_delta,100,-0.00013790738783427513,0.0,0.28
qwen3_vl_8b,composition,WRITE,absolute_log_probability_delta,100,0.00030410699932247097,0.0,0.33
qwen3_vl_8b,composition,WRITE,log_probability_delta,100,-0.0002649425662872318,0.0,0.28
qwen3_vl_8b,composition,conditional,absolute_log_probability_delta,100,-0.00013117427010001848,0.0,0.03
qwen3_vl_8b,composition,conditional,log_probability_delta,100,-0.00013653045523824404,0.0,0.01
qwen3_vl_8b,composition,random,absolute_log_probability_delta,100,0.009876803456314746,0.0006903064204379916,0.67
qwen3_vl_8b,composition,random,log_probability_delta,100,-0.0009482490740481353,0.0,0.48
qwen3_vl_8b,conditional,WRITE,absolute_log_probability_delta,100,0.00043528126942248945,0.0,0.32
qwen3_vl_8b,conditional,WRITE,log_probability_delta,100,-0.00012841211104898774,0.0,0.29
internvl_2_5_8b,composition,WRITE,absolute_log_probability_delta,100,-3.406090445423615e-05,0.0,0.11
internvl_2_5_8b,composition,WRITE,log_probability_delta,100,0.000412002646990004,0.0,0.11
internvl_2_5_8b,composition,conditional,absolute_log_probability_delta,100,-3.2295137643814086e-05,0.0,0.0
internvl_2_5_8b,composition,conditional,log_probability_delta,100,3.2295137643814086e-05,0.0,0.01
internvl_2_5_8b,composition,random,absolute_log_probability_delta,100,0.011099144587791442,0.0039969757199287415,0.65
internvl_2_5_8b,composition,random,log_probability_delta,100,-0.006152393600647201,-0.0003240322694182396,0.44
internvl_2_5_8b,conditional,WRITE,absolute_log_probability_delta,100,-1.7657668104220646e-06,0.0,0.11
internvl_2_5_8b,conditional,WRITE,log_probability_delta,100,0.0003797075093461899,0.0,0.1
