image_id,response_index,label,layer,strategy,region,log_probability_delta,absolute_log_probability_delta,target_logit_delta
10440,55,0,8,WRITE,1,-9.536670404486358e-07,9.536670404486358e-07,0.0
10440,55,0,8,conditional,1,-9.536670404486358e-07,9.536670404486358e-07,0.0
10440,55,0,8,composition,1,-9.536670404486358e-07,9.536670404486358e-07,0.0
10440,55,0,8,random,3,-2.145749022020027e-06,2.145749022020027e-06,-0.25
10440,55,0,16,WRITE,1,0.0,0.0,0.0
10440,55,0,16,conditional,2,-4.768335202243179e-07,4.768335202243179e-07,0.0
10440,55,0,16,composition,2,-4.768335202243179e-07,4.768335202243179e-07,0.0
10440,55,0,16,random,4,-9.536670404486358e-07,9.536670404486358e-07,0.0
10440,55,0,24,WRITE,1,-1.430499651178252e-06,1.430499651178252e-06,-0.25
10440,55,0,24,conditional,1,-1.430499651178252e-06,1.430499651178252e-06,-0.25
10440,55,0,24,composition,1,-1.430499651178252e-06,1.430499651178252e-06,-0.25
10440,55,0,24,random,5,4.768339749716688e-07,4.768339749716688e-07,0.0
10440,55,0,32,WRITE,1,-1.0728754205047153e-06,1.0728754205047153e-06,-0.25
10440,55,0,32,conditional,1,-1.0728754205047153e-06,1.0728754205047153e-06,-0.25
10440,55,0,32,composition,1,-1.0728754205047153e-06,1.0728754205047153e-06,-0.25
10440,55,0,32,random,0,0.0,0.0,0.0
11209,177,0,8,WRITE,5,-9.416966349817812e-06,9.416966349817812e-06,-0.25
11209,177,0,8,conditional,2,2.503260475350544e-06,2.503260475350544e-06,0.0
11209,177,0,8,composition,2,2.503260475350544e-06,2.503260475350544e-06,0.0
11209,177,0,8,random,0,-1.2158598110545427e-05,1.2158598110545427e-05,-0.5
11209,177,0,16,WRITE,6,1.7880447558127344e-06,1.7880447558127344e-06,0.0
11209,177,0,16,conditional,6,1.7880447558127344e-06,1.7880447558127344e-06,0.0
11209,177,0,16,composition,6,1.7880447558127344e-06,1.7880447558127344e-06,0.0
11209,177,0,16,random,3,4.172103217570111e-06,4.172103217570111e-06,0.0
11209,177,0,24,WRITE,6,-9.89377440419048e-06,9.89377440419048e-06,-0.25
11209,177,0,24,conditional,6,-9.89377440419048e-06,9.89377440419048e-06,-0.25
11209,177,0,24,composition,6,-9.89377440419048e-06,9.89377440419048e-06,-0.25
11209,177,0,24,random,3,3.695291525218636e-06,3.695291525218636e-06,0.0
11209,177,0,32,WRITE,6,1.311233063461259e-06,1.311233063461259e-06,0.0
11209,177,0,32,conditional,6,1.311233063461259e-06,1.311233063461259e-06,0.0
11209,177,0,32,composition,6,1.311233063461259e-06,1.311233063461259e-06,0.0
11209,177,0,32,random,2,2.622466126922518e-06,2.622466126922518e-06,0.0
12153,11,1,8,WRITE,2,0.005930505692958832,0.005930505692958832,0.25
12153,11,1,8,conditional,2,0.005930505692958832,0.005930505692958832,0.25
12153,11,1,8,composition,2,0.005930505692958832,0.005930505692958832,0.25
12153,11,1,8,random,5,-0.00652516633272171,0.00652516633272171,0.0
12153,11,1,16,WRITE,7,-0.006480824202299118,0.006480824202299118,0.0
12153,11,1,16,conditional,7,-0.006480824202299118,0.006480824202299118,0.0
12153,11,1,16,composition,7,-0.006480824202299118,0.006480824202299118,0.0
12153,11,1,16,random,5,-0.0064995065331459045,0.0064995065331459045,0.0
12153,11,1,24,WRITE,6,1.1324882507324219e-06,1.1324882507324219e-06,0.0
12153,11,1,24,conditional,6,1.1324882507324219e-06,1.1324882507324219e-06,0.0
12153,11,1,24,composition,6,1.1324882507324219e-06,1.1324882507324219e-06,0.0
12153,11,1,24,random,7,0.005314800888299942,0.005314800888299942,0.25
12153,11,1,32,WRITE,6,8.326023817062378e-05,8.326023817062378e-05,0.0
12153,11,1,32,conditional,7,8.190050721168518e-05,8.190050721168518e-05,0.0
12153,11,1,32,composition,7,8.190050721168518e-05,8.190050721168518e-05,0.0
12153,11,1,32,random,3,0.00023790821433067322,0.00023790821433067322,0.25
16875,26,1,8,WRITE,5,0.05318807065486908,0.05318807065486908,0.25
16875,26,1,8,conditional,4,0.052740126848220825,0.052740126848220825,0.25
16875,26,1,8,composition,4,0.052740126848220825,0.052740126848220825,0.25
16875,26,1,8,random,5,0.05318807065486908,0.05318807065486908,0.25
16875,26,1,16,WRITE,5,0.051878318190574646,0.051878318190574646,0.25
