Q,label,layer,mean,median,q25,q75
E,0,1,0.13855669,0.133497,0.10936081223189831,0.16121630743145943
E,0,2,0.20509487,0.20370547,0.17788147926330566,0.23079132288694382
E,0,3,0.21343312,0.21032715,0.17902281880378723,0.24434586614370346
E,0,4,0.17486212,0.17057508,0.14771456271409988,0.19919542223215103
E,0,5,0.15055332,0.14703077,0.12458927184343338,0.17184196040034294
E,0,6,0.1623969,0.15922675,0.13659429550170898,0.18385417386889458
E,0,7,0.14320181,0.13962412,0.11844563856720924,0.16415006667375565
E,0,8,0.1622845,0.15805557,0.13377999141812325,0.18600643053650856
E,0,9,0.13665396,0.13291991,0.11172150261700153,0.15751710906624794
E,0,10,0.18305409,0.1662895,0.13987214118242264,0.20379610359668732
E,0,11,0.16550761,0.1604205,0.13412164524197578,0.19244884699583054
E,0,12,0.17906821,0.17240745,0.14373312890529633,0.20492229983210564
E,0,13,0.2392061,0.2131604,0.17395494878292084,0.2875538393855095
E,0,14,0.19506767,0.1917414,0.16215067356824875,0.2237478420138359
E,0,15,0.19596823,0.19049028,0.16003304719924927,0.2252182625234127
E,0,16,0.23350038,0.21283677,0.16990715265274048,0.2794056311249733
E,0,17,0.21818006,0.2031903,0.16867518424987793,0.2491595819592476
E,0,18,0.21443017,0.21069108,0.1778721623122692,0.2448062300682068
E,0,19,0.22774693,0.20857975,0.17522846907377243,0.2601221352815628
E,0,20,0.25419134,0.22885814,0.17774559929966927,0.31332146376371384
E,0,21,0.22232555,0.21409506,0.18476122617721558,0.2477230504155159
E,0,22,0.23542807,0.23554881,0.20079908147454262,0.2672973573207855
E,0,23,0.24456935,0.24688277,0.20712091401219368,0.2852429151535034
E,0,24,0.23539825,0.23450586,0.19507760182023048,0.27663738280534744
E,0,25,0.2604811,0.25102356,0.2135128192603588,0.2956703007221222
E,0,26,0.2465946,0.2446526,0.20627587288618088,0.28359103947877884
E,0,27,0.2471691,0.24488293,0.20596583560109138,0.2844325080513954
E,0,28,0.22352275,0.22616854,0.17907804250717163,0.26745204627513885
