model,left,right,AUROC_delta,HALL_AUPR_delta,seed43_AUROC_delta,seed44_AUROC_delta,seed45_AUROC_delta
qwen2_5_vl_7b,F_E_Q02,F_E,-0.003203194728134129,0.002465264678833068,-0.001582194752828281,-0.01633347091548576,-0.004543738777353146
qwen2_5_vl_7b,F_C_Q02,F_C,-0.003365471113039864,0.010102228451337292,-0.0061171141614368985,-0.009433196809505162,0.0018873449114006347
qwen2_5_vl_7b,F_C_Q02,F_E_Q02,-0.000790215439539832,0.021518732144498953,-0.003243763824360535,0.0021095930037712263,0.0019120391438861573
llava_1_5_7b,F_E_Q02,F_E,0.0038024508155592995,0.007990256225627546,0.006766857676638871,0.001986013694610489,0.00027780462579418685
llava_1_5_7b,F_C_Q02,F_C,0.005177004953603848,0.007425279486206637,0.003983891961781061,0.007024116335317188,0.0026628730901655517
llava_1_5_7b,F_C_Q02,F_E_Q02,0.0012362305847845034,0.0002434390740344572,0.0011751714430734417,0.004320151310919562,0.0017229674395617955
qwen3_vl_8b,F_E_Q02,F_E,-0.009645158203131166,-0.00805696168398562,-0.01567212790852046,-0.014973264921168572,-0.011951290291708716
qwen3_vl_8b,F_C_Q02,F_C,0.005191884390850721,0.018056976277068038,-0.007322046561022977,0.008404878997527176,0.0028602829719776013
qwen3_vl_8b,F_C_Q02,F_E_Q02,0.012550205452597663,0.025974980254178104,0.00756825008721318,0.024014105378196482,0.013521127195379012
internvl_2_5_8b,F_E_Q02,F_E,-0.009123025324973555,-0.01619227262935996,-0.0016736005041496638,-0.006632985484335996,-0.03360552428356289
internvl_2_5_8b,F_C_Q02,F_C,0.01619660767119191,0.040419075071803534,0.024426422994349606,0.01467454578468963,0.005422011685162875
internvl_2_5_8b,F_C_Q02,F_E_Q02,0.016710637343387846,0.03666895143918025,0.012898139346100845,0.018111201307370983,0.02751327131153669
